timesteps,n_updates,actor_loss,actor_base_loss,critic_loss,ent_coef,ent_coef_loss,support_actor_loss,support_actor_weighted_loss,replay_support_actor_loss,replay_support_actor_weighted_loss,support_actor_weight,learning_rate,replay_buffer_pos,replay_buffer_full
10005,2476,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False
10009,2477,83.65328216552734,2.4358882904052734,11845103.0,0.9954906105995178,-0.028795771300792694,0.003461481537669897,69.22962951660156,0.0005993882659822702,11.987765312194824,20000.0,3e-06,1,False
10013,2478,167.54678344726562,2.630303144454956,8705011.0,0.9954875707626343,-0.02906757779419422,0.003674219362437725,73.48439025878906,0.004571605008095503,91.43209838867188,20000.0,3e-06,2,False
10017,2479,162.76394653320312,2.703693389892578,10478718.0,0.9954846501350403,-0.029080957174301147,0.003497398691251874,69.9479751586914,0.004505613353103399,90.11226654052734,20000.0,3e-06,3,False
10021,2480,195.28138732910156,2.9895613193511963,6967234.0,0.9954816699028015,-0.028812989592552185,0.003253661096096039,65.0732192993164,0.006360930390655994,127.2186050415039,20000.0,3e-06,4,False
10025,2481,212.92588806152344,2.972353458404541,6867767.5,0.995478630065918,-0.029275069013237953,0.0034987679682672024,69.97535705566406,0.006998908706009388,139.97817993164062,20000.0,3e-06,5,False
10029,2482,175.63446044921875,3.008434772491455,7810683.0,0.9954756498336792,-0.02876031957566738,0.003610244020819664,72.20487976074219,0.005021057091653347,100.421142578125,20000.0,3e-06,6,False
10033,2483,180.6038818359375,3.0334701538085938,7991190.5,0.9954726696014404,-0.02885150909423828,0.0036112642847001553,72.22528839111328,0.005267255939543247,105.3451156616211,20000.0,3e-06,7,False
10037,2484,187.5728759765625,3.0326175689697266,8398683.0,0.9954696297645569,-0.028886504471302032,0.0035444346722215414,70.8886947631836,0.005682578310370445,113.65156555175781,20000.0,3e-06,8,False
10041,2485,187.32687377929688,3.0752527713775635,8261440.0,0.9954667091369629,-0.029064498841762543,0.003469545394182205,69.39090728759766,0.005743035115301609,114.86070251464844,20000.0,3e-06,9,False
10045,2486,191.42201232910156,3.035999298095703,7306079.5,0.9954636693000793,-0.02909165807068348,0.003778275102376938,75.56549835205078,0.0056410254910588264,112.82051086425781,20000.0,3e-06,10,False
10049,2487,159.33297729492188,3.0320653915405273,5284721.5,0.9954606890678406,-0.028978094458580017,0.003371832426637411,67.4366455078125,0.0044432133436203,88.86426544189453,20000.0,3e-06,11,False
10053,2488,161.44418334960938,3.0671396255493164,5971548.5,0.9954577088356018,-0.02907181717455387,0.00317684980109334,63.53699493408203,0.004742003045976162,94.84005737304688,20000.0,3e-06,12,False
10057,2489,167.45584106445312,2.993861198425293,9878196.0,0.9954546689987183,-0.02910882979631424,0.0034883443731814623,69.76688385009766,0.00473475456237793,94.6950912475586,20000.0,3e-06,13,False
10061,2490,160.32614135742188,3.0113162994384766,6805022.5,0.9954517483711243,-0.02888018637895584,0.0036131665110588074,72.2633285522461,0.004252574872225523,85.05149841308594,20000.0,3e-06,14,False
10065,2491,175.3799591064453,3.099428415298462,6937373.0,0.9954487681388855,-0.0292135588824749,0.0037090603727847338,74.18120574951172,0.004904966335743666,98.09932708740234,20000.0,3e-06,15,False
10069,2492,157.6780242919922,3.168064594268799,6224099.0,0.995445728302002,-0.028897326439619064,0.0035045668482780457,70.09133911132812,0.004220930859446526,84.41861724853516,20000.0,3e-06,16,False
10073,2493,164.69964599609375,3.155616283416748,8954636.0,0.9954427480697632,-0.029159847646951675,0.0034087602980434895,68.17520904541016,0.0046684411354362965,93.36882019042969,20000.0,3e-06,17,False
10077,2494,169.78164672851562,3.0225930213928223,7845658.0,0.9954397678375244,-0.02940627746284008,0.003861532546579838,77.23065185546875,0.004476419650018215,89.52839660644531,20000.0,3e-06,18,False
10081,2495,164.99317932128906,3.1047377586364746,6823529.5,0.9954367280006409,-0.0291883647441864,0.003507723566144705,70.15447235107422,0.004586698487401009,91.73397064208984,20000.0,3e-06,19,False
