depth,duration_ms,dq_pass,sac_pass,dq_reason,sac_reason,dq_score,sac_score,dq_vdc_min,sac_vdc_min,dq_vdc_max,sac_vdc_max,sac_fault_band,sac_recovery,sac_current
0.2,80,False,False,timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope,timestep_fault_lv_band,171.361182338794,132.017628285475,580.988209950428,688.933417299224,1086.93384175811,968.296863368503,0.0277270846935065,0.0,1.36927773291655
0.2,120,False,False,timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope,timestep_fault_lv_band,166.82911038364,132.07784054005,580.988209950428,688.933417299224,1012.79395513254,968.296863368503,0.0277270846935065,0.0,1.36927773291655
0.2,160,False,False,timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope,timestep_fault_lv_band,226.750074740668,132.163773867647,0.162572360940602,688.933417299224,977.392339129142,968.296863368503,0.0277270846935065,0.0,1.36927773291655
0.2,200,False,False,timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope,timestep_fault_lv_band,180.039441530353,132.102959160204,460.048830972624,688.933417299224,977.392339129142,968.296863368503,0.0277270846935065,0.0,1.36927773291655
0.2,240,False,False,timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope,timestep_fault_lv_band,182.898370895863,132.133275743416,448.827703923377,688.933417299224,977.392339129142,968.296863368503,0.0277270846935065,0.0,1.36927773291655
0.2,300,False,False,timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope,timestep_fault_lv_band,183.210732407729,132.2397748134,448.827703923377,688.933417299224,977.392339129142,968.296863368503,0.0277270846935065,0.0,1.36927773291655
0.5,80,True,True,nan,nan,118.164236778437,120.101451739104,677.136262037606,793.832552355055,977.392339129142,968.296863368503,0.0,0.0,1.31390921201246
0.5,120,True,True,nan,nan,120.476779790648,120.812203548304,677.136262037606,688.161722835132,977.392339129142,968.296863368503,0.0,0.0,1.31390921201246
0.5,160,True,True,nan,nan,122.356804158542,120.521970746059,677.136262037606,674.607447850082,977.392339129142,968.296863368503,0.0,0.0,1.31390921201246
0.5,200,False,True,dc_link_bounds,nan,134.639904510533,120.415389474977,548.907231882469,665.647991316168,977.392339129142,968.296863368503,0.0,0.0,1.31390921201246
0.5,240,False,True,dc_link_bounds,nan,136.78671432524,120.253523127547,526.870762741149,659.2342743877,977.392339129142,968.296863368503,0.0,0.0,1.31390921201246
0.5,300,False,False,dc_link_bounds,dc_link_bounds,142.824535617932,124.004705779403,466.484241531984,609.104528423428,977.392339129142,968.296863368503,0.0,0.0,1.31390921201246
0.575,80,True,True,nan,nan,116.122958856156,118.866483508308,706.318949142569,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.29843683448431
