sid,category,fault_type,scr,target_V_pu,iq,mse_d,mse_q,iq_post,mse_d_post,mse_q_post,post_delay,frt,connect,reactive,limit,recover,survive,recover_worst,Vdc_min,Vdc_max,V1_final_mean,V1_final_worst_signed
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.15,0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.081991022,0.79235346,1.0394595,0.91868528,-0.081991022
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.15,0.18,False,PASS,FAIL,PASS,FAIL,PASS,0.082071109,0.78998751,1.0393104,0.91855647,-0.082071109
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.15,0.25,False,PASS,FAIL,PASS,FAIL,PASS,0.081931694,0.80027485,1.0424325,0.91861175,-0.081931694
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.1,0.2,-0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.088327004,0.9108089,1.2019595,0.9125021,-0.088327004
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.1,0.2,-0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.088185488,0.90555391,1.2019831,0.91263771,-0.088185488
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.1,0.2,-0.04,False,PASS,FAIL,PASS,FAIL,PASS,0.087812726,0.91385645,1.2020027,0.9126054,-0.087812726
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.1,0.2,0,False,PASS,FAIL,PASS,FAIL,PASS,0.087972897,0.87751732,1.0994088,0.91281254,-0.087972897
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.1,0.2,0.02,False,PASS,FAIL,PASS,FAIL,PASS,0.088094704,0.84279463,1.1037134,0.91281388,-0.088094704
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.1,0.2,0.05,False,PASS,FAIL,PASS,FAIL,PASS,0.088018477,0.87903684,1.1006381,0.9127508,-0.088018477
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.1,0.2,0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.087977528,0.87443851,1.103877,0.91297873,-0.087977528
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.1,0.2,0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.088043936,0.86978389,1.1083176,0.9129143,-0.088043936
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.1,0.2,0.18,False,PASS,FAIL,PASS,FAIL,PASS,0.087887164,0.86968311,1.1109377,0.91298369,-0.087887164
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.1,0.2,0.25,False,PASS,FAIL,PASS,FAIL,PASS,0.087507359,0.89198792,1.133041,0.91329974,-0.087507359
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.2,0.2,0.2,-0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.087394823,0.84695663,1.1206019,0.91335449,-0.087394823
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.2,0.2,0.2,-0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.087278487,0.847409,1.120823,0.91334303,-0.087278487
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.2,0.2,0.2,-0.04,False,PASS,FAIL,PASS,FAIL,PASS,0.087312828,0.84956132,1.1089194,0.9133377,-0.087312828
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.2,0.2,0.2,0,False,PASS,FAIL,PASS,FAIL,PASS,0.087288453,0.78939748,1.0315814,0.91335764,-0.087288453
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.2,0.2,0.2,0.02,False,PASS,FAIL,PASS,FAIL,PASS,0.086986146,0.77828019,1.0335693,0.91394997,-0.086986146
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.2,0.2,0.2,0.05,False,PASS,FAIL,PASS,FAIL,PASS,0.086971984,0.79716493,1.029992,0.91386836,-0.086971984
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.2,0.2,0.2,0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.086810293,0.80123854,1.0348704,0.91407724,-0.086810293
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.2,0.2,0.2,0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.086499784,0.79514674,1.033318,0.91416906,-0.086499784
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.2,0.2,0.2,0.18,False,PASS,FAIL,PASS,FAIL,PASS,0.086873509,0.79406402,1.0312838,0.91401096,-0.086873509
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.2,0.2,0.2,0.25,False,PASS,FAIL,PASS,FAIL,PASS,0.086823012,0.80443467,1.0288501,0.91399342,-0.086823012
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.1,-0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.086407629,0.82521888,1.1807059,0.91454847,-0.086407629
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.1,-0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.085792531,0.82192225,1.175208,0.91472725,-0.085792531
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.1,-0.04,False,PASS,FAIL,PASS,FAIL,PASS,0.085783808,0.82799241,1.1679031,0.91471788,-0.085783808
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.1,0,False,PASS,FAIL,PASS,FAIL,PASS,0.085967621,0.78148046,1.0386982,0.91480135,-0.085967621
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.1,0.02,False,PASS,FAIL,PASS,FAIL,PASS,0.08583593,0.76483689,1.0395964,0.91485168,-0.08583593
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.1,0.05,False,PASS,FAIL,PASS,FAIL,PASS,0.086037211,0.77865577,1.0400392,0.91473758,-0.086037211
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.1,0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.085915082,0.78324031,1.0404676,0.9149399,-0.085915082
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.1,0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.085830945,0.77900211,1.0382742,0.91487959,-0.085830945
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.1,0.18,False,PASS,FAIL,PASS,FAIL,PASS,0.086019034,0.77789092,1.0347886,0.91479148,-0.086019034
1441,HVRT,swell_3ph,2,1.1000,0,0,0,0.27,0.2,0.1,0.25,False,PASS,FAIL,PASS,FAIL,PASS,0.085825417,0.78845136,1.0348324,0.91487992,-0.085825417
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.2,-0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.080898274,0.82843707,1.2007314,0.91991108,-0.080898274
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.2,-0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.08079966,0.82843707,1.2012712,0.92005518,-0.08079966
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.2,-0.04,False,PASS,FAIL,PASS,FAIL,PASS,0.080552431,0.82843707,1.200812,0.92020986,-0.080552431
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.2,0,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.080382169,0.82716951,1.0463369,0.92027659,-0.080382169
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.2,0.02,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.080112634,0.80992747,1.0550716,0.92069924,-0.080112634
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.2,0.05,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.079911711,0.82021203,1.055161,0.92088708,-0.079911711
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.2,0.08,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.080084361,0.82707198,1.0573182,0.92087638,-0.080084361
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.2,0.12,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.079978535,0.82692943,1.0624132,0.92097099,-0.079978535
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.2,0.18,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.079652496,0.82645408,1.0625107,0.92104243,-0.079652496
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.2,0.25,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.079647318,0.82843707,1.0748071,0.92108951,-0.079647318
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.15,0.2,-0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.083457248,0.82843707,1.2019403,0.91749953,-0.083457248
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.15,0.2,-0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.083336177,0.82843707,1.2023333,0.9176693,-0.083336177
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.15,0.2,-0.04,False,PASS,FAIL,PASS,FAIL,PASS,0.082829018,0.82843707,1.2017933,0.91780488,-0.082829018
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.15,0.2,0,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.082964241,0.82843707,1.0698712,0.91792572,-0.082964241
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.15,0.2,0.02,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.082952876,0.82843707,1.0697236,0.91829714,-0.082952876
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.15,0.2,0.05,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.082291931,0.82843707,1.0734923,0.91840325,-0.082291931
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.15,0.2,0.08,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.082230626,0.82843707,1.0791933,0.91853825,-0.082230626
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.15,0.2,0.12,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.082487231,0.82843707,1.0884984,0.91856447,-0.082487231
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.15,0.2,0.18,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.082111881,0.82843707,1.0916616,0.91871395,-0.082111881
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.15,0.2,0.25,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.082019273,0.82843707,1.1075835,0.91881948,-0.082019273
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.15,-0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.082448875,0.82843707,1.200982,0.91816705,-0.082448875
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.15,-0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.082348935,0.82843707,1.2009731,0.91820726,-0.082348935
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.15,-0.04,False,PASS,FAIL,PASS,FAIL,PASS,0.082206442,0.82843707,1.195977,0.91830643,-0.082206442
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.15,0,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.082153459,0.81002484,1.0440709,0.91836949,-0.082153459
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.15,0.02,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.081766721,0.79489718,1.0438563,0.91881052,-0.081766721
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.15,0.05,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.081732057,0.80506533,1.0412783,0.91891495,-0.081732057
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.15,0.08,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.081458307,0.81223823,1.0466752,0.91900127,-0.081458307
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.15,0.12,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.081776357,0.81009193,1.043674,0.91905633,-0.081776357
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.15,0.18,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.081519722,0.81254783,1.0457473,0.91905052,-0.081519722
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.15,0.25,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.081701218,0.81909901,1.0497232,0.91900219,-0.081701218
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.1,0.2,-0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.088811861,0.82843707,1.2020875,0.91238017,-0.088811861
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.1,0.2,-0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.088448882,0.82843707,1.2019708,0.91242771,-0.088448882
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.1,0.2,-0.04,False,PASS,FAIL,PASS,FAIL,PASS,0.088301825,0.82843707,1.2020594,0.9125092,-0.088301825
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.1,0.2,0,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.08823569,0.82843707,1.1044167,0.91255457,-0.08823569
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.1,0.2,0.02,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.08721751,0.82843707,1.1102945,0.91359554,-0.08721751
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.1,0.2,0.05,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.087047874,0.82843707,1.1104163,0.91384583,-0.087047874
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.1,0.2,0.08,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.086581084,0.82843707,1.1208209,0.91420333,-0.086581084
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.1,0.2,0.12,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.086557969,0.82843707,1.119442,0.91420826,-0.086557969
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.1,0.2,0.18,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.086086647,0.82843707,1.1277756,0.91451318,-0.086086647
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.1,0.2,0.25,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.086209288,0.82843707,1.1574007,0.91451564,-0.086209288
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.2,0.2,0.2,-0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.087842341,0.82843707,1.1196119,0.91293117,-0.087842341
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.2,0.2,0.2,-0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.087552629,0.82843707,1.1230872,0.91304254,-0.087552629
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.2,0.2,0.2,-0.04,False,PASS,FAIL,PASS,FAIL,PASS,0.087779165,0.82843707,1.1130497,0.91296372,-0.087779165
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.2,0.2,0.2,0,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.087610904,0.81196886,1.0412783,0.91310776,-0.087610904
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.2,0.2,0.2,0.02,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.086497187,0.80257439,1.0412783,0.9141317,-0.086497187
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.2,0.2,0.2,0.05,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.08636999,0.80452435,1.0412783,0.91433994,-0.08636999
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.2,0.2,0.2,0.08,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.086312949,0.8205611,1.0412783,0.91440808,-0.086312949
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.2,0.2,0.2,0.12,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.086473774,0.82031582,1.0412783,0.91437806,-0.086473774
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.2,0.2,0.2,0.18,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.086376987,0.81728334,1.0412783,0.91437827,-0.086376987
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.2,0.2,0.2,0.25,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.086061033,0.82009436,1.0412783,0.91446682,-0.086061033
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.1,-0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.086639497,0.82843707,1.1853653,0.91452335,-0.086639497
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.1,-0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.086045277,0.82843707,1.1840389,0.91454382,-0.086045277
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.1,-0.04,False,PASS,FAIL,PASS,FAIL,PASS,0.086004863,0.82843707,1.1784729,0.91463285,-0.086004863
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.1,0,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.086017754,0.79444206,1.0412783,0.91469913,-0.086017754
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.1,0.02,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.08569248,0.77506125,1.0412783,0.91505012,-0.08569248
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.1,0.05,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.085326251,0.78361191,1.0412783,0.91519924,-0.085326251
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.1,0.08,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.085528604,0.79449987,1.0412783,0.91521031,-0.085528604
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.1,0.12,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.085528002,0.79391385,1.0412783,0.91515559,-0.085528002
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.1,0.18,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.085637355,0.7910804,1.0412783,0.91532256,-0.085637355
1441,HVRT,swell_3ph,2,1.1000,-0.1,0,0,0.27,0.2,0.1,0.25,False,PASS,NOT_EVALUATED,PASS,FAIL,PASS,0.085524775,0.79817489,1.0412783,0.91517535,-0.085524775
1441,HVRT,swell_3ph,2,1.1000,0.05,0,0,0.27,0.2,0.2,-0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.080802493,0.85610106,1.2009231,0.92007928,-0.080802493
1441,HVRT,swell_3ph,2,1.1000,0.05,0,0,0.27,0.2,0.2,-0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.080808384,0.84749,1.2009462,0.92009546,-0.080808384
1441,HVRT,swell_3ph,2,1.1000,0.05,0,0,0.27,0.2,0.2,-0.04,False,PASS,FAIL,PASS,FAIL,PASS,0.080825992,0.85046728,1.2008696,0.9202337,-0.080825992
1441,HVRT,swell_3ph,2,1.1000,0.05,0,0,0.27,0.2,0.2,0,False,PASS,FAIL,PASS,FAIL,PASS,0.080252448,0.80966065,1.1319977,0.9204207,-0.080252448
1441,HVRT,swell_3ph,2,1.1000,0.05,0,0,0.27,0.2,0.2,0.02,False,PASS,FAIL,PASS,FAIL,PASS,0.080163824,0.76000596,1.1319977,0.92064612,-0.080163824
1441,HVRT,swell_3ph,2,1.1000,0.05,0,0,0.27,0.2,0.2,0.05,False,PASS,FAIL,PASS,FAIL,PASS,0.080089439,0.7817785,1.1319977,0.92072064,-0.080089439
1441,HVRT,swell_3ph,2,1.1000,0.05,0,0,0.27,0.2,0.2,0.08,False,PASS,FAIL,PASS,FAIL,PASS,0.080212114,0.78314267,1.1319977,0.92083399,-0.080212114
1441,HVRT,swell_3ph,2,1.1000,0.05,0,0,0.27,0.2,0.2,0.12,False,PASS,FAIL,PASS,FAIL,PASS,0.07990219,0.79491827,1.1319977,0.92081377,-0.07990219
1441,HVRT,swell_3ph,2,1.1000,0.05,0,0,0.27,0.2,0.2,0.18,False,PASS,FAIL,PASS,FAIL,PASS,0.079949732,0.81071267,1.1319977,0.92086837,-0.079949732
1441,HVRT,swell_3ph,2,1.1000,0.05,0,0,0.27,0.2,0.2,0.25,False,PASS,FAIL,PASS,FAIL,PASS,0.079789444,0.82620423,1.1319977,0.92091671,-0.079789444
