expert,seed,step,connect_violation_pct,reactive_violation_pct,recover_violation_pct,limit_status,survive_status,metric_note
asym,42,200000,0.0,0.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,42,225000,0.0,0.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,42,250000,0.0,50.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,42,275000,0.0,100.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,42,300000,0.0,46.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,123,25000,0.0,0.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,123,50000,0.0,80.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,123,75000,0.0,96.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,123,100000,0.0,75.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,123,125000,0.0,100.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,123,150000,0.0,74.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,123,175000,0.0,50.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,123,200000,0.0,80.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,123,225000,0.0,61.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,123,250000,0.0,46.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,123,275000,0.0,54.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,123,300000,0.0,50.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,2024,25000,0.0,0.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,2024,50000,0.0,100.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,2024,75000,0.0,100.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,2024,100000,0.0,97.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,2024,125000,0.0,100.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,2024,150000,0.0,88.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,2024,175000,0.0,80.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,2024,200000,0.0,80.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,2024,225000,0.0,50.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,2024,250000,0.0,80.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,2024,275000,0.0,80.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
asym,2024,300000,0.0,46.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,7,25000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,7,50000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,7,75000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,7,100000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,7,125000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,7,150000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,7,175000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,7,200000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,7,225000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,7,250000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,7,275000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,7,300000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,31,25000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,31,50000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,31,75000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,31,100000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,31,125000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,31,150000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,31,175000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,31,200000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,31,225000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,31,250000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,31,275000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,31,300000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,42,25000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,42,50000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,42,75000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,42,100000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,42,125000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,42,150000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,42,175000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,42,200000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,42,225000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,42,250000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,42,275000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,42,300000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,123,25000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,123,50000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,123,75000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,123,100000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,123,125000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,123,150000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,123,175000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
