sid,fault_type,category,scr,target_V_pu,Vg_p,failed_criteria,n_failed,connect,reactive,limit,recover,survive,primary_reason,worst,t_worst,has_not_evaluated,not_evaluated,dq_frt,dq_also_fail,ode_visibility,ode_visible,ode_blind,ode_matched_criteria,ode_failed_criteria,ode_vdc_survive_proxy,ode_vdc_min,ode_reason
279,swell_3ph,HVRT,3,1.3,1.3,survive,1,PASS,PASS,PASS,PASS,FAIL,survive:Vdc<0.75,survive=0.031677830534734386,survive@0.605,False,,True,False,VISIBLE,True,False,survive,connect+recover,FAIL,0.657154219871472,matched switching failed criterion
280,swell_3ph,HVRT,3,1.3,1.3,survive,1,PASS,PASS,PASS,PASS,FAIL,survive:Vdc<0.75,survive=0.031677830534734386,survive@0.605,False,,True,False,VISIBLE,True,False,survive,connect+recover,FAIL,0.657154219871472,matched switching failed criterion
311,swell_1ph,HVRT,3,1.3,1.1,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.9280931595384665,matched switching failed criterion
312,swell_1ph,HVRT,3,1.3,1.1,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.9278958849785035,matched switching failed criterion
313,swell_1ph,HVRT,3,1.3,1.1,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.9278514948943231,matched switching failed criterion
314,swell_1ph,HVRT,3,1.3,1.1,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.9277314939214601,matched switching failed criterion
315,swell_1ph,HVRT,3,1.3,1.1,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.9278958849785035,matched switching failed criterion
316,swell_1ph,HVRT,3,1.3,1.1,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.9280931595384665,matched switching failed criterion
317,swell_1ph,HVRT,3,1.3,1.1,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.9278514948943231,matched switching failed criterion
318,swell_1ph,HVRT,3,1.3,1.1,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.9278225226714043,matched switching failed criterion
319,swell_1ph,HVRT,3,1.3,1.1,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.9267656452184764,matched switching failed criterion
320,swell_1ph,HVRT,3,1.3,1.1,reactive,1,PASS,FAIL,PASS,PASS,PASS,reactive:wrong sign (sourcing under-volt / absorbing over-volt),,reactive@0.080,False,,None,False,VISIBLE,True,False,reactive,reactive,PASS,0.9278225226714043,matched switching failed criterion
