expert,seed,step,ode_selection_proxy_pct,best_proxy_pct,metric_note
hvrt_asym,7,100000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,7,125000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,7,150000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,7,175000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,7,200000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,7,225000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,7,250000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,7,275000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,7,300000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,31,25000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,31,50000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,31,75000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,31,100000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,31,125000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,31,150000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,31,175000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,31,200000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,31,225000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,31,250000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,31,275000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,31,300000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,42,25000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,42,50000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,42,75000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,42,100000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,42,125000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,42,150000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,42,175000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,42,200000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,42,225000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,42,250000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,42,275000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,42,300000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,123,25000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
