t,Vp,Vn,iq,iq_ref,se_d,se_q,Vdc,v_load,gate,in_fault
0.0,0.9298,0.0,0.0191,0.0,0.0433,-0.0598,0.9185,0.9298,normal,0
0.02,0.9312,0.0,0.0133,0.0,0.0336,0.0015,0.9298,0.9312,normal,0
0.04,0.9308,0.0,0.0131,0.0,0.0346,-0.0229,0.9239,0.9308,normal,0
0.06,0.9308,0.0,0.0137,0.0,0.0342,-0.0145,0.9258,0.9308,normal,0
0.08,0.9308,0.0,0.0135,0.0,0.0344,-0.0174,0.9251,0.9308,normal,0
0.1,0.8715,0.0594,0.0135,0.0427,0.0314,-0.0263,0.9257,0.8863,normal,1
0.12,0.8716,0.0594,0.1968,0.0427,0.0503,-0.194,0.828,0.8952,sym,1
0.14,0.8856,0.0583,0.2467,0.0217,0.0172,-0.194,0.8424,0.8936,sym,1
0.16,0.8891,0.058,0.2294,0.0163,0.0221,-0.1776,0.8469,0.8995,sym,1
0.18,0.8879,0.0581,0.2287,0.0182,0.022,-0.1834,0.8461,0.8982,sym,1
0.2,0.8878,0.0581,0.2319,0.0183,0.022,-0.1844,0.8454,0.8981,sym,1
0.22,0.888,0.0581,0.2307,0.0179,0.0221,-0.1833,0.8456,0.8984,sym,1
0.24,0.888,0.0581,0.2307,0.0181,0.0221,-0.1836,0.8455,0.8983,sym,1
0.26,0.888,0.0581,0.2308,0.0181,0.0221,-0.1836,0.8455,0.8983,sym,1
0.28,0.888,0.0581,0.2308,0.0181,0.0221,-0.1836,0.8455,0.8983,sym,1
0.3,0.888,0.0581,0.2308,0.0181,0.0221,-0.1836,0.8455,0.8983,sym,1
0.32,0.888,0.0581,0.2308,0.0181,0.0221,-0.1836,0.8455,0.8983,sym,1
0.34,0.888,0.0581,0.2308,0.0181,0.0221,-0.1836,0.8455,0.8983,sym,1
0.36,0.888,0.0581,0.2308,0.0181,0.0221,-0.1836,0.8455,0.8983,sym,1
0.38,0.888,0.0581,0.2308,0.0181,0.0221,-0.1836,0.8455,0.8983,sym,1
