t,Vp,Vn,iq,iq_ref,se_d,se_q,Vdc,v_load,gate,in_fault
0.0,0.9274,0.0,0.0195,0.0,0.0435,-0.0612,0.9177,0.9274,normal,0
0.02,0.9284,0.0,0.0135,0.0,0.034,0.0019,0.9289,0.9284,normal,0
0.04,0.9281,0.0,0.0134,0.0,0.035,-0.0228,0.9231,0.9281,normal,0
0.06,0.9281,0.0,0.014,0.0,0.0346,-0.0144,0.9251,0.9281,normal,0
0.08,0.9282,0.0,0.0137,0.0,0.0348,-0.0173,0.9243,0.9282,normal,0
0.1,0.1311,0.0,0.27,0.3,0.0438,0.1441,0.8157,0.1517,normal,1
0.12,0.1545,0.0,0.27,0.3,0.0016,-0.1859,0.8274,0.1552,sym,1
0.14,0.1545,0.0,0.27,0.3,0.0386,-0.1998,0.7754,0.1727,sym,1
0.16,0.1545,0.0,0.27,0.3,0.0288,-0.1999,0.774,0.1681,sym,1
0.18,0.1545,0.0,0.27,0.3,0.0298,-0.1999,0.7721,0.1686,sym,1
0.2,0.1545,0.0,0.27,0.3,0.0295,-0.1999,0.772,0.1684,sym,1
0.22,0.1545,0.0,0.27,0.3,0.0295,-0.1999,0.772,0.1684,sym,1
0.24,0.1545,0.0,0.27,0.3,0.0295,-0.1999,0.772,0.1684,sym,1
0.26,0.9411,0.0,0.0095,0.0,0.0233,0.0137,0.8982,0.9411,sym,0
0.28,0.9279,0.0,0.0132,0.0,0.0342,-0.0277,0.9138,0.9279,normal,0
0.3,0.9281,0.0,0.0139,0.0,0.0341,-0.0122,0.9239,0.9281,normal,0
0.32,0.9282,0.0,0.0137,0.0,0.0348,-0.0182,0.9237,0.9282,normal,0
0.34,0.9281,0.0,0.0138,0.0,0.0347,-0.016,0.9246,0.9281,normal,0
0.36,0.9281,0.0,0.0138,0.0,0.0348,-0.0168,0.9244,0.9281,normal,0
0.38,0.9281,0.0,0.0138,0.0,0.0347,-0.0165,0.9245,0.9281,normal,0
0.4,0.9281,0.0,0.0138,0.0,0.0348,-0.0166,0.9245,0.9281,normal,0
0.42,0.9281,0.0,0.0138,0.0,0.0347,-0.0166,0.9245,0.9281,normal,0
0.44,0.9281,0.0,0.0138,0.0,0.0348,-0.0166,0.9245,0.9281,normal,0
0.46,0.9281,0.0,0.0138,0.0,0.0348,-0.0166,0.9245,0.9281,normal,0
0.48,0.9281,0.0,0.0138,0.0,0.0348,-0.0166,0.9245,0.9281,normal,0
0.5,0.9281,0.0,0.0138,0.0,0.0348,-0.0166,0.9245,0.9281,normal,0
0.52,0.9281,0.0,0.0138,0.0,0.0348,-0.0166,0.9245,0.9281,normal,0
0.54,0.9281,0.0,0.0138,0.0,0.0348,-0.0166,0.9245,0.9281,normal,0
0.56,0.9281,0.0,0.0138,0.0,0.0348,-0.0166,0.9245,0.9281,normal,0
0.58,0.9281,0.0,0.0138,0.0,0.0348,-0.0166,0.9245,0.9281,normal,0
0.6,0.9281,0.0,0.0138,0.0,0.0348,-0.0166,0.9245,0.9281,normal,0
0.62,0.9281,0.0,0.0138,0.0,0.0348,-0.0166,0.9245,0.9281,normal,0
0.64,0.9281,0.0,0.0138,0.0,0.0348,-0.0166,0.9245,0.9281,normal,0
