t,Vp,Vn,iq,iq_ref,se_d,se_q,Vdc,v_load,gate,in_fault
0.0,0.9692,0.0,0.0137,0.0,0.0404,-0.0498,0.9263,0.9692,normal,0
0.02,0.9697,0.0,0.011,0.0,0.0293,-0.0034,0.9374,0.9697,normal,0
0.04,0.9696,0.0,0.01,0.0,0.0299,-0.0234,0.9326,0.9696,normal,0
0.06,0.9695,0.0,0.0107,0.0,0.03,-0.0173,0.9333,0.9695,normal,0
0.08,0.9696,0.0,0.0104,0.0,0.0299,-0.0189,0.933,0.9696,normal,0
0.1,0.7743,0.1925,0.0268,0.1885,0.0308,0.0319,0.9257,0.7888,normal,1
0.12,0.777,0.1946,0.24,0.1846,-0.0744,-0.0284,0.9511,0.777,asym,1
0.14,0.7816,0.1956,0.175,0.1775,-0.0537,-0.0623,0.951,0.7816,asym,1
0.16,0.7805,0.1954,0.2128,0.1792,-0.0655,-0.0561,0.9504,0.7805,asym,1
0.18,0.7811,0.1955,0.1892,0.1783,-0.0594,-0.06,0.9505,0.7811,asym,1
0.2,0.7808,0.1954,0.2023,0.1788,-0.0629,-0.0577,0.9505,0.7808,asym,1
0.22,0.781,0.1955,0.1946,0.1786,-0.0619,-0.0602,0.9501,0.781,asym,1
0.24,0.7809,0.1954,0.1987,0.1787,-0.0624,-0.0587,0.9503,0.7809,asym,1
0.26,0.7809,0.1954,0.1965,0.1786,-0.0622,-0.0595,0.9502,0.7809,asym,1
0.28,0.7809,0.1954,0.1976,0.1787,-0.0623,-0.0591,0.9502,0.7809,asym,1
0.3,0.7809,0.1954,0.1971,0.1787,-0.0622,-0.0593,0.9502,0.7809,asym,1
0.32,0.7809,0.1954,0.1974,0.1787,-0.0623,-0.0592,0.9502,0.7809,asym,1
0.34,0.7809,0.1954,0.1972,0.1787,-0.0622,-0.0592,0.9502,0.7809,asym,1
0.36,0.7809,0.1954,0.1973,0.1787,-0.0623,-0.0592,0.9502,0.7809,asym,1
0.38,0.7809,0.1954,0.1972,0.1787,-0.0622,-0.0592,0.9502,0.7809,asym,1
0.4,0.7809,0.1954,0.1973,0.1787,-0.0622,-0.0592,0.9502,0.7809,asym,1
0.42,0.7809,0.1954,0.1973,0.1787,-0.0622,-0.0592,0.9502,0.7809,asym,1
0.44,0.7809,0.1954,0.1973,0.1787,-0.0622,-0.0592,0.9502,0.7809,asym,1
0.46,0.7809,0.1954,0.1973,0.1787,-0.0622,-0.0592,0.9502,0.7809,asym,1
0.48,0.7809,0.1954,0.1973,0.1787,-0.0622,-0.0592,0.9502,0.7809,asym,1
