t,Vp,Vn,iq,iq_ref,se_d,se_q,Vdc,v_load,gate,in_fault
0.0,0.9409,0.0,0.0172,0.0,0.0423,-0.0525,0.9226,0.9409,normal,0
0.02,0.942,0.0,0.0128,0.0,0.0323,-0.0011,0.933,0.942,normal,0
0.04,0.9417,0.0,0.0121,0.0,0.0331,-0.0226,0.9272,0.9417,normal,0
0.06,0.9417,0.0,0.0127,0.0,0.0326,-0.0148,0.9289,0.9417,normal,0
0.08,0.9417,0.0,0.0124,0.0,0.0328,-0.0177,0.9281,0.9417,normal,0
0.1,0.8833,0.0586,0.0128,0.0251,0.0323,-0.0327,0.9232,0.8984,normal,1
0.12,0.8833,0.0586,0.1947,0.025,0.0499,-0.1937,0.8283,0.9067,sym,1
0.14,0.8935,0.0578,0.243,0.0097,0.0213,-0.1928,0.8377,0.9035,sym,1
0.16,0.8961,0.0576,0.2252,0.0059,0.0252,-0.1751,0.8426,0.9079,sym,1
0.18,0.8952,0.0576,0.2241,0.0072,0.0255,-0.1814,0.8414,0.9072,sym,1
0.2,0.8951,0.0576,0.2273,0.0073,0.0256,-0.1825,0.8402,0.9072,sym,1
0.22,0.8953,0.0576,0.2264,0.007,0.0255,-0.1814,0.8405,0.9073,sym,1
0.24,0.8953,0.0576,0.2263,0.0071,0.0255,-0.1817,0.8405,0.9072,sym,1
0.26,0.8953,0.0576,0.2265,0.0071,0.0255,-0.1817,0.8405,0.9072,sym,1
0.28,0.8953,0.0576,0.2265,0.0071,0.0255,-0.1817,0.8405,0.9072,sym,1
0.3,0.8953,0.0576,0.2264,0.0071,0.0255,-0.1817,0.8405,0.9072,sym,1
0.32,0.8953,0.0576,0.2265,0.0071,0.0255,-0.1817,0.8405,0.9072,sym,1
0.34,0.8953,0.0576,0.2264,0.0071,0.0255,-0.1817,0.8405,0.9072,sym,1
0.36,0.8953,0.0576,0.2264,0.0071,0.0255,-0.1817,0.8405,0.9072,sym,1
0.38,0.8953,0.0576,0.2264,0.0071,0.0255,-0.1817,0.8405,0.9072,sym,1
0.4,0.8953,0.0576,0.2264,0.0071,0.0255,-0.1817,0.8405,0.9072,sym,1
0.42,0.8953,0.0576,0.2264,0.0071,0.0255,-0.1817,0.8405,0.9072,sym,1
