t,Vp,Vn,iq,iq_ref,se_d,se_q,Vdc,v_load,gate,in_fault
0.0,0.9307,0.0,0.019,0.0,0.0432,-0.0593,0.9188,0.9307,normal,0
0.02,0.9318,0.0,0.0133,0.0,0.0335,0.0014,0.9301,0.9318,normal,0
0.04,0.9315,0.0,0.0131,0.0,0.0345,-0.0229,0.9242,0.9315,normal,0
0.06,0.9315,0.0,0.0136,0.0,0.0341,-0.0145,0.926,0.9315,normal,0
0.08,0.9315,0.0,0.0134,0.0,0.0343,-0.0174,0.9252,0.9315,normal,0
0.1,0.1334,0.0,0.27,0.3,0.0438,0.144,0.816,0.154,normal,1
0.12,0.1595,0.0,0.27,0.3,0.0006,-0.1863,0.8287,0.1598,sym,1
0.14,0.1596,0.0,0.27,0.3,0.038,-0.1998,0.7765,0.1775,sym,1
0.16,0.1596,0.0,0.27,0.3,0.0283,-0.1999,0.7749,0.1729,sym,1
0.18,0.1596,0.0,0.27,0.3,0.0293,-0.1999,0.7732,0.1733,sym,1
0.2,0.1596,0.0,0.27,0.3,0.029,-0.1999,0.7731,0.1732,sym,1
0.22,0.1596,0.0,0.27,0.3,0.029,-0.1999,0.773,0.1732,sym,1
0.24,0.1596,0.0,0.27,0.3,0.029,-0.1999,0.773,0.1732,sym,1
0.26,0.9466,0.0,0.008,0.0,0.0228,0.0156,0.8985,0.9466,sym,0
0.28,0.9312,0.0,0.0129,0.0,0.0334,-0.0281,0.9149,0.9312,normal,0
0.3,0.9315,0.0,0.0136,0.0,0.0337,-0.0124,0.9247,0.9315,normal,0
0.32,0.9315,0.0,0.0133,0.0,0.0343,-0.0181,0.9247,0.9315,normal,0
0.34,0.9315,0.0,0.0135,0.0,0.0342,-0.0161,0.9255,0.9315,normal,0
0.36,0.9315,0.0,0.0134,0.0,0.0343,-0.0169,0.9254,0.9315,normal,0
0.38,0.9315,0.0,0.0135,0.0,0.0342,-0.0166,0.9255,0.9315,normal,0
0.4,0.9315,0.0,0.0135,0.0,0.0342,-0.0167,0.9254,0.9315,normal,0
0.42,0.9315,0.0,0.0135,0.0,0.0342,-0.0166,0.9255,0.9315,normal,0
0.44,0.9315,0.0,0.0135,0.0,0.0342,-0.0167,0.9255,0.9315,normal,0
0.46,0.9315,0.0,0.0135,0.0,0.0342,-0.0166,0.9255,0.9315,normal,0
0.48,0.9315,0.0,0.0135,0.0,0.0342,-0.0166,0.9255,0.9315,normal,0
0.5,0.9315,0.0,0.0135,0.0,0.0342,-0.0166,0.9255,0.9315,normal,0
0.52,0.9315,0.0,0.0135,0.0,0.0342,-0.0166,0.9255,0.9315,normal,0
0.54,0.9315,0.0,0.0135,0.0,0.0342,-0.0166,0.9255,0.9315,normal,0
0.56,0.9315,0.0,0.0135,0.0,0.0342,-0.0166,0.9255,0.9315,normal,0
0.58,0.9315,0.0,0.0135,0.0,0.0342,-0.0166,0.9255,0.9315,normal,0
0.6,0.9315,0.0,0.0135,0.0,0.0342,-0.0166,0.9255,0.9315,normal,0
0.62,0.9315,0.0,0.0135,0.0,0.0342,-0.0166,0.9255,0.9315,normal,0
0.64,0.9315,0.0,0.0135,0.0,0.0342,-0.0166,0.9255,0.9315,normal,0
