t,Vp,Vn,iq,iq_ref,se_d,se_q,Vdc,v_load,gate,in_fault
0.0,0.9957,0.0,0.011,0.0,0.0376,-0.0504,0.9301,0.9957,normal,0
0.02,0.9958,0.0,0.0092,0.0,0.0268,-0.0064,0.9409,0.9958,normal,0
0.04,0.9958,0.0,0.0083,0.0,0.0273,-0.0249,0.9366,0.9958,normal,0
0.06,0.9958,0.0,0.0089,0.0,0.0275,-0.0193,0.9372,0.9958,normal,0
0.08,0.9958,0.0,0.0087,0.0,0.0274,-0.0207,0.937,0.9958,normal,0
0.1,0.9878,0.0078,0.01,0.0,0.0324,-0.0257,0.9283,0.9878,normal,1
0.12,0.9879,0.0079,0.0105,0.0,0.0292,-0.0194,0.9324,0.9879,normal,1
0.14,0.988,0.0079,0.0098,0.0,0.0313,-0.025,0.9288,0.988,normal,1
0.16,0.988,0.0079,0.0103,0.0,0.0296,-0.0201,0.9316,0.988,normal,1
0.18,0.988,0.0079,0.0099,0.0,0.031,-0.0241,0.9293,0.988,normal,1
0.2,0.988,0.0079,0.0102,0.0,0.0299,-0.0208,0.9312,0.988,normal,1
0.22,0.988,0.0079,0.0099,0.0,0.0308,-0.0235,0.9296,0.988,normal,1
0.24,0.988,0.0079,0.0102,0.0,0.0301,-0.0212,0.9309,0.988,normal,1
0.26,0.988,0.0079,0.01,0.0,0.0306,-0.0231,0.9298,0.988,normal,1
0.28,0.988,0.0079,0.0101,0.0,0.0302,-0.0216,0.9307,0.988,normal,1
0.3,0.988,0.0079,0.01,0.0,0.0306,-0.0228,0.93,0.988,normal,1
0.32,0.988,0.0079,0.0101,0.0,0.0302,-0.0218,0.9306,0.988,normal,1
0.34,0.988,0.0079,0.01,0.0,0.0305,-0.0227,0.9301,0.988,normal,1
0.36,0.988,0.0079,0.0101,0.0,0.0303,-0.0219,0.9305,0.988,normal,1
0.38,0.988,0.0079,0.01,0.0,0.0305,-0.0225,0.9302,0.988,normal,1
0.4,0.988,0.0079,0.0101,0.0,0.0303,-0.022,0.9305,0.988,normal,1
0.42,0.988,0.0079,0.01,0.0,0.0304,-0.0224,0.9302,0.988,normal,1
0.44,0.988,0.0079,0.0101,0.0,0.0303,-0.0221,0.9304,0.988,normal,1
0.46,0.988,0.0079,0.01,0.0,0.0304,-0.0224,0.9303,0.988,normal,1
0.48,0.988,0.0079,0.0101,0.0,0.0303,-0.0222,0.9304,0.988,normal,1
0.5,0.988,0.0079,0.01,0.0,0.0304,-0.0223,0.9303,0.988,normal,1
0.52,0.988,0.0079,0.0101,0.0,0.0304,-0.0222,0.9304,0.988,normal,1
0.54,0.988,0.0079,0.01,0.0,0.0304,-0.0223,0.9303,0.988,normal,1
0.56,0.988,0.0079,0.0101,0.0,0.0304,-0.0222,0.9304,0.988,normal,1
0.58,0.988,0.0079,0.01,0.0,0.0304,-0.0223,0.9303,0.988,normal,1
0.6,0.988,0.0079,0.0101,0.0,0.0304,-0.0222,0.9303,0.988,normal,1
0.62,0.988,0.0079,0.01,0.0,0.0304,-0.0223,0.9303,0.988,normal,1
0.64,0.988,0.0079,0.0101,0.0,0.0304,-0.0222,0.9303,0.988,normal,1
0.66,0.988,0.0079,0.01,0.0,0.0304,-0.0223,0.9303,0.988,normal,1
0.68,0.988,0.0079,0.0101,0.0,0.0304,-0.0222,0.9303,0.988,normal,1
0.7,0.988,0.0079,0.01,0.0,0.0304,-0.0223,0.9303,0.988,normal,1
0.72,0.988,0.0079,0.0101,0.0,0.0304,-0.0223,0.9303,0.988,normal,1
0.74,0.996,0.0,0.0085,0.0,0.0266,-0.0174,0.9373,0.996,normal,0
0.76,0.9957,0.0,0.0087,0.0,0.0275,-0.0218,0.9365,0.9957,normal,0
0.78,0.9958,0.0,0.0088,0.0,0.0274,-0.02,0.9371,0.9958,normal,0
0.8,0.9958,0.0,0.0087,0.0,0.0274,-0.0206,0.937,0.9958,normal,0
0.82,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
0.84,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
0.86,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
0.88,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
0.9,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
0.92,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
0.94,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
0.96,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
0.98,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
1.0,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
1.02,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
1.04,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
1.06,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
1.08,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
1.1,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
1.12,0.9958,0.0,0.0087,0.0,0.0274,-0.0205,0.937,0.9958,normal,0
