t,Vp,Vn,iq,iq_ref,se_d,se_q,Vdc,v_load,gate,in_fault
0.0,0.9531,0.0,0.0155,0.0,0.0414,-0.0483,0.9255,0.9531,normal,0
0.02,0.9538,0.0,0.0122,0.0,0.0309,-0.0028,0.935,0.9538,normal,0
0.04,0.9537,0.0,0.011,0.0,0.0314,-0.0221,0.9302,0.9537,normal,0
0.06,0.9536,0.0,0.0118,0.0,0.0315,-0.0163,0.9308,0.9536,normal,0
0.08,0.9537,0.0,0.0115,0.0,0.0314,-0.0178,0.9306,0.9537,normal,0
0.1,0.4937,0.4619,0.2567,0.3,0.0566,0.0723,0.8475,0.5203,normal,1
0.12,0.5002,0.4677,0.24,0.3,-0.0607,-0.0735,0.9029,0.5002,asym,1
0.14,0.502,0.4694,0.24,0.3,-0.0509,-0.0629,0.9226,0.502,asym,1
0.16,0.5015,0.469,0.24,0.3,-0.0515,-0.0659,0.927,0.5015,asym,1
0.18,0.5018,0.4692,0.24,0.3,-0.0504,-0.0651,0.9286,0.5018,asym,1
0.2,0.5016,0.4691,0.24,0.3,-0.0504,-0.0653,0.9289,0.5016,asym,1
0.22,0.5017,0.4692,0.24,0.3,-0.0503,-0.0652,0.9291,0.5017,asym,1
0.24,0.5017,0.4691,0.24,0.3,-0.0503,-0.0653,0.9291,0.5017,asym,1
0.26,0.5017,0.4691,0.24,0.3,-0.0503,-0.0653,0.9291,0.5017,asym,1
0.28,0.5017,0.4691,0.24,0.3,-0.0503,-0.0653,0.9291,0.5017,asym,1
0.3,0.5017,0.4691,0.24,0.3,-0.0503,-0.0653,0.9291,0.5017,asym,1
0.32,0.5017,0.4691,0.24,0.3,-0.0503,-0.0653,0.9291,0.5017,asym,1
0.34,0.5017,0.4691,0.24,0.3,-0.0503,-0.0653,0.9291,0.5017,asym,1
0.36,0.5017,0.4691,0.24,0.3,-0.0503,-0.0653,0.9291,0.5017,asym,1
0.38,0.5017,0.4691,0.24,0.3,-0.0503,-0.0653,0.9291,0.5017,asym,1
0.4,0.5017,0.4691,0.24,0.3,-0.0503,-0.0653,0.9291,0.5017,asym,1
0.42,0.5017,0.4691,0.24,0.3,-0.0503,-0.0653,0.9291,0.5017,asym,1
0.44,0.5017,0.4691,0.24,0.3,-0.0503,-0.0653,0.9291,0.5017,asym,1
0.46,0.5017,0.4691,0.24,0.3,-0.0503,-0.0653,0.9291,0.5017,asym,1
0.48,0.5017,0.4691,0.24,0.3,-0.0503,-0.0653,0.9291,0.5017,asym,1
0.5,0.5017,0.4691,0.24,0.3,-0.0503,-0.0653,0.9291,0.5017,asym,1
