t,Vp,Vn,iq,iq_ref,se_d,se_q,Vdc,v_load,gate,in_fault
0.0,0.9811,0.0,0.0123,0.0,0.0394,-0.0506,0.9275,0.9811,normal,0
0.02,0.9813,0.0,0.0102,0.0,0.0281,-0.0044,0.939,0.9813,normal,0
0.04,0.9812,0.0,0.0092,0.0,0.0288,-0.0243,0.9343,0.9812,normal,0
0.06,0.9812,0.0,0.0099,0.0,0.0288,-0.0182,0.935,0.9812,normal,0
0.08,0.9812,0.0,0.0096,0.0,0.0288,-0.0198,0.9348,0.9812,normal,0
0.1,0.9258,0.0556,0.0113,0.0,0.0338,-0.0363,0.9218,0.9258,normal,1
0.12,0.9259,0.0556,0.0126,0.0,0.0301,-0.0256,0.9269,0.9259,normal,1
0.14,0.9276,0.0555,0.0114,0.0,0.032,-0.0321,0.9236,0.9276,normal,1
0.16,0.928,0.0555,0.0121,0.0,0.0309,-0.0281,0.9254,0.928,normal,1
0.18,0.9279,0.0555,0.0116,0.0,0.0315,-0.0304,0.9243,0.9279,normal,1
0.2,0.9279,0.0555,0.0119,0.0,0.0312,-0.0291,0.9249,0.9279,normal,1
0.22,0.9279,0.0555,0.0117,0.0,0.0314,-0.0299,0.9246,0.9279,normal,1
0.24,0.9279,0.0555,0.0118,0.0,0.0313,-0.0294,0.9248,0.9279,normal,1
0.26,0.9279,0.0555,0.0118,0.0,0.0313,-0.0297,0.9247,0.9279,normal,1
0.28,0.9279,0.0555,0.0118,0.0,0.0313,-0.0295,0.9247,0.9279,normal,1
0.3,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.32,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.34,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.36,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.38,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.4,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.42,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.44,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.46,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.48,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.5,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.52,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.54,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.56,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.58,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.6,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.62,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.64,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.66,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.68,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.7,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.72,0.9279,0.0555,0.0118,0.0,0.0313,-0.0296,0.9247,0.9279,normal,1
0.74,0.9832,0.0,0.0095,0.0,0.0282,-0.0142,0.9347,0.9832,normal,0
0.76,0.9812,0.0,0.0096,0.0,0.0287,-0.0212,0.9343,0.9812,normal,0
0.78,0.9812,0.0,0.0098,0.0,0.0288,-0.019,0.9348,0.9812,normal,0
0.8,0.9812,0.0,0.0097,0.0,0.0288,-0.0196,0.9348,0.9812,normal,0
0.82,0.9812,0.0,0.0097,0.0,0.0288,-0.0194,0.9348,0.9812,normal,0
0.84,0.9812,0.0,0.0097,0.0,0.0288,-0.0195,0.9348,0.9812,normal,0
0.86,0.9812,0.0,0.0097,0.0,0.0288,-0.0195,0.9348,0.9812,normal,0
0.88,0.9812,0.0,0.0097,0.0,0.0288,-0.0195,0.9348,0.9812,normal,0
0.9,0.9812,0.0,0.0097,0.0,0.0288,-0.0195,0.9348,0.9812,normal,0
0.92,0.9812,0.0,0.0097,0.0,0.0288,-0.0195,0.9348,0.9812,normal,0
0.94,0.9812,0.0,0.0097,0.0,0.0288,-0.0195,0.9348,0.9812,normal,0
0.96,0.9812,0.0,0.0097,0.0,0.0288,-0.0195,0.9348,0.9812,normal,0
