t,Vp,Vn,iq,iq_ref,se_d,se_q,Vdc,v_load,gate,in_fault
0.0,0.9752,0.0,0.0129,0.0,0.0399,-0.0502,0.9269,0.9752,normal,0
0.02,0.9754,0.0,0.0106,0.0,0.0287,-0.0039,0.9382,0.9754,normal,0
0.04,0.9753,0.0,0.0096,0.0,0.0293,-0.0238,0.9334,0.9753,normal,0
0.06,0.9753,0.0,0.0103,0.0,0.0294,-0.0177,0.9341,0.9753,normal,0
0.08,0.9753,0.0,0.01,0.0,0.0293,-0.0194,0.9339,0.9753,normal,0
0.1,0.7502,0.0,0.0342,0.2248,0.0363,0.0281,0.9192,0.7672,normal,1
0.12,0.7484,0.0,0.2064,0.2274,0.0659,-0.1937,0.8021,0.7794,sym,1
0.14,0.7492,0.0,0.27,0.2262,-0.039,-0.1997,0.8517,0.7492,sym,1
0.16,0.7495,0.0,0.27,0.2258,-0.0334,-0.1991,0.866,0.7495,sym,1
0.18,0.7495,0.0,0.27,0.2258,-0.0337,-0.1991,0.87,0.7495,sym,1
0.2,0.7495,0.0,0.27,0.2258,-0.0336,-0.1991,0.8712,0.7495,sym,1
0.22,0.7495,0.0,0.27,0.2258,-0.0336,-0.1991,0.8715,0.7495,sym,1
0.24,0.7495,0.0,0.27,0.2258,-0.0336,-0.1991,0.8716,0.7495,sym,1
0.26,0.978,0.0,0.009,0.0,0.0283,-0.0202,0.9173,0.978,sym,0
0.28,0.9753,0.0,0.01,0.0,0.0282,-0.0175,0.9313,0.9753,normal,0
0.3,0.9753,0.0,0.01,0.0,0.0294,-0.0199,0.9328,0.9753,normal,0
0.32,0.9753,0.0,0.0101,0.0,0.0293,-0.0187,0.9338,0.9753,normal,0
0.34,0.9753,0.0,0.0101,0.0,0.0293,-0.0192,0.9338,0.9753,normal,0
0.36,0.9753,0.0,0.0101,0.0,0.0293,-0.019,0.9339,0.9753,normal,0
0.38,0.9753,0.0,0.0101,0.0,0.0293,-0.0191,0.9339,0.9753,normal,0
0.4,0.9753,0.0,0.0101,0.0,0.0293,-0.019,0.9339,0.9753,normal,0
0.42,0.9753,0.0,0.0101,0.0,0.0293,-0.019,0.9339,0.9753,normal,0
0.44,0.9753,0.0,0.0101,0.0,0.0293,-0.019,0.9339,0.9753,normal,0
0.46,0.9753,0.0,0.0101,0.0,0.0293,-0.019,0.9339,0.9753,normal,0
0.48,0.9753,0.0,0.0101,0.0,0.0293,-0.019,0.9339,0.9753,normal,0
0.5,0.9753,0.0,0.0101,0.0,0.0293,-0.019,0.9339,0.9753,normal,0
0.52,0.9753,0.0,0.0101,0.0,0.0293,-0.019,0.9339,0.9753,normal,0
0.54,0.9753,0.0,0.0101,0.0,0.0293,-0.019,0.9339,0.9753,normal,0
0.56,0.9753,0.0,0.0101,0.0,0.0293,-0.019,0.9339,0.9753,normal,0
0.58,0.9753,0.0,0.0101,0.0,0.0293,-0.019,0.9339,0.9753,normal,0
0.6,0.9753,0.0,0.0101,0.0,0.0293,-0.019,0.9339,0.9753,normal,0
0.62,0.9753,0.0,0.0101,0.0,0.0293,-0.019,0.9339,0.9753,normal,0
0.64,0.9753,0.0,0.0101,0.0,0.0293,-0.019,0.9339,0.9753,normal,0
