t,Vp,Vn,iq,iq_ref,se_d,Vdc,v_load,gate,in_fault
0.0,0.9307,0.0,0.019,0.0,0.0432,0.9188,0.9307,normal,0
0.02,0.9318,0.0,0.0133,0.0,0.0335,0.9301,0.9318,normal,0
0.04,0.9315,0.0,0.0131,0.0,0.0345,0.9242,0.9315,normal,0
0.06,0.9315,0.0,0.0136,0.0,0.0341,0.926,0.9315,normal,0
0.08,0.9315,0.0,0.0134,0.0,0.0343,0.9252,0.9315,normal,0
0.1,0.632,0.2996,0.166,0.3,0.0368,0.8945,0.6493,normal,1
0.12,0.6342,0.3034,0.24,0.3,-0.0635,0.9283,0.6342,asym,1
0.76,0.5996,0.0,0.1365,0.3,0.0711,0.8697,0.633,asym,0
0.78,0.6166,0.0,0.249,0.3,0.0436,0.8102,0.6371,sym,0
0.8,0.6542,0.0,0.2375,0.3,0.0603,0.7736,0.6825,sym,0
0.82,0.678,0.0,0.2262,0.3,0.0518,0.7767,0.7024,sym,0
0.84,0.6997,0.0,0.22,0.3,0.0475,0.7846,0.722,sym,0
0.86,0.7197,0.0,0.2037,0.2705,0.0464,0.7903,0.7415,sym,0
0.88,0.7374,0.0,0.186,0.2439,0.0468,0.7936,0.7594,sym,0
0.9,0.7534,0.0,0.1653,0.22,0.048,0.7959,0.7759,sym,0
0.92,0.7676,0.0,0.1442,0.1985,0.0545,0.792,0.7932,sym,0
0.94,0.7807,0.0,0.1229,0.179,0.0546,0.7977,0.8063,sym,0
0.96,0.7924,0.0,0.1053,0.1614,0.0531,0.8094,0.8174,sym,0
0.98,0.8033,0.0,0.089,0.1451,0.0549,0.8162,0.8291,sym,0
1.0,0.8133,0.0,0.0718,0.13,0.052,0.8328,0.8378,sym,0
1.02,0.8225,0.0,0.0589,0.1163,0.0533,0.8424,0.8475,sym,0
1.04,0.831,0.0,0.0472,0.1035,0.0499,0.8632,0.8545,sym,0
1.06,0.8388,0.0,0.045,0.0918,0.0533,0.8609,0.8639,sym,0
1.08,0.8462,0.0,0.0337,0.0807,0.0465,0.8838,0.868,sym,0
1.1,0.853,0.0,0.0376,0.0705,0.0491,0.8743,0.8761,sym,0
1.12,0.8594,0.0,0.0247,0.061,0.0431,0.897,0.8796,sym,0
1.14,0.8652,0.0,0.0298,0.0522,0.0463,0.8858,0.887,sym,0
1.16,0.8705,0.0,0.02,0.0443,0.0406,0.9069,0.8896,sym,0
1.18,0.8755,0.0,0.0245,0.0367,0.0439,0.8945,0.8962,sym,0
1.2,0.88,0.0,0.0186,0.0301,0.04,0.9115,0.8987,sym,0
1.22,0.8843,0.0,0.02,0.0236,0.0418,0.9022,0.9039,sym,0
1.24,0.888,0.0,0.0176,0.018,0.0398,0.9135,0.9067,sym,0
1.26,0.8917,0.0,0.0184,0.0125,0.0405,0.9075,0.9107,sym,0
1.28,0.8948,0.0,0.0168,0.0077,0.0393,0.9148,0.9133,sym,0
1.3,0.8979,0.0,0.017,0.0031,0.0396,0.9112,0.9165,sym,0
1.32,0.9006,0.0,0.016,0.0,0.0385,0.9167,0.9006,sym,0
1.34,0.9032,0.0,0.0162,0.0,0.0386,0.9149,0.9032,normal,0
1.36,0.9055,0.0,0.0157,0.0,0.0379,0.9181,0.9055,normal,0
1.38,0.9076,0.0,0.0157,0.0,0.0378,0.9178,0.9076,normal,0
1.4,0.9096,0.0,0.0154,0.0,0.0375,0.9192,0.9096,normal,0
1.42,0.9114,0.0,0.0153,0.0,0.0373,0.9195,0.9114,normal,0
1.44,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.46,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.48,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.5,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.52,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.54,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.56,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.58,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.6,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.62,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.64,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.66,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.68,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.7,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.72,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.74,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.76,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.78,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.8,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
1.82,0.9118,0.0,0.0153,0.0,0.0373,0.9197,0.9118,normal,0
