t,Vp,Vn,iq,iq_ref,se_d,Vdc,v_load,gate,in_fault
0.0,0.9274,0.0,0.0195,0.0,0.0435,0.9177,0.9274,normal,0
0.02,0.9284,0.0,0.0135,0.0,0.034,0.9289,0.9284,normal,0
0.04,0.9281,0.0,0.0134,0.0,0.035,0.9231,0.9281,normal,0
0.06,0.9281,0.0,0.014,0.0,0.0346,0.9251,0.9281,normal,0
0.08,0.9282,0.0,0.0137,0.0,0.0348,0.9243,0.9282,normal,0
0.1,0.8218,0.1067,0.1864,0.1174,-0.0846,0.9565,0.8218,asym,1
0.76,0.5904,0.0,0.2629,0.3,0.0436,0.8318,0.6109,sym,0
0.78,0.6198,0.0,0.2507,0.3,0.0646,0.7718,0.6501,sym,0
0.8,0.6464,0.0,0.2373,0.3,0.0563,0.7685,0.6729,sym,0
0.82,0.6706,0.0,0.2294,0.3,0.0527,0.7736,0.6954,sym,0
0.84,0.6929,0.0,0.2221,0.3,0.049,0.7812,0.7159,sym,0
0.86,0.7131,0.0,0.2095,0.2804,0.0468,0.7881,0.7351,sym,0
0.88,0.7311,0.0,0.1932,0.2533,0.0461,0.793,0.7528,sym,0
0.9,0.7473,0.0,0.1734,0.229,0.0474,0.7953,0.7696,sym,0
0.92,0.7619,0.0,0.1535,0.2071,0.0514,0.794,0.7861,sym,0
0.94,0.7752,0.0,0.131,0.1872,0.056,0.7929,0.8015,sym,0
0.96,0.7872,0.0,0.1129,0.1692,0.0524,0.8065,0.8119,sym,0
0.98,0.7983,0.0,0.0973,0.1525,0.0559,0.8099,0.8246,sym,0
1.0,0.8086,0.0,0.079,0.1371,0.052,0.827,0.833,sym,0
1.02,0.8179,0.0,0.0665,0.1231,0.054,0.8346,0.8433,sym,0
1.04,0.8266,0.0,0.0517,0.1101,0.0503,0.8561,0.8502,sym,0
1.06,0.8346,0.0,0.0479,0.0981,0.0536,0.8569,0.8598,sym,0
1.08,0.8421,0.0,0.0365,0.0868,0.0472,0.8802,0.8643,sym,0
1.1,0.849,0.0,0.0405,0.0765,0.0503,0.8701,0.8726,sym,0
1.12,0.8556,0.0,0.0268,0.0667,0.044,0.8941,0.8762,sym,0
1.14,0.8613,0.0,0.0323,0.0581,0.0474,0.8815,0.8835,sym,0
1.16,0.8668,0.0,0.0207,0.0497,0.0411,0.905,0.8861,sym,0
1.18,0.8717,0.0,0.0267,0.0425,0.0449,0.8905,0.8928,sym,0
1.2,0.8764,0.0,0.019,0.0354,0.0398,0.9111,0.8951,sym,0
1.22,0.8805,0.0,0.0222,0.0292,0.0429,0.8978,0.9007,sym,0
1.24,0.8845,0.0,0.0179,0.0233,0.0398,0.9133,0.9032,sym,0
1.26,0.888,0.0,0.0193,0.0179,0.0409,0.905,0.9073,sym,0
1.28,0.8913,0.0,0.0172,0.013,0.0398,0.914,0.91,sym,0
1.3,0.8944,0.0,0.0178,0.0085,0.0401,0.9091,0.9132,sym,0
1.32,0.8971,0.0,0.0165,0.0043,0.039,0.9156,0.9155,sym,0
1.34,0.8997,0.0,0.0167,0.0005,0.0393,0.9124,0.9181,sym,0
1.36,0.902,0.0,0.0159,0.0,0.0383,0.9171,0.902,normal,0
1.38,0.9042,0.0,0.0161,0.0,0.0384,0.9156,0.9042,normal,0
1.4,0.9061,0.0,0.0156,0.0,0.0379,0.9183,0.9061,normal,0
1.42,0.9079,0.0,0.0156,0.0,0.0377,0.918,0.9079,normal,0
1.44,0.9084,0.0,0.0155,0.0,0.0377,0.9187,0.9084,normal,0
1.46,0.9084,0.0,0.0156,0.0,0.0377,0.9184,0.9084,normal,0
1.48,0.9084,0.0,0.0155,0.0,0.0377,0.9186,0.9084,normal,0
1.5,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.52,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.54,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.56,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.58,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.6,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.62,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.64,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.66,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.68,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.7,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.72,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.74,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.76,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.78,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.8,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
1.82,0.9084,0.0,0.0156,0.0,0.0377,0.9185,0.9084,normal,0
