t,Vp,Vn,iq,iq_ref,se_d,se_q,Vdc,v_load,gate,in_fault
0.0,0.9362,0.0,0.018,0.0,0.0427,-0.0557,0.9208,0.9362,normal,0
0.02,0.9371,0.0,0.013,0.0,0.0328,0.0001,0.9321,0.9371,normal,0
0.04,0.9369,0.0,0.0125,0.0,0.0338,-0.0229,0.9258,0.9369,normal,0
0.06,0.9368,0.0,0.0131,0.0,0.0333,-0.0146,0.9276,0.9368,normal,0
0.08,0.9369,0.0,0.0129,0.0,0.0335,-0.0175,0.9268,0.9369,normal,0
0.1,0.878,0.0591,0.0131,0.0329,0.032,-0.0301,0.9241,0.8931,normal,1
0.12,0.8781,0.0591,0.1957,0.0329,0.0501,-0.1939,0.8281,0.9016,sym,1
0.14,0.8875,0.0583,0.246,0.0188,0.0183,-0.1938,0.8411,0.8961,sym,1
0.16,0.8898,0.0581,0.2288,0.0152,0.0223,-0.1775,0.8462,0.9003,sym,1
0.18,0.889,0.0582,0.2282,0.0165,0.0226,-0.1831,0.8453,0.8996,sym,1
0.2,0.889,0.0582,0.231,0.0166,0.0226,-0.184,0.8445,0.8996,sym,1
0.22,0.8891,0.0582,0.2301,0.0163,0.0226,-0.1831,0.8448,0.8997,sym,1
0.24,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.26,0.8891,0.0582,0.2302,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.28,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.3,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.32,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.34,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.36,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.38,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.4,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.42,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.44,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.46,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.48,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.5,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.52,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.54,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.56,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.58,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.6,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.62,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.64,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.66,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.68,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.7,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.72,0.8891,0.0582,0.2301,0.0164,0.0226,-0.1833,0.8447,0.8997,sym,1
0.74,0.9471,0.0,0.0099,0.0,0.035,-0.0089,0.9045,0.9471,sym,0
0.76,0.9367,0.0,0.0125,0.0,0.0304,-0.015,0.9255,0.9367,normal,0
0.78,0.9368,0.0,0.013,0.0,0.034,-0.019,0.925,0.9368,normal,0
0.8,0.9369,0.0,0.0129,0.0,0.0332,-0.0155,0.9272,0.9369,normal,0
0.82,0.9369,0.0,0.0129,0.0,0.0335,-0.0173,0.9268,0.9369,normal,0
0.84,0.9369,0.0,0.013,0.0,0.0334,-0.0165,0.927,0.9369,normal,0
0.86,0.9369,0.0,0.0129,0.0,0.0334,-0.0168,0.927,0.9369,normal,0
0.88,0.9369,0.0,0.0129,0.0,0.0334,-0.0167,0.927,0.9369,normal,0
0.9,0.9369,0.0,0.0129,0.0,0.0334,-0.0168,0.927,0.9369,normal,0
0.92,0.9369,0.0,0.0129,0.0,0.0334,-0.0168,0.927,0.9369,normal,0
0.94,0.9369,0.0,0.0129,0.0,0.0334,-0.0168,0.927,0.9369,normal,0
0.96,0.9369,0.0,0.0129,0.0,0.0334,-0.0168,0.927,0.9369,normal,0
0.98,0.9369,0.0,0.0129,0.0,0.0334,-0.0168,0.927,0.9369,normal,0
1.0,0.9369,0.0,0.0129,0.0,0.0334,-0.0168,0.927,0.9369,normal,0
1.02,0.9369,0.0,0.0129,0.0,0.0334,-0.0168,0.927,0.9369,normal,0
1.04,0.9369,0.0,0.0129,0.0,0.0334,-0.0168,0.927,0.9369,normal,0
1.06,0.9369,0.0,0.0129,0.0,0.0334,-0.0168,0.927,0.9369,normal,0
1.08,0.9369,0.0,0.0129,0.0,0.0334,-0.0168,0.927,0.9369,normal,0
1.1,0.9369,0.0,0.0129,0.0,0.0334,-0.0168,0.927,0.9369,normal,0
1.12,0.9369,0.0,0.0129,0.0,0.0334,-0.0168,0.927,0.9369,normal,0
