t,Vp,Vn,iq,iq_ref,se_d,Vdc,v_load,gate,in_fault
0.0,0.9264,0.0,0.0197,0.0,0.0436,0.9173,0.9264,normal,0
0.02,0.9274,0.0,0.0136,0.0,0.0341,0.9285,0.9274,normal,0
0.04,0.9271,0.0,0.0135,0.0,0.0352,0.9228,0.9271,normal,0
0.06,0.9271,0.0,0.0141,0.0,0.0348,0.9248,0.9271,normal,0
0.08,0.9272,0.0,0.0138,0.0,0.035,0.924,0.9272,normal,0
0.1,0.6582,0.0,0.1215,0.3,0.0382,0.9008,0.6761,normal,1
0.12,0.6664,0.0,0.2472,0.3,0.0883,0.759,0.7078,sym,1
0.14,0.6762,0.0,0.27,0.3,-0.028,0.8372,0.6762,sym,1
0.16,0.678,0.0,0.27,0.3,-0.0215,0.8595,0.678,sym,1
0.18,0.678,0.0,0.27,0.3,-0.0218,0.8658,0.678,sym,1
0.2,0.678,0.0,0.27,0.3,-0.0218,0.8676,0.678,sym,1
0.22,0.678,0.0,0.27,0.3,-0.0218,0.8681,0.678,sym,1
0.24,0.678,0.0,0.27,0.3,-0.0218,0.8682,0.678,sym,1
0.26,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.28,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.3,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.32,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.34,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.36,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.38,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.4,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.42,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.44,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.46,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.48,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.5,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.52,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.54,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.56,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.58,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.6,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.62,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.64,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.66,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.68,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.7,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.72,0.678,0.0,0.27,0.3,-0.0218,0.8683,0.678,sym,1
0.74,0.583,0.0,0.2673,0.3,0.0714,0.7699,0.6166,sym,0
0.76,0.6005,0.0,0.2548,0.3,0.06,0.7607,0.6287,sym,0
0.78,0.6286,0.0,0.2449,0.3,0.0591,0.7604,0.6564,sym,0
0.8,0.6546,0.0,0.2348,0.3,0.0544,0.7681,0.6802,sym,0
0.82,0.6781,0.0,0.2272,0.3,0.0517,0.7753,0.7024,sym,0
0.84,0.6996,0.0,0.2198,0.3,0.0477,0.7839,0.7221,sym,0
0.86,0.7191,0.0,0.2043,0.2714,0.0462,0.7902,0.7408,sym,0
0.88,0.7364,0.0,0.1874,0.2455,0.0466,0.7937,0.7583,sym,0
0.9,0.752,0.0,0.1674,0.2221,0.0475,0.7962,0.7743,sym,0
0.92,0.766,0.0,0.147,0.201,0.0538,0.7923,0.7913,sym,0
0.94,0.7788,0.0,0.1258,0.1818,0.055,0.7961,0.8046,sym,0
0.96,0.7904,0.0,0.1084,0.1644,0.0529,0.8082,0.8153,sym,0
0.98,0.8012,0.0,0.0924,0.1482,0.0554,0.8135,0.8272,sym,0
1.0,0.8111,0.0,0.0754,0.1334,0.0521,0.8301,0.8355,sym,0
1.02,0.8201,0.0,0.0629,0.1199,0.0538,0.8381,0.8454,sym,0
1.04,0.8285,0.0,0.0495,0.1072,0.0499,0.86,0.852,sym,0
1.06,0.8363,0.0,0.047,0.0956,0.0539,0.8575,0.8616,sym,0
1.08,0.8437,0.0,0.0347,0.0845,0.0466,0.8829,0.8656,sym,0
1.1,0.8502,0.0,0.04,0.0746,0.0501,0.8706,0.8738,sym,0
1.12,0.8567,0.0,0.0254,0.0649,0.0433,0.8965,0.8771,sym,0
1.14,0.8621,0.0,0.0321,0.0568,0.0473,0.8816,0.8844,sym,0
1.16,0.8677,0.0,0.0202,0.0485,0.0406,0.9068,0.8868,sym,0
1.18,0.8723,0.0,0.0268,0.0416,0.0448,0.8901,0.8933,sym,0
1.2,0.877,0.0,0.0188,0.0346,0.0397,0.9118,0.8956,sym,0
1.22,0.8809,0.0,0.0222,0.0287,0.0429,0.8975,0.901,sym,0
1.24,0.8848,0.0,0.0178,0.0228,0.0398,0.9136,0.9035,sym,0
1.26,0.8882,0.0,0.0193,0.0177,0.0409,0.9048,0.9074,sym,0
1.28,0.8914,0.0,0.0172,0.0129,0.0398,0.9141,0.9101,sym,0
1.3,0.8943,0.0,0.0178,0.0085,0.0401,0.909,0.9132,sym,0
1.32,0.8971,0.0,0.0165,0.0044,0.039,0.9156,0.9154,sym,0
1.34,0.8995,0.0,0.0167,0.0007,0.0393,0.9123,0.918,sym,0
1.36,0.9018,0.0,0.0159,0.0,0.0384,0.9171,0.9018,sym,0
1.38,0.9039,0.0,0.0162,0.0,0.0385,0.9154,0.9039,normal,0
1.4,0.9058,0.0,0.0157,0.0,0.0379,0.9181,0.9058,normal,0
1.42,0.9075,0.0,0.0157,0.0,0.0378,0.9178,0.9075,normal,0
1.44,0.908,0.0,0.0156,0.0,0.0378,0.9185,0.908,normal,0
1.46,0.9079,0.0,0.0156,0.0,0.0378,0.9182,0.9079,normal,0
1.48,0.9079,0.0,0.0156,0.0,0.0378,0.9184,0.9079,normal,0
1.5,0.908,0.0,0.0156,0.0,0.0378,0.9183,0.908,normal,0
1.52,0.9079,0.0,0.0156,0.0,0.0378,0.9184,0.9079,normal,0
1.54,0.908,0.0,0.0156,0.0,0.0378,0.9184,0.908,normal,0
1.56,0.9079,0.0,0.0156,0.0,0.0378,0.9184,0.9079,normal,0
1.58,0.908,0.0,0.0156,0.0,0.0378,0.9184,0.908,normal,0
1.6,0.9079,0.0,0.0156,0.0,0.0378,0.9184,0.9079,normal,0
1.62,0.908,0.0,0.0156,0.0,0.0378,0.9184,0.908,normal,0
1.64,0.9079,0.0,0.0156,0.0,0.0378,0.9184,0.9079,normal,0
1.66,0.908,0.0,0.0156,0.0,0.0378,0.9184,0.908,normal,0
1.68,0.9079,0.0,0.0156,0.0,0.0378,0.9184,0.9079,normal,0
1.7,0.908,0.0,0.0156,0.0,0.0378,0.9184,0.908,normal,0
1.72,0.9079,0.0,0.0156,0.0,0.0378,0.9184,0.9079,normal,0
1.74,0.908,0.0,0.0156,0.0,0.0378,0.9184,0.908,normal,0
1.76,0.9079,0.0,0.0156,0.0,0.0378,0.9184,0.9079,normal,0
1.78,0.908,0.0,0.0156,0.0,0.0378,0.9184,0.908,normal,0
1.8,0.9079,0.0,0.0156,0.0,0.0378,0.9184,0.9079,normal,0
1.82,0.9079,0.0,0.0156,0.0,0.0378,0.9184,0.9079,normal,0
