scenario_idx,sc_id,strategy,vdc_min_pu,vdc_max_pu,i2_max_pu,lvrt_pass
1,0,0,0.92833366158177,1.0542975879328,1.15574286189138,1
1,0,1,0.909320036082559,1.02864228816564,1.13249767818136,1
1,0,2,0.885238603883185,1.02472734922547,1.12747071141766,1
1,0,3,0.853065685517606,1.04645098699706,1.07051343146165,1
2,0,0,0.914571727795659,1.05908288735718,1.41946573187479,1
2,0,1,0.904694106422083,1.03158943779831,1.39716389891363,1
2,0,2,0.879701998932171,1.0339038773487,1.38451534291368,1
2,0,3,0.849019665155412,1.05399631274333,1.34997809258391,1
3,0,0,0.931401474371019,1.05369006729354,1.47620377104781,1
3,0,1,0.914549416668484,1.02798828674532,1.45816628152065,1
3,0,2,0.886267058787631,1.0272233276824,1.44769356349466,1
3,0,3,0.859359310246443,1.04674802584022,1.40340348418873,1
4,0,0,0.929148662633503,1.05311403664991,1.28550344003207,1
4,0,1,0.910071592809559,1.02790730190715,1.25665272592468,1
4,0,2,0.886882748960617,1.02343063090416,1.24868738138112,1
4,0,3,0.844871517234217,1.04581041268203,1.2139459274139,1
5,0,0,0.908939263494936,1.06554732427443,1.5294671991752,1
5,0,1,0.899433294014755,1.0592009324285,1.50785162175337,1
5,0,2,0.878512507119828,1.05858582592425,1.49606394054898,1
5,0,3,0.848428730833714,1.05371385092061,1.45585573949192,1
6,0,0,0.928011978152309,1.05163970631733,1.25030446428399,1
6,0,1,0.907197186036194,1.02744217792094,1.23091899073566,1
6,0,2,0.882088988642383,1.02241933518402,1.2241126305064,1
6,0,3,0.850693971015998,1.04505387389106,1.1766277910614,1
7,0,0,0.905634670981071,1.05333216911268,1.23638765066637,1
7,0,1,0.894871538482174,1.02870808642296,1.20801093856399,1
7,0,2,0.876204734986557,1.02363941283605,1.19901836503642,1
7,0,3,0.842867326779936,1.04534364262539,1.16427951063752,1
8,0,0,0.907698158541184,1.05267675714486,1.29980979122601,1
8,0,1,0.896712094468405,1.02905772812437,1.27233871035742,1
8,0,2,0.878474786766853,1.02589252002701,1.26453199083952,1
8,0,3,0.842484027672668,1.04718172678918,1.23141805698426,1
9,0,0,0.915609027990731,1.06146189317915,1.42086831661602,1
9,0,1,0.903635269063325,1.03332804659399,1.39752219567077,1
9,0,2,0.878376637931549,1.03443794389715,1.38305988495247,1
9,0,3,0.849798041735601,1.05509133570098,1.35148735096619,1
10,0,0,0.914373397631788,1.10417679524534,1.56568864858453,1
10,0,1,0.900992609523331,1.09880065437466,1.54545089845471,1
10,0,2,0.878897070043037,1.09337365352425,1.53506936402326,1
10,0,3,0.847933763684687,1.08891372711118,1.49642225444668,1
11,0,0,0.908790795977338,1.05402285471397,1.51004829423453,1
11,0,1,0.899283135540806,1.02832953642765,1.48717032339763,1
11,0,2,0.880532811321051,1.02760133218583,1.47521226504792,1
11,0,3,0.847138152313471,1.04697698135582,1.4378431302816,1
12,0,0,0.91236274614793,1.05447950530207,1.61674361192301,1
12,0,1,0.900389557988409,1.02690705512705,1.59697031440603,1
12,0,2,0.878851968119743,1.02909536675391,1.58665704988146,1
12,0,3,0.848510383283212,1.05059440938286,1.54839967492154,1
13,0,0,0.923730462426122,1.05609490620032,1.34582730360144,1
13,0,1,0.903105474429587,1.03086574000513,1.32151176143615,1
13,0,2,0.880822916665158,1.03028793606847,1.30940474604135,1
13,0,3,0.847793068485347,1.05184153620686,1.2771509032914,1
14,0,0,0.912766984789908,1.07657386663712,1.40891289703414,1
14,0,1,0.900159628147044,1.07045782561636,1.38253831456158,1
14,0,2,0.877735882893123,1.06817622821594,1.37525781556425,1
14,0,3,0.848658074475643,1.06538773642327,1.33724746389057,1
15,0,0,0.907027106124573,1.09634471273003,1.39655222697108,1
15,0,1,0.896628630640484,1.08883291388407,1.36969593919777,1
15,0,2,0.878552908971325,1.08480402982011,1.36100228507307,1
