scenario_idx,sc_id,sc_label,m_sh,m_se_d,m_se_q
114,4,igbt_oc_se,0.8,0.0,0.0
115,4,igbt_oc_se,0.8,0.0,0.0
116,4,igbt_oc_se,0.8,0.0,0.0
117,4,igbt_oc_se,0.8,0.0,0.0
118,4,igbt_oc_se,0.8,0.0,0.0
119,4,igbt_oc_se,0.8,0.0,0.0
120,4,igbt_oc_se,0.8,0.0,0.0
121,4,igbt_oc_se,0.8,0.0,0.0
122,4,igbt_oc_se,0.8,0.0,0.0
123,4,igbt_oc_se,0.8,0.0,0.0
124,4,igbt_oc_se,0.8,0.0,0.0
125,4,igbt_oc_se,0.8,0.0,0.0
126,4,igbt_oc_se,0.8,0.0,0.0
127,4,igbt_oc_se,0.8,0.0,0.0
128,4,igbt_oc_se,0.8,0.0,0.0
129,4,igbt_oc_se,0.8,0.0,0.0
130,4,igbt_oc_se,0.8,0.0,0.0
131,4,igbt_oc_se,0.8,0.0,0.0
132,4,igbt_oc_se,0.8,0.0,0.0
133,4,igbt_oc_se,0.8,0.0,0.0
134,4,igbt_oc_se,0.8,0.0,0.0
135,4,igbt_oc_se,0.8,0.0,0.0
136,4,igbt_oc_se,0.8,0.0,0.0
137,4,igbt_oc_se,0.8,0.0,0.0
138,4,igbt_oc_se,0.8,0.0,0.0
139,4,igbt_oc_se,0.8,0.0,0.0
140,4,igbt_oc_se,0.8,0.0,0.0
141,4,igbt_oc_se,0.8,0.0,0.0
142,4,igbt_oc_se,0.8,0.0,0.0
143,4,igbt_oc_se,0.8,0.0,0.0
144,4,igbt_oc_se,0.8,0.0,0.0
145,4,igbt_oc_se,0.8,0.0,0.0
146,4,igbt_oc_se,0.8,0.0,0.0
147,4,igbt_oc_se,0.8,0.0,0.0
148,4,igbt_oc_se,0.8,0.0,0.0
149,4,igbt_oc_se,0.8,0.0,0.0
150,4,igbt_oc_se,0.8,0.0,0.0
151,5,cap_fault,0.8,0.0,0.0
152,5,cap_fault,0.8,0.0,0.0
153,5,cap_fault,0.8,0.0,0.0
154,5,cap_fault,0.8,0.0,0.0
155,5,cap_fault,0.8,0.0,0.0
156,5,cap_fault,0.8,0.0,0.0
157,5,cap_fault,0.8,0.0,0.0
158,5,cap_fault,0.8,0.0,0.0
159,5,cap_fault,0.8,0.0,0.0
160,5,cap_fault,0.8,0.0,0.0
161,5,cap_fault,0.8,0.0,0.0
162,5,cap_fault,0.8,0.0,0.0
163,5,cap_fault,0.8,0.0,0.0
164,5,cap_fault,0.8,0.0,0.0
165,5,cap_fault,0.8,0.0,0.0
166,5,cap_fault,0.8,0.0,0.0
167,5,cap_fault,0.8,0.0,0.0
168,5,cap_fault,0.8,0.0,0.0
169,5,cap_fault,0.8,0.0,0.0
170,5,cap_fault,0.8,0.0,0.0
171,5,cap_fault,0.8,0.0,0.0
172,5,cap_fault,0.8,0.0,0.0
173,5,cap_fault,0.8,0.0,0.0
174,5,cap_fault,0.8,0.0,0.0
175,5,cap_fault,0.8,0.0,0.0
176,5,cap_fault,0.8,0.0,0.0
177,5,cap_fault,0.8,0.0,0.0
178,5,cap_fault,0.8,0.0,0.0
179,5,cap_fault,0.8,0.0,0.0
180,5,cap_fault,0.8,0.0,0.0
181,5,cap_fault,0.8,0.0,0.0
182,5,cap_fault,0.8,0.0,0.0
183,5,cap_fault,0.8,0.0,0.0
184,5,cap_fault,0.8,0.0,0.0
185,5,cap_fault,0.8,0.0,0.0
186,5,cap_fault,0.8,0.0,0.0
187,5,cap_fault,0.8,0.0,0.0
188,5,cap_fault,0.8,0.0,0.0
189,5,cap_fault,0.8,0.0,0.0
190,5,cap_fault,0.8,0.0,0.0
191,5,cap_fault,0.8,0.0,0.0
192,5,cap_fault,0.8,0.0,0.0
193,5,cap_fault,0.8,0.0,0.0
194,5,cap_fault,0.8,0.0,0.0
195,5,cap_fault,0.8,0.0,0.0
196,5,cap_fault,0.8,0.0,0.0
197,5,cap_fault,0.8,0.0,0.0
198,5,cap_fault,0.8,0.0,0.0
199,5,cap_fault,0.8,0.0,0.0
200,5,cap_fault,0.8,0.0,0.0
201,6,sc_1ph,0.68,0.0646,0.0311
