scheme,n_scenarios,n_converged,convergence_pct,oscillation_pct,wrong_sign_scn_pct,frt_pass_pct,compliance_pct,connect_pct,reactive_pct,limit_pct,recover_pct,survive_pct,load_strict_pct,load_tol_pct,minV_mean
B4,48,46,95.833,2.083,0.000,92.935,94.565,98.370,94.565,100.000,100.000,100.000,41.848,81.522,0.648
C10,48,46,95.833,0.000,0.000,93.261,93.913,99.348,93.913,100.000,100.000,100.000,46.087,83.478,0.653
