"case_id","curriculum","eval_topology","eval_case_name","fault_family","fault_phase_key","eval_fault_pu","eval_fault_phase_pu","eval_duration_s","fault_start_s","fault_stop_margin_s","fault_settle_s","chopper_threshold","rchop_scale","actor_filter_tau","phase_override","init_model","baseline_score","conventional_score","r3_sac_pass","r3_sac_score","priority","notes"
"topology2_ab_hvrt1p100_80ms_stage5_retry","topology2_ab_hvrt105_60ms","topology2","ab_hvrt1p100_80ms","HVRT","ab","1.100","1.100 1.100 1.000","0.080","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_stage4_t2_ab_hvrt110_repair_20260726_01_topology2_ab_hvrt110_60ms_stage4_chunk03.zip","133.820730906877","225.386294518658","False","133.820730906877","stage5_hvrt_survival_expansion_retry","Retry after fixing invalid curriculum name. Previous attempt stopped at train_returncode_2 because topology2_ab_hvrt110_60ms is not a supported SAC curriculum."
"topology2_ab_hvrt1p100_120ms_stage5_retry","topology2_ab_hvrt105_60ms","topology2","ab_hvrt1p100_120ms","HVRT","ab","1.100","1.100 1.100 1.000","0.120","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_stage4_t2_ab_hvrt110_repair_20260726_01_topology2_ab_hvrt110_60ms_stage4_chunk03.zip","130.812898808024","223.625024503897","False","130.812898808024","stage5_hvrt_survival_expansion_retry","Retry after fixing invalid curriculum name. Previous attempt stopped at train_returncode_2 because topology2_ab_hvrt110_60ms is not a supported SAC curriculum."
