case_id,topology,fault_family,fault_phase_key,fault_pu,fault_phase_pu,duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,promotion_level,notes
t1_a_hvrt_fallback_balanced,topology1,HVRT,a,1.100,[1.100 1.000 1.000],0.060,0.035,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,probe_fallback_balanced_actor,Probe whether the topology1 balanced HVRT actor covers A-phase HVRT center case.
t1_ab_hvrt_fallback_balanced,topology1,HVRT,ab,1.100,[1.100 1.100 1.000],0.060,0.035,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,probe_fallback_balanced_actor,Probe whether the topology1 balanced HVRT actor covers AB-phase HVRT center case.
