case_id,topology,fault_family,fault_phase_key,fault_pu,fault_phase_pu,duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,promotion_level,split,notes,comparison_mode,base_model_path,dynamic_model_path
t1fam_lvrt_bal_distill_train_0850_080ms,topology1,LVRT,,0.850,,0.080,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_rtselector_distill_smoke_20260729.zip,family_rtselector_distill_smoke,train,Single-network BC distillation of topology1 balanced LVRT runtime selector smoke trace.,sac_actor_always_raw,,
t1fam_lvrt_bal_distill_train_0900_060ms,topology1,LVRT,,0.900,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_rtselector_distill_smoke_20260729.zip,family_rtselector_distill_smoke,train,Single-network BC distillation of topology1 balanced LVRT runtime selector smoke trace.,sac_actor_always_raw,,
t1fam_lvrt_bal_distill_train_0950_060ms,topology1,LVRT,,0.950,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_rtselector_distill_smoke_20260729.zip,family_rtselector_distill_smoke,train,Single-network BC distillation of topology1 balanced LVRT runtime selector smoke trace.,sac_actor_always_raw,,
t1fam_lvrt_bal_distill_val_0925_120ms,topology1,LVRT,,0.925,,0.120,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_rtselector_distill_smoke_20260729.zip,family_rtselector_distill_smoke,validation,Single-network BC distillation of topology1 balanced LVRT runtime selector smoke trace.,sac_actor_always_raw,,
