case_id,topology,fault_family,fault_phase_key,fault_pu,fault_phase_pu,duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,promotion_level,notes
topology2_a_hvrt105_60ms_strongpos_daggertraj,topology2,HVRT,A,1.050,"1.05 1.0 1.0",0.060,0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_exact_t2_a_hvrt105_60ms_strongpos_actor_daggertraj_20260725_dagger1.zip,voltage_survival,"Exact topology2 A-phase HVRT 1.05 pu / 60 ms strong-positive trajectory DAgger actor; generated 2026-07-25."
topology2_a_hvrt110_60ms_strongpos_daggertraj_probe,topology2,HVRT,A,1.100,"1.10 1.0 1.0",0.060,0.035,0.125,0.020,780.0,0.65,0.001,false,data/models/hpt_exact_t2_a_hvrt105_60ms_strongpos_actor_daggertraj_20260725_dagger1.zip,voltage_survival_probe,"Probe whether the 1.05 pu exact actor extends to topology2 A-phase HVRT 1.10 pu / 60 ms."
