case_id,topology,fault_family,fault_phase_key,fault_pu,fault_phase_pu,duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,promotion_level,split,notes
t1fam_lvrt_bal_sacpilot_train_0850_080ms,topology1,LVRT,,0.850,,0.080,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_pilot_rq08_20260728.zip,family_sac_pilot_smoke,train,Topology1 balanced LVRT family SAC pilot smoke promotion case.
t1fam_lvrt_bal_sacpilot_train_0900_060ms,topology1,LVRT,,0.900,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_pilot_rq08_20260728.zip,family_sac_pilot_smoke,train,Topology1 balanced LVRT family SAC pilot smoke promotion case.
t1fam_lvrt_bal_sacpilot_train_0950_060ms,topology1,LVRT,,0.950,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_pilot_rq08_20260728.zip,family_sac_pilot_smoke,train,Topology1 balanced LVRT family SAC pilot smoke promotion case.
