"case_id","case_name","topology","fault_family","fault_pu","duration_s","duration_ms","phase_mode","phase_rank","fault_phase_key","fault_phase_pu","fault_start_s","fault_stop_margin_s","fault_settle_s","chopper_threshold","rchop_scale","actor_filter_tau","phase_override","model_path","nearest_actor_case_id","nearest_actor_note","nearest_actor_exact","promotion_scope"
"topology1_balanced_lvrt_080ms_0p850pu","balanced_lvrt_080ms_0p850pu","topology1","LVRT","0.850","0.080","80","balanced","balanced","","","0.080","0.125","0.020","850","1","0.001","false","data/models/hpt_exact_t1_lvrt090_80ms_fault_recovery_mid_actor_daggertraj_20260725_dagger1.zip","topology1_balanced_lvrt090_80ms_daggertraj","exact_new_daggertraj","true","voltage_survival_boundary_probe"
"topology1_balanced_lvrt_080ms_0p900pu","balanced_lvrt_080ms_0p900pu","topology1","LVRT","0.900","0.080","80","balanced","balanced","","","0.080","0.125","0.020","850","1","0.001","false","data/models/hpt_exact_t1_lvrt090_80ms_fault_recovery_mid_actor_daggertraj_20260725_dagger1.zip","topology1_balanced_lvrt090_80ms_daggertraj","exact_new_daggertraj","true","voltage_survival_boundary_probe"
"topology1_balanced_lvrt_120ms_0p850pu","balanced_lvrt_120ms_0p850pu","topology1","LVRT","0.850","0.120","120","balanced","balanced","","","0.080","0.125","0.020","850","1","0.001","false","data/models/hpt_exact_t1_lvrt090_80ms_fault_recovery_mid_actor_daggertraj_20260725_dagger1.zip","topology1_balanced_lvrt090_80ms_daggertraj","exact_new_daggertraj","true","voltage_survival_boundary_probe"
"topology1_balanced_lvrt_120ms_0p900pu","balanced_lvrt_120ms_0p900pu","topology1","LVRT","0.900","0.120","120","balanced","balanced","","","0.080","0.125","0.020","850","1","0.001","false","data/models/hpt_exact_t1_lvrt090_80ms_fault_recovery_mid_actor_daggertraj_20260725_dagger1.zip","topology1_balanced_lvrt090_80ms_daggertraj","exact_new_daggertraj","true","voltage_survival_boundary_probe"
