"case_id","curriculum","eval_topology","eval_case_name","fault_family","fault_phase_key","eval_fault_pu","eval_fault_phase_pu","eval_duration_s","fault_start_s","fault_stop_margin_s","fault_settle_s","chopper_threshold","rchop_scale","actor_filter_tau","phase_override","init_model","baseline_score","conventional_score","r3_sac_pass","r3_sac_score","priority","notes"
"topology2_balanced_hvrt1p150_80ms_stage5_retry","topology2_hvrt110_60ms","topology2","balanced_hvrt1p150_80ms","HVRT","","1.150","","0.080","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","121.051222744946","275.259068872148","False","121.051222744946","stage5_hvrt_balanced_retry","Corrected curriculum label after the first 1.15 pu batch failed to train."
"topology2_balanced_hvrt1p150_120ms_stage5_retry","topology2_hvrt110_60ms","topology2","balanced_hvrt1p150_120ms","HVRT","","1.150","","0.120","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_trustregion_promotion_20260726_round1_04_topology2_hvrt110_60ms_balanced_retrain_chunk01.zip","122.353393185706","275.445087295167","False","122.353393185706","stage5_hvrt_balanced_retry","Corrected curriculum label after the first 1.15 pu batch failed to train."
"topology2_ab_hvrt1p150_80ms_stage5_retry","topology2_ab_hvrt105_60ms","topology2","ab_hvrt1p150_80ms","HVRT","ab","1.150","1.150 1.150 1.000","0.080","0.035","0.125","0.020","780.0","0.65","0.001","false","data/models/hpt_stage5_t2_hvrt115_80_120_20260727_06_topology2_ab_hvrt1p150_120ms_stage5_chunk01.zip","136.754186987655","232.839727008522","False","136.754186987655","stage5_hvrt_ab80_recovery_retry","Warm-started from the exact-rechecked AB 1.15 pu / 120 ms actor to reduce recovery overvoltage."
