case_id,topology,fault_family,fault_pu,duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,model_path,previous_status,current_voltage_survival_pass,current_beats_conventional,current_full_frt_pass,current_policy_score,current_baseline_score,current_lv_mean,current_lv_recovery_mean,current_vdc_min,current_vdc_max,current_reason,stale_reason
topology1_lvrt075_80ms,topology1,LVRT,0.750,0.080,0.035,0.125,0.000,data/models/hpt_traj_specialist_topo1_lvrt075_delayed_daggertraj_clean_20260719_dagger2.zip,previously_accepted,false,false,false,163.813421372974,153.262,178.90,224.89,738.14,866.45,timestep_recovery_envelope,Revalidated after grid-side observation/episode-clock controller change and no longer passes current voltage-survival gate.
topology1_lvrt090_80ms,topology1,LVRT,0.900,0.080,0.035,0.125,0.000,data/models/hpt_traj_specialist_topo1_lvrt090_rd050_ed055_currentgate_20260719_bc0.zip,previously_accepted,false,false,false,154.804834349939,152.334,203.61,228.06,764.10,878.83,timestep_recovery_envelope,Revalidated after grid-side observation/episode-clock controller change and no longer passes current voltage-survival gate.
topology1_hvrt118_80ms,topology1,HVRT,1.180,0.080,0.035,0.125,0.000,data/models/hpt_traj_specialist_topo1_hvrt118_20260719_bc0.zip,previously_accepted,false,false,false,147.186966743614,151.442,209.72,184.81,765.11,908.18,timestep_recovery_envelope,Revalidated after grid-side observation/episode-clock controller change and no longer passes current voltage-survival gate.
topology2_lvrt095_80ms,topology2,LVRT,0.950,0.080,0.035,0.125,0.000,data/models/hpt_traj_specialist_topo2_lvrt095_currentgate_energyw_20260719_dagger1.zip,previously_accepted,false,false,false,140.568706841143,172.146,194.90,222.12,580.40,1003.18,dc_link_bounds;timestep_voltage_envelope;timestep_recovery_envelope,Revalidated after grid-side observation/episode-clock controller change and no longer passes current voltage-survival gate.
topology2_lvrt0925_80ms,topology2,LVRT,0.925,0.080,0.035,0.125,0.000,data/models/hpt_traj_specialist_topo2_lvrt0925_qaware_20260719_bc0.zip,previously_accepted,false,false,false,167.378667844848,169.442,179.93,224.49,547.54,982.55,dc_link_bounds;timestep_voltage_envelope;timestep_recovery_envelope,Revalidated after grid-side observation/episode-clock controller change and no longer passes current voltage-survival gate.
topology2_lvrt092_80ms,topology2,LVRT,0.920,0.080,0.035,0.125,0.000,data/models/hpt_offline_full_action/hpt_offline_qdc_clean2_top1_topo2_lvrt_byfault_20260719_topology2_lvrt_80ms_0p920pu_td3_bc_style.pt,previously_accepted,false,false,false,inf,inf,nan,nan,nan,nan,unsupported_checkpoint_suffix:.pt,TD3+BC .pt checkpoint cannot be exported by the SAC actor exporter and is not a current Simulink actor candidate.
