case_id,case_name,topology,fault_family,fault_pu,duration_s,duration_ms,phase_mode,phase_rank,fault_phase_key,fault_phase_pu,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,nearest_actor_case_id,nearest_actor_note,nearest_actor_exact,promotion_scope
topology2_balanced_hvrt_080ms_1p200pu_stage5_recheck,balanced_hvrt_080ms_1p200pu,topology2,HVRT,1.200,0.080,80,balanced,balanced,,,0.035,0.125,0.020,760,0.55,0.001,false,data/models/hpt_stage5_t2_hvrt120_80_120_20260727_01_topology2_balanced_hvrt1p200_80ms_stage5_chunk04.zip,hpt_stage5_t2_hvrt120_80_120_20260727_01_topology2_balanced_hvrt1p200_80ms_stage5_chunk04,stage5_t2_hvrt120_balanced_exact,true,stage5_t2_hvrt120_expansion
topology2_a_hvrt_080ms_1p200pu_stage5_recheck,a_hvrt_080ms_1p200pu,topology2,HVRT,1.200,0.080,80,a,single,a,[1.200 1.000 1.000],0.035,0.125,0.020,780,0.65,0.001,false,data/models/hpt_stage5_t2_hvrt120_80_120_20260727_03_topology2_a_hvrt1p200_80ms_stage5_chunk01.zip,hpt_stage5_t2_hvrt120_80_120_20260727_03_topology2_a_hvrt1p200_80ms_stage5_chunk01,stage5_t2_hvrt120_a_phase_exact,true,stage5_t2_hvrt120_expansion
topology2_a_hvrt_120ms_1p200pu_stage5_recheck,a_hvrt_120ms_1p200pu,topology2,HVRT,1.200,0.120,120,a,single,a,[1.200 1.000 1.000],0.035,0.125,0.020,780,0.65,0.001,false,data/models/hpt_stage5_t2_hvrt120_80_120_20260727_04_topology2_a_hvrt1p200_120ms_stage5_chunk01.zip,hpt_stage5_t2_hvrt120_80_120_20260727_04_topology2_a_hvrt1p200_120ms_stage5_chunk01,stage5_t2_hvrt120_a_phase_exact,true,stage5_t2_hvrt120_expansion
topology2_ab_hvrt_080ms_1p200pu_stage5_recheck,ab_hvrt_080ms_1p200pu,topology2,HVRT,1.200,0.080,80,ab,double,ab,[1.200 1.200 1.000],0.035,0.125,0.020,780,0.65,0.001,false,data/models/hpt_stage5_t2_hvrt120_80_120_20260727_05_topology2_ab_hvrt1p200_80ms_stage5_chunk01.zip,hpt_stage5_t2_hvrt120_80_120_20260727_05_topology2_ab_hvrt1p200_80ms_stage5_chunk01,stage5_t2_hvrt120_ab_phase_exact,true,stage5_t2_hvrt120_expansion
topology2_ab_hvrt_120ms_1p200pu_stage5_recheck,ab_hvrt_120ms_1p200pu,topology2,HVRT,1.200,0.120,120,ab,double,ab,[1.200 1.200 1.000],0.035,0.125,0.020,780,0.65,0.001,false,data/models/hpt_stage5_t2_hvrt120_80_120_20260727_06_topology2_ab_hvrt1p200_120ms_stage5_chunk02.zip,hpt_stage5_t2_hvrt120_80_120_20260727_06_topology2_ab_hvrt1p200_120ms_stage5_chunk02,stage5_t2_hvrt120_ab_phase_exact,true,stage5_t2_hvrt120_expansion
