case_id,topology,fault_family,fault_phase_key,fault_pu,fault_phase_pu,duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,promotion_level,split,notes
t1fam_lvrt_bal_selector_train_0850_040ms,topology1,LVRT,,0.850,,0.040,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,family_depth_selector_full,train,Topology1 balanced LVRT family train point around center 0.90 pu / 60 ms. Selector branch: seed actor.
t1fam_lvrt_bal_selector_train_0850_060ms,topology1,LVRT,,0.850,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,family_depth_selector_full,train,Topology1 balanced LVRT family train point around center 0.90 pu / 60 ms. Selector branch: seed actor.
t1fam_lvrt_bal_selector_train_0850_080ms,topology1,LVRT,,0.850,,0.080,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_depth_selector_full,train,Topology1 balanced LVRT family train point around center 0.90 pu / 60 ms. Selector branch: deep support-dataset SAC.
t1fam_lvrt_bal_selector_train_0900_040ms,topology1,LVRT,,0.900,,0.040,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,family_depth_selector_full,train,Topology1 balanced LVRT family train point around center 0.90 pu / 60 ms. Selector branch: seed actor.
t1fam_lvrt_bal_selector_train_0900_060ms,topology1,LVRT,,0.900,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,family_depth_selector_full,train,Center case for topology1 balanced LVRT family. Selector branch: seed actor.
t1fam_lvrt_bal_selector_train_0900_080ms,topology1,LVRT,,0.900,,0.080,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,family_depth_selector_full,train,Topology1 balanced LVRT family train point around center 0.90 pu / 60 ms. Selector branch: seed actor.
t1fam_lvrt_bal_selector_train_0950_040ms,topology1,LVRT,,0.950,,0.040,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,family_depth_selector_full,train,Near-boundary mild undervoltage extension for topology1 balanced LVRT family. Selector branch: seed actor.
t1fam_lvrt_bal_selector_train_0950_060ms,topology1,LVRT,,0.950,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,family_depth_selector_full,train,Near-boundary mild undervoltage extension for topology1 balanced LVRT family. Selector branch: seed actor.
t1fam_lvrt_bal_selector_train_0950_080ms,topology1,LVRT,,0.950,,0.080,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,family_depth_selector_full,train,Near-boundary mild undervoltage extension for topology1 balanced LVRT family. Selector branch: seed actor.
t1fam_lvrt_bal_selector_val_0875_100ms,topology1,LVRT,,0.875,,0.100,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_depth_selector_full,validation,Interpolation-depth validation point with longer duration. Selector branch: deep support-dataset SAC.
t1fam_lvrt_bal_selector_val_0875_120ms,topology1,LVRT,,0.875,,0.120,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_depth_selector_full,validation,Interpolation-depth validation point with longer duration. Selector branch: deep support-dataset SAC.
t1fam_lvrt_bal_selector_val_0925_100ms,topology1,LVRT,,0.925,,0.100,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,family_depth_selector_full,validation,Near-boundary validation point with longer duration. Selector branch: seed actor.
t1fam_lvrt_bal_selector_val_0925_120ms,topology1,LVRT,,0.925,,0.120,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,family_depth_selector_full,validation,Near-boundary validation point with longer duration. Selector branch: seed actor.
t1fam_lvrt_bal_selector_hold_0825_120ms,topology1,LVRT,,0.825,,0.120,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_depth_selector_full,holdout,Harder depth/duration holdout not used for family training. Selector branch: deep support-dataset SAC.
t1fam_lvrt_bal_selector_hold_0825_160ms,topology1,LVRT,,0.825,,0.160,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_depth_selector_full,holdout,Harder depth/duration holdout not used for family training. Selector branch: deep support-dataset SAC.
t1fam_lvrt_bal_selector_hold_0875_120ms,topology1,LVRT,,0.875,,0.120,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_depth_selector_full,holdout,Holdout row for final generalization check. Selector branch: deep support-dataset SAC.
t1fam_lvrt_bal_selector_hold_0875_160ms,topology1,LVRT,,0.875,,0.160,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_sac_supportdataset_pilot_20260729.zip,family_depth_selector_full,holdout,Holdout row for final generalization check. Selector branch: deep support-dataset SAC.
t1fam_lvrt_bal_selector_hold_0925_120ms,topology1,LVRT,,0.925,,0.120,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,family_depth_selector_full,holdout,Near-boundary holdout row for final generalization check. Selector branch: seed actor.
t1fam_lvrt_bal_selector_hold_0925_160ms,topology1,LVRT,,0.925,,0.160,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,family_depth_selector_full,holdout,Near-boundary holdout row for final generalization check. Selector branch: seed actor.
