case_id,topology,fault_family,fault_phase_key,fault_pu,fault_phase_pu,duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,promotion_level,split,notes,comparison_mode,base_model_path,dynamic_model_path
t1fam_lvrt_bal_daggerrelabel_train_0850_080ms,topology1,LVRT,,0.850,,0.080,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_dagger_relabel_bc_smoke_20260729.zip,family_dagger_relabel_smoke,train,Single-network actor trained on runtime-selector traces plus closed-loop DAgger relabeled states.,sac_actor_always_raw,,
t1fam_lvrt_bal_daggerrelabel_train_0900_060ms,topology1,LVRT,,0.900,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_dagger_relabel_bc_smoke_20260729.zip,family_dagger_relabel_smoke,train,Single-network actor trained on runtime-selector traces plus closed-loop DAgger relabeled states.,sac_actor_always_raw,,
t1fam_lvrt_bal_daggerrelabel_train_0950_060ms,topology1,LVRT,,0.950,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_dagger_relabel_bc_smoke_20260729.zip,family_dagger_relabel_smoke,train,Single-network actor trained on runtime-selector traces plus closed-loop DAgger relabeled states.,sac_actor_always_raw,,
t1fam_lvrt_bal_daggerrelabel_val_0925_120ms,topology1,LVRT,,0.925,,0.120,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_family_dagger_relabel_bc_smoke_20260729.zip,family_dagger_relabel_smoke,validation,Single-network actor trained on runtime-selector traces plus closed-loop DAgger relabeled states.,sac_actor_always_raw,,
