case_id,case_name,topology,fault_family,fault_pu,duration_s,duration_ms,phase_mode,phase_rank,fault_phase_key,fault_phase_pu,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,nearest_actor_case_id,nearest_actor_note,nearest_actor_exact,promotion_scope
topology1_ca_hvrt_040ms_1p050pu,ca_hvrt_040ms_1p050pu,topology1,HVRT,1.050,0.040,40,ca,double,ca,[1.050 1.000 1.050],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_balanced_hvrt_040ms_1p100pu,balanced_hvrt_040ms_1p100pu,topology1,HVRT,1.100,0.040,40,balanced,balanced,,,0.080,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,nearest_balanced_same_family,false,voltage_survival_boundary_probe
topology1_a_hvrt_040ms_1p100pu,a_hvrt_040ms_1p100pu,topology1,HVRT,1.100,0.040,40,a,single,a,[1.100 1.000 1.000],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_b_hvrt_040ms_1p100pu,b_hvrt_040ms_1p100pu,topology1,HVRT,1.100,0.040,40,b,single,b,[1.000 1.100 1.000],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_c_hvrt_040ms_1p100pu,c_hvrt_040ms_1p100pu,topology1,HVRT,1.100,0.040,40,c,single,c,[1.000 1.000 1.100],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_ab_hvrt_040ms_1p100pu,ab_hvrt_040ms_1p100pu,topology1,HVRT,1.100,0.040,40,ab,double,ab,[1.100 1.100 1.000],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_bc_hvrt_040ms_1p100pu,bc_hvrt_040ms_1p100pu,topology1,HVRT,1.100,0.040,40,bc,double,bc,[1.000 1.100 1.100],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_ca_hvrt_040ms_1p100pu,ca_hvrt_040ms_1p100pu,topology1,HVRT,1.100,0.040,40,ca,double,ca,[1.100 1.000 1.100],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_balanced_hvrt_040ms_1p150pu,balanced_hvrt_040ms_1p150pu,topology1,HVRT,1.150,0.040,40,balanced,balanced,,,0.080,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,nearest_balanced_same_family,false,voltage_survival_boundary_probe
topology1_a_hvrt_040ms_1p150pu,a_hvrt_040ms_1p150pu,topology1,HVRT,1.150,0.040,40,a,single,a,[1.150 1.000 1.000],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
