"case_id","curriculum","eval_topology","eval_case_name","fault_family","fault_phase_key","eval_fault_pu","eval_fault_phase_pu","eval_duration_s","fault_start_s","fault_stop_margin_s","fault_settle_s","chopper_threshold","rchop_scale","actor_filter_tau","phase_override","init_model","baseline_score","conventional_score","score_gap","priority","notes"
"scoreopt_topology1_ab_hvrt_040ms_1p100pu","scoreopt_topology1_hvrt_ab","topology1","ab_hvrt_040ms_1p100pu","HVRT","ab","1.100","1.100 1.100 1.000","0.040","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","106.201466475531","104.980745209484","1.2207212660470077","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_hvrt_060ms_1p100pu","scoreopt_topology1_hvrt_ab","topology1","ab_hvrt_060ms_1p100pu","HVRT","ab","1.100","1.100 1.100 1.000","0.060","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","106.038313653575","104.983263612647","1.055050040928009","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_hvrt_080ms_1p100pu","scoreopt_topology1_hvrt_ab","topology1","ab_hvrt_080ms_1p100pu","HVRT","ab","1.100","1.100 1.100 1.000","0.080","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","144.03157802702","141.997861826844","2.033716200176002","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_hvrt_120ms_1p100pu","scoreopt_topology1_hvrt_ab","topology1","ab_hvrt_120ms_1p100pu","HVRT","ab","1.100","1.100 1.100 1.000","0.120","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","144.67091774323","144.40145078013","0.26946696310000107","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_hvrt_040ms_1p150pu","scoreopt_topology1_hvrt_ab","topology1","ab_hvrt_040ms_1p150pu","HVRT","ab","1.150","1.150 1.150 1.000","0.040","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","108.601414955501","106.168417995607","2.4329969598939982","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_hvrt_060ms_1p150pu","scoreopt_topology1_hvrt_ab","topology1","ab_hvrt_060ms_1p150pu","HVRT","ab","1.150","1.150 1.150 1.000","0.060","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","108.25495810054","106.2937582006","1.9611998999399987","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_hvrt_080ms_1p150pu","scoreopt_topology1_hvrt_ab","topology1","ab_hvrt_080ms_1p150pu","HVRT","ab","1.150","1.150 1.150 1.000","0.080","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","145.56511687581","144.435976415905","1.1291404599049883","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_hvrt_120ms_1p150pu","scoreopt_topology1_hvrt_ab","topology1","ab_hvrt_120ms_1p150pu","HVRT","ab","1.150","1.150 1.150 1.000","0.120","0.035","0.125","0.020","850","1","0.001","false","data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip","147.062565586207","146.434799066699","0.6277665195080147","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_lvrt_040ms_0p850pu","scoreopt_topology1_lvrt_a","topology1","a_lvrt_040ms_0p850pu","LVRT","a","0.850","0.850 1.000 1.000","0.040","0.035","0.125","0.020","850","1","0","false","data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip","105.396063853369","103.487273280292","1.908790573076999","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_lvrt_060ms_0p850pu","scoreopt_topology1_lvrt_a","topology1","a_lvrt_060ms_0p850pu","LVRT","a","0.850","0.850 1.000 1.000","0.060","0.035","0.125","0.020","850","1","0","false","data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip","106.675276477563","103.412298974833","3.2629775027299956","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_lvrt_080ms_0p850pu","scoreopt_topology1_lvrt_a","topology1","a_lvrt_080ms_0p850pu","LVRT","a","0.850","0.850 1.000 1.000","0.080","0.035","0.125","0.020","850","1","0","false","data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip","152.539916416385","146.776513114092","5.763403302293","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_lvrt_120ms_0p850pu","scoreopt_topology1_lvrt_a","topology1","a_lvrt_120ms_0p850pu","LVRT","a","0.850","0.850 1.000 1.000","0.120","0.035","0.125","0.020","850","1","0","false","data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip","152.619041995827","146.915051537233","5.703990458593978","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_lvrt_040ms_0p900pu","scoreopt_topology1_lvrt_a","topology1","a_lvrt_040ms_0p900pu","LVRT","a","0.900","0.900 1.000 1.000","0.040","0.035","0.125","0.020","850","1","0","false","data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip","103.850631532828","102.39115839291","1.4594731399180034","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_lvrt_060ms_0p900pu","scoreopt_topology1_lvrt_a","topology1","a_lvrt_060ms_0p900pu","LVRT","a","0.900","0.900 1.000 1.000","0.060","0.035","0.125","0.020","850","1","0","false","data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip","105.126612795124","102.46532840039","2.661284394733997","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_lvrt_080ms_0p900pu","scoreopt_topology1_lvrt_a","topology1","a_lvrt_080ms_0p900pu","LVRT","a","0.900","0.900 1.000 1.000","0.080","0.035","0.125","0.020","850","1","0","false","data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip","149.677070634712","144.638158988417","5.03891164629502","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_lvrt_120ms_0p900pu","scoreopt_topology1_lvrt_a","topology1","a_lvrt_120ms_0p900pu","LVRT","a","0.900","0.900 1.000 1.000","0.120","0.035","0.125","0.020","850","1","0","false","data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip","150.071473556359","145.006985949604","5.064487606754994","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_lvrt_040ms_0p950pu","scoreopt_topology1_lvrt_a","topology1","a_lvrt_040ms_0p950pu","LVRT","a","0.950","0.950 1.000 1.000","0.040","0.035","0.125","0.020","850","1","0","false","data/models/hpt_stage4_t1_a_lvrt095_80ms_traj_actor_20260727_bc0.zip","102.411164999086","101.937753923403","0.47341107568300345","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_lvrt_060ms_0p950pu","scoreopt_topology1_lvrt_a","topology1","a_lvrt_060ms_0p950pu","LVRT","a","0.950","0.950 1.000 1.000","0.060","0.035","0.125","0.020","850","1","0","false","data/models/hpt_stage4_t1_a_lvrt095_80ms_traj_actor_20260727_bc0.zip","103.048374475963","102.003916481713","1.0444579942499956","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
