case_id,topology,fault_family,fault_phase_key,fault_pu,fault_phase_pu,duration_s,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,promotion_level,split,notes
t1fam_lvrt_bal_shallowbranch_0950_060ms,topology1,LVRT,,0.950,,0.060,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_shallow095_branch_bc_20260729.zip,family_shallow_branch_smoke,train,Topology1 balanced LVRT shallow branch actor: 0.95 pu / 60 ms.
t1fam_lvrt_bal_shallowbranch_0950_080ms,topology1,LVRT,,0.950,,0.080,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_shallow095_branch_bc_20260729.zip,family_shallow_branch_smoke,train,Topology1 balanced LVRT shallow branch actor: 0.95 pu / 80 ms.
t1fam_lvrt_bal_shallowbranch_0950_040ms,topology1,LVRT,,0.950,,0.040,0.080,0.125,0.020,850.0,1.0,0.001,false,data/models/hpt_t1_lvrt_bal_shallow095_branch_bc_20260729.zip,family_shallow_branch_smoke,train,Topology1 balanced LVRT shallow branch actor: 0.95 pu / 40 ms near-miss check.
