model,topology,grid_V,grid_pu,target_phase_rms,cmd_m_reg_d,cmd_m_reg_q,cmd_m_energy_d,cmd_m_energy_q,action_semantics,action_raw_available,action_projected_available,action_effective_available,action_raw_source,action_projected_source,action_effective_source,raw_m_reg_d,raw_m_reg_q,raw_m_energy_d,raw_m_energy_q,lv_rms_mean,lv_rms_a,lv_rms_b,lv_rms_c,lv_pu_mean,lv_unbalance,lv_abs_err,vdc_mean,vdc_min,vdc_max,obs_dim,action_dim,action_max_abs,reg_d_mean,reg_q_mean,energy_d_mean,energy_q_mean,projected_m_reg_d_mean,projected_m_reg_q_mean,projected_m_energy_d_mean,projected_m_energy_q_mean,effective_m_reg_d_mean,effective_m_reg_q_mean,effective_m_energy_d_mean,effective_m_energy_q_mean
hpt_v2_1to1_switchlevel,topology1,11000,1.1,207,-0.8,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,-0.8,0,0,0,172.814309514769,173.217879471868,172.330523509249,172.894525563189,0.834851736786323,0.887355962618471,34.1856904852312,916.169411770963,755.810810767164,967.805973092742,24,4,0.0502837838492535,0,0,-0.0323502267007586,0,0,0,-0.0323502267007586,0,0,0,-0.0323502267007586,0
hpt_v2_1to1_switchlevel,topology1,11000,1.1,207,-0.4,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,-0.4,0,0,0,172.814309514769,173.217879471868,172.330523509249,172.894525563189,0.834851736786323,0.887355962618471,34.1856904852312,916.169411770963,755.810810767164,967.805973092742,24,4,0.0502837838492535,0,0,-0.0323502267007586,0,0,0,-0.0323502267007586,0,0,0,-0.0323502267007586,0
hpt_v2_1to1_switchlevel,topology1,11000,1.1,207,0,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0,172.814309514769,173.217879471868,172.330523509249,172.894525563189,0.834851736786323,0.887355962618471,34.1856904852312,916.169411770963,755.810810767164,967.805973092742,24,4,0.0502837838492535,0,0,-0.0323502267007586,0,0,0,-0.0323502267007586,0,0,0,-0.0323502267007586,0
hpt_v2_1to1_switchlevel,topology1,11000,1.1,207,0.4,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0.4,0,0,0,206.989186731938,207.402159209657,206.752732065632,206.812668920523,0.999947761990037,0.649427144024827,0.0108132680624351,853.810481056237,756.321102451853,916.166928909681,24,4,0.4,0.281706498203237,0,-0.00162774795968224,0,0.281706498203237,0,-0.00162774795968224,0,0.281706498203237,0,-0.00162774795968224,0
hpt_v2_1to1_switchlevel,topology1,11000,1.1,207,0.8,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0.8,0,0,0,207.268001610716,206.969489374529,207.134862160376,207.699653297243,1.00129469377158,0.730163922713871,0.268001610716254,852.094385952157,724.020278749564,888.28232715101,24,4,0.8,0.350266141173093,0,0.00279218964007484,0,0.350266141173093,0,0.00279218964007484,0,0.350266141173093,0,0.00279218964007484,0
hpt_v2_topology2_paper,topology2,9000,0.9,207,-0.8,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,-0.8,0,0,0,185.56201434152,185.011632657662,183.940429780009,187.733980586889,0.896434851891402,3.79355080687986,21.4379856584798,845.762724034171,785.378309884815,915.435472596537,24,4,0.05,0,0,-0.00421144713821544,0,0,0,-0.00421144713821544,0,0,0,-0.00421144713821544,0
hpt_v2_topology2_paper,topology2,9000,0.9,207,-0.4,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,-0.4,0,0,0,185.56201434152,185.011632657662,183.940429780009,187.733980586889,0.896434851891402,3.79355080687986,21.4379856584798,845.762724034171,785.378309884815,915.435472596537,24,4,0.05,0,0,-0.00421144713821544,0,0,0,-0.00421144713821544,0,0,0,-0.00421144713821544,0
hpt_v2_topology2_paper,topology2,9000,0.9,207,0,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0,185.56201434152,185.011632657662,183.940429780009,187.733980586889,0.896434851891402,3.79355080687986,21.4379856584798,845.762724034171,785.378309884815,915.435472596537,24,4,0.05,0,0,-0.00421144713821544,0,0,0,-0.00421144713821544,0,0,0,-0.00421144713821544,0
hpt_v2_topology2_paper,topology2,9000,0.9,207,0.4,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0.4,0,0,0,197.717648665967,198.071932383417,198.03052928303,197.050484331453,0.955157723023993,1.02144805196355,9.28235133403336,853.45305438772,793.47007060632,904.626901663194,24,4,0.4,0.399999999999994,0,-0.000899775056235941,0,0.399999999999994,0,-0.000899775056235941,0,0.399999999999994,0,-0.000899775056235941,0
hpt_v2_topology2_paper,topology2,9000,0.9,207,0.8,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0.8,0,0,0,203.813528019199,204.863887542121,201.979071101909,204.597625413568,0.984606415551687,2.88481644021255,3.1864719808008,808.757265859289,723.852527055193,910.789815938831,24,4,0.8,0.696562549066901,0,-0.000346920181206716,0,0.696562549066901,0,-0.000346920181206716,0,0.696562549066901,0,-0.000346920181206716,0
hpt_v2_topology2_paper,topology2,10000,1,207,-0.8,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,-0.8,0,0,0,200.968221600254,200.054072890492,199.975864147077,202.874727763192,0.970860973914271,2.89886361611465,6.031778399746,864.491571435882,783.334635291534,1021.97775976888,24,4,0.8,-0.00339915021244689,0,-0.0269432641839543,0,-0.00339915021244689,0,-0.0269432641839543,0,-0.00339915021244689,0,-0.0269432641839543,0
hpt_v2_topology2_paper,topology2,10000,1,207,-0.4,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,-0.4,0,0,0,200.959040797595,200.836346614903,199.735541393462,202.305234384421,0.970816622210604,2.56969299095843,6.04095920240488,864.47921129566,783.334635291534,1021.97775976888,24,4,0.4,-0.00439890027493127,0,-0.0269432641839543,0,-0.00439890027493127,0,-0.0269432641839543,0,-0.00439890027493127,0,-0.0269432641839543,0
hpt_v2_topology2_paper,topology2,10000,1,207,0,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0,201.995507430465,202.066575690025,200.698408128888,203.221538472483,0.975823707393552,2.52313034359423,5.00449256953479,864.22620472598,783.334635291534,1021.97775976888,24,4,0.05,0,0,-0.0269432641839543,0,0,0,-0.0269432641839543,0,0,0,-0.0269432641839543,0
hpt_v2_topology2_paper,topology2,10000,1,207,0.4,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0.4,0,0,0,186.656859568912,186.976288030243,187.066795676166,185.927495000326,0.901723959270105,1.13930067583968,20.3431404310882,863.177685938649,793.730394754354,959.492760452835,24,4,0.4,0.399999999999994,0,-0.00569857535616095,0,0.399999999999994,0,-0.00569857535616095,0,0.399999999999994,0,-0.00569857535616095,0
hpt_v2_topology2_paper,topology2,10000,1,207,0.8,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0.8,0,0,0,200.134834135505,202.137679354963,201.518702341946,196.748120709605,0.966834947514516,5.38955864535788,6.86516586449511,808.48836892004,700.842214565038,974.926919520768,24,4,0.8,0.658672861319762,0,-0.0070101618469389,0,0.658672861319762,0,-0.0070101618469389,0,0.658672861319762,0,-0.0070101618469389,0
hpt_v2_topology2_paper,topology2,11000,1.1,207,-0.8,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,-0.8,0,0,0,205.484700566412,204.881521303026,204.429083808804,207.143496587406,0.992679712881218,2.71441277860151,1.51529943358778,1120.13464282424,781.174802757317,1199.60247294363,24,4,0.8,-0.100774806298425,0,-0.044613846538365,0,-0.100774806298425,0,-0.044613846538365,0,-0.100774806298425,0,-0.044613846538365,0
hpt_v2_topology2_paper,topology2,11000,1.1,207,-0.4,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,-0.4,0,0,0,207.17923567611,203.999940388808,207.132289364566,210.405477274957,1.00086587283145,6.40553688614887,0.179235676110153,1099.90698971187,781.174802757317,1213.89770635534,24,4,0.4,-0.0947763059235194,0,-0.0446888277930513,0,-0.0947763059235194,0,-0.0446888277930513,0,-0.0947763059235194,0,-0.0446888277930513,0
hpt_v2_topology2_paper,topology2,11000,1.1,207,0,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0,223.095343063351,223.609611784984,222.838816049107,222.837601355962,1.07775528049928,0.77201042902189,16.0953430633507,1055.13654116812,781.174802757317,1185.14804749996,24,4,0.05,0,0,-0.0436140964758807,0,0,0,-0.0436140964758807,0,0,0,-0.0436140964758807,0
hpt_v2_topology2_paper,topology2,11000,1.1,207,0.4,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0.4,0,0,0,223.237279045105,223.308482182447,223.047758881472,223.355596071395,1.07844096157055,0.307837189923362,16.2372790451046,1086.72927650861,793.773501298125,1281.49812014162,24,4,0.4,0.151162209447639,0,-0.0444763809047734,0,0.151162209447639,0,-0.0444763809047734,0,0.151162209447639,0,-0.0444763809047734,0
hpt_v2_topology2_paper,topology2,11000,1.1,207,0.8,0,0,0,fixed_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0.8,0,0,0,200.785158821987,201.802567631429,201.031641658919,199.521267175613,0.969976612666604,2.28130045581557,6.21484117801302,822.316682588903,747.235619454117,1029.71742671555,24,4,0.8,0.560209937845482,0,-0.0137335637080555,0,0.560209937845482,0,-0.0137335637080555,0,0.560209937845482,0,-0.0137335637080555,0
