scenario_type,mode,source,fault,case_name,topology,category,gbt_category,grid_pu,fault_pu,fault_a_pu,fault_b_pu,fault_c_pu,fault_phase_key,fault_start,fault_clear,fault_duration_s,raw_m_reg_d,raw_m_reg_q,raw_m_energy_d,raw_m_energy_q,cmd_m_reg_d_mean,cmd_m_reg_q_mean,cmd_m_energy_d_mean,cmd_m_energy_q_mean,meas_reg_d_mean,meas_reg_q_mean,meas_energy_d_mean,meas_energy_q_mean,reg_d_mean,reg_q_mean,energy_d_mean,energy_q_mean,lv_pu_mean,lv_recovery_pu_mean,lv_peak_pu,lv_min_pu,lv_unbalance_pu,vdc_pu_mean,vdc_min_pu,vdc_max_pu,vdc_mean,vdc_min,vdc_max,energy_i_rms_mean,action_max_abs,cmd_action_max_abs,bridge_modulation_abs_max,control_score,survival_score,voltage_survival_pass,full_frt_pass,full_frt_reason,grid_vpos_pu_min,grid_vpos_pu_mean,grid_id_mean_pu,grid_iq_mean_pu,grid_iq_ref_mean_pu,grid_iq_shortfall_max_pu,grid_iq_met_fraction,grid_iq_wrong_sign,grid_current_peak_pu,grid_idq_peak_pu,gbt_reactive_status,gbt_reactive_pass,gbt_grid_current_limit_pass,envelope_violation_max_pu,envelope_violation_mean_pu,envelope_violation_duration_s,envelope_margin_min_pu,envelope_pass,fault_lv_band_violation_max_pu,fault_lv_band_violation_mean_pu,fault_lv_band_violation_duration_s,fault_lv_band_pass,fault_lv_min_pu,fault_lv_max_pu,recovery_violation_max_pu,recovery_violation_mean_pu,recovery_violation_duration_s,recovery_envelope_pass,timestep_envelope_pass
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_200ms,lvrt_0600_200ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.035,0.23500000000000001,0.2,0.04,0.0,0.0,0.0,0.0399999999999993,0.0,0.0,0.0,0.0399998871896998,8.72101076051605e-05,0.0467607611510674,0.950000000000026,0.0399998871896998,8.72101076051605e-05,0.0467607611510674,0.950000000000026,0.9056494657625943,0.9863729473590724,0.9902092006151353,0.8525800748867247,,0.9269419501571231,0.6486374412273063,1.20524645908694,741.5535601256985,518.909952981845,964.197167269552,nan,0.95,0.04,0.95,131.899188074688,131.899188074688,False,False,gbt_recover;gbt_vdc_survive;reactive_wrong_sign,0.653145269490717,0.817256878478874,0.815606857539655,-0.101723962142279,0.123311844377782,0.32869841108234,0.00551363900174115,True,1.24795092311552,1.35822223027951,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.252580074886725,True,0.0,0.0,0.0,True,0.8525800748867247,0.9648283263198068,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_200ms,lvrt_0600_200ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.035,0.23500000000000001,0.2,0.04,0.0,0.0,0.3,0.0399999999999993,0.0,0.0,0.300000000000008,0.0398624084788699,-0.000382514705771735,0.0509785915297584,0.950000000000026,0.0398624084788699,-0.000382514705771735,0.0509785915297584,0.950000000000026,0.9141586506774686,0.9982444990815893,1.0029278272476667,0.8589749513765508,,0.96325751755086,0.7188727597445675,1.2076422753571525,770.606014040688,575.098207795654,966.113820285722,nan,0.95,0.3,0.95,125.591111608691,125.591111608691,False,False,gbt_vdc_survive;reactive_wrong_sign,0.6472389040734,0.823095774267623,0.85260132328885,-0.149416100020771,0.111629324059758,0.343592360831583,0.0,True,1.25949731211173,1.35906333166418,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.258974951376549,True,0.0,0.0,0.0,True,0.8589749513765508,0.9644647722702657,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_200ms,lvrt_0600_200ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.035,0.23500000000000001,0.2,0.04,0.0,0.0,0.6,0.0399999999999993,0.0,0.0,0.600000000000015,0.0368576359036707,-0.011137950637063,0.00643667537217847,0.950000000000026,0.0368576359036707,-0.011137950637063,0.00643667537217847,0.950000000000026,0.9176818434679275,1.0018042189220677,1.010425244239227,0.8580582286135507,,1.0147630485533912,0.8193371311460963,1.2101889659606864,811.810438842713,655.469704916877,968.151172768549,nan,0.95,0.6,0.95,119.069574104042,119.069574104042,True,False,reactive_wrong_sign,0.647504383329645,0.825606001747072,0.887443188836564,-0.18131159991978,0.106995392792741,0.36982313836439,0.0,True,1.26700524180877,1.36927332654031,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.25805822861355,True,0.0,0.0,0.0,True,0.8580582286135507,0.9635605555629855,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_200ms,lvrt_0600_200ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.035,0.23500000000000001,0.2,0.04,0.0,0.0,-0.3,0.0399999999999993,0.0,0.0,-0.300000000000008,0.0399999064466355,7.90956914500153e-05,0.0289576858423981,0.950000000000026,0.0399999064466355,7.90956914500153e-05,0.0289576858423981,0.950000000000026,0.9025708350391256,0.9794430217389614,0.9825510489380821,0.8466894740229661,,0.9171280173786838,0.625579287092305,1.2086767476650626,733.702413902947,500.463429673844,966.94139813205,nan,0.95,0.3,0.95,133.470575400119,133.470575400119,False,False,gbt_recover;gbt_vdc_survive;reactive_wrong_sign,0.653341539961709,0.815112430037522,0.803290014990652,-0.0839274053973904,0.127978172641021,0.300047366176921,0.0118610561988139,True,1.23546873821295,1.34663457193323,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.246689474022964,True,0.00355207187075579,2.12959546324867e-05,0.00141999999999994,False,0.8466894740229661,0.9646133644598502,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_200ms,lvrt_0600_200ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.035,0.23500000000000001,0.2,0.04,0.0,0.0,-0.6,0.0399999999999993,0.0,0.0,-0.600000000000015,0.039999915759127,7.51294504508493e-05,0.0529097739629538,0.943926633581485,0.039999915759127,7.51294504508493e-05,0.0529097739629538,0.943926633581485,0.8958060479815894,0.9695141191912222,0.974409722469541,0.8368388024033477,,0.8845084340007869,0.5703030712569863,1.1987137967445876,707.6067472006296,456.242457005589,958.97103739567,nan,0.95,0.6,0.95,138.961323413157,138.961323413157,False,False,gbt_recover;gbt_vdc_survive;reactive_wrong_sign,0.648693078551259,0.810549696238273,0.782626826539195,-0.0503692742187947,0.138292235726578,0.28047168411372,0.0597416576964478,True,1.23263383816884,1.34603724160196,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.236838802403349,True,0.0134027434903713,0.000538262437504111,0.0142999999999994,False,0.8368388024033477,0.9661509881868551,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_200ms,lvrt_0600_200ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.035,0.23500000000000001,0.2,0.08,0.0,0.0,0.0,0.0799999999999985,0.0,0.0,0.0,0.0687224605803262,-0.0401495739281807,0.785420106652155,0.950000000000026,0.0687224605803262,-0.0401495739281807,0.785420106652155,0.950000000000026,0.9467504239706329,1.0344616409580145,1.0386487682563865,0.8885044667413623,,0.9363779409129331,0.7006683377837288,1.1720875440421374,749.1023527303465,560.534670226983,937.67003523371,nan,0.95,0.08,0.95,128.407923176303,128.407923176303,False,False,gbt_vdc_survive;reactive_wrong_sign,0.586547732199779,0.805027616573683,0.907806855237344,-0.130441326517626,0.130405921089945,0.395753645393082,0.0,True,1.35765813230889,1.46642677691967,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.288504466741363,True,0.0,0.0,0.0,True,0.8885044667413623,0.9988284943336134,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_200ms,lvrt_0600_200ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.035,0.23500000000000001,0.2,0.08,0.0,0.0,0.3,0.0799999999999985,0.0,0.0,0.300000000000008,0.0685847957155997,-0.0406664933418606,0.801319956518134,0.950000000000026,0.0685847957155997,-0.0406664933418606,0.801319956518134,0.950000000000026,0.952635652177256,1.0502185116426714,1.0548966456646618,0.8842133011981981,,0.9772417652714595,0.7652898705595724,1.1891936599833464,781.7934122171675,612.231896447658,951.354927986677,nan,0.95,0.3,0.95,125.881206588789,125.881206588789,False,False,reactive_wrong_sign,0.58100188556078,0.807089143437158,0.944142592868907,-0.165515929802214,0.124336167636798,0.451611646292149,0.0,True,1.37659898908297,1.48346879457964,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.284213301198197,True,0.0,0.0,0.0,True,0.8842133011981981,0.9999952530435218,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_200ms,lvrt_0600_200ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.035,0.23500000000000001,0.2,0.08,0.0,0.0,0.6,0.0799999999999985,0.0,0.0,0.600000000000015,0.0684527140714463,-0.0411462643316535,0.800082528255456,0.950000000000026,0.0684527140714463,-0.0411462643316535,0.800082528255456,0.950000000000026,0.9536846976334541,1.05134526679757,1.0621466327684201,0.8824098081208116,,1.0272860499226395,0.852360000472865,1.2022120993724137,821.8288399381115,681.888000378292,961.769679497931,nan,0.95,0.6,0.95,121.184240188313,121.184240188313,True,False,reactive_wrong_sign,0.580551526277293,0.806040976057879,0.994478525051977,-0.194103836180973,0.124801286948932,0.42852731562297,0.0,True,1.38908760058757,1.49137119621287,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.282409808120812,True,0.0,0.0,0.0,True,0.8824098081208116,1.0003594505862656,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_200ms,lvrt_0600_200ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.035,0.23500000000000001,0.2,0.08,0.0,0.0,-0.3,0.0799999999999985,0.0,0.0,-0.300000000000008,0.0688325433386304,-0.0397561540333985,0.774778169880326,0.950000000000026,0.0688325433386304,-0.0397561540333985,0.774778169880326,0.950000000000026,0.9412197707224832,1.0209799916662174,1.0281068672728502,0.8850925681875652,,0.9053827644194093,0.6464440535638687,1.16432147527495,724.3062115355275,517.155242851095,931.45718021996,nan,0.95,0.3,0.95,131.93886205889,131.93886205889,False,False,gbt_vdc_survive;reactive_wrong_sign,0.588000707012989,0.802276466496033,0.887512092421238,-0.105738483287774,0.136440630419638,0.383807829923234,0.0,True,1.35114883578806,1.45836254403254,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.285092568187564,True,0.0,0.0,0.0,True,0.8850925681875652,0.9989406807937294,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_200ms,lvrt_0600_200ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.035,0.23500000000000001,0.2,0.08,0.0,0.0,-0.6,0.0799999999999985,0.0,0.0,-0.600000000000015,0.0703017764995308,-0.0344677807136783,0.781431136114174,0.948919994051927,0.0703017764995308,-0.0344677807136783,0.781431136114174,0.948919994051927,0.9314727098401256,1.0052815401633528,1.0102542126351255,0.8710941576360821,,0.8718627090340769,0.58525015671503,1.1584752613531237,697.4901672272615,468.200125372024,926.780209082499,nan,0.95,0.6,0.95,136.168865351477,136.168865351477,False,False,gbt_vdc_survive;reactive_wrong_sign,0.590911930592064,0.798180215809598,0.855779931015416,-0.0629878244401962,0.148143510879975,0.373329807832438,0.0154547757790727,True,1.34413917453059,1.43926234842452,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.271094157636082,True,0.0,0.0,0.0,True,0.8710941576360821,0.9987197368688888,0.0,0.0,0.0,True,True
