scenario_type,mode,source,fault,case_name,topology,category,gbt_category,grid_pu,fault_pu,fault_a_pu,fault_b_pu,fault_c_pu,fault_phase_key,fault_start,fault_clear,fault_duration_s,raw_m_reg_d,raw_m_reg_q,raw_m_energy_d,raw_m_energy_q,cmd_m_reg_d_mean,cmd_m_reg_q_mean,cmd_m_energy_d_mean,cmd_m_energy_q_mean,meas_reg_d_mean,meas_reg_q_mean,meas_energy_d_mean,meas_energy_q_mean,reg_d_mean,reg_q_mean,energy_d_mean,energy_q_mean,lv_pu_mean,lv_recovery_pu_mean,lv_peak_pu,lv_min_pu,lv_unbalance_pu,vdc_pu_mean,vdc_min_pu,vdc_max_pu,vdc_mean,vdc_min,vdc_max,energy_i_rms_mean,action_max_abs,cmd_action_max_abs,bridge_modulation_abs_max,control_score,survival_score,voltage_survival_pass,full_frt_pass,full_frt_reason,grid_vpos_pu_min,grid_vpos_pu_mean,grid_id_mean_pu,grid_iq_mean_pu,grid_iq_ref_mean_pu,grid_iq_shortfall_max_pu,grid_iq_met_fraction,grid_iq_wrong_sign,grid_current_peak_pu,grid_idq_peak_pu,gbt_reactive_status,gbt_reactive_pass,gbt_grid_current_limit_pass,envelope_violation_max_pu,envelope_violation_mean_pu,envelope_violation_duration_s,envelope_margin_min_pu,envelope_pass,fault_lv_band_violation_max_pu,fault_lv_band_violation_mean_pu,fault_lv_band_violation_duration_s,fault_lv_band_pass,fault_lv_min_pu,fault_lv_max_pu,recovery_violation_max_pu,recovery_violation_mean_pu,recovery_violation_duration_s,recovery_envelope_pass,timestep_envelope_pass
fault,joint_sweep,switch_validation_fixed_action,lvrt_0500_160ms,lvrt_0500_160ms,topology2,LVRT,LVRT,0.5,0.5,0.5,1.0,1.0,a,0.08,0.24,0.16,0.04,0.0,0.0,0.6,0.0399999999999993,0.0,0.0,0.600000000000014,0.0384912681471144,-0.00522493644515474,-0.0343265525950983,0.950000000000024,0.0384912681471144,-0.00522493644515474,-0.0343265525950983,0.950000000000024,0.8987206660065459,0.9962962094801014,1.01381488183814,0.8353023628005748,,1.024141648915367,0.8380943318700476,1.2101889659606864,819.3133191322936,670.475465496038,968.151172768549,nan,0.95,0.6,0.95,122.419238650718,122.419238650718,False,False,reactive_wrong_sign,0.600287540039457,0.80194871878591,0.867369213991436,-0.209141511492522,0.136226038906742,0.384540701865917,0.0,True,1.28219647838008,1.36927332654031,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.335302362800576,True,0.0149391830931441,0.000365131250093492,0.00819999999999967,False,0.8353023628005748,0.9642674563039082,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0500_160ms,lvrt_0500_160ms,topology2,LVRT,LVRT,0.5,0.5,0.5,1.0,1.0,a,0.08,0.24,0.16,0.06,0.0,0.0,0.6,0.0600000000000012,0.0,0.0,0.600000000000014,0.0512404544170297,-0.0312153079702023,0.777993620578683,0.950000000000024,0.0512404544170297,-0.0312153079702023,0.777993620578683,0.950000000000024,0.928061095728744,1.049026950270174,1.057833051490256,0.8597467818416183,,1.0526806670984243,0.8954353494932588,1.20992598470359,842.1445336787394,716.348279594607,967.940787762872,nan,0.95,0.6,0.95,126.039991532211,126.039991532211,True,False,reactive_wrong_sign,0.568057901350934,0.783308581936107,0.967195358693017,-0.221017445732321,0.151514042505685,0.508863327531692,0.0,True,1.38322150494216,1.47729805043629,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.359746781841618,True,0.0,0.0,0.0,True,0.8597467818416183,0.9898474110916812,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0500_160ms,lvrt_0500_160ms,topology2,LVRT,LVRT,0.5,0.5,0.5,1.0,1.0,a,0.08,0.24,0.16,0.08,0.0,0.0,0.6,0.0799999999999986,0.0,0.0,0.600000000000014,0.0683329662913022,-0.0416001215981577,0.832470765076282,0.950000000000024,0.0683329662913022,-0.0416001215981577,0.832470765076282,0.950000000000024,0.9334201104098647,1.0447750547133623,1.0625375473148744,0.8622142401040628,,1.0396976958436057,0.8771832923147975,1.2022120993724137,831.7581566748845,701.746633851838,961.769679497931,nan,0.95,0.6,0.95,126.070618212337,126.070618212337,True,False,reactive_wrong_sign,0.534693139704439,0.780919009273828,0.970648872950546,-0.217365368251463,0.152167118362785,0.523832652133827,0.0,True,1.41199735645188,1.49137119621287,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.362214240104063,True,0.0,0.0,0.0,True,0.8622142401040628,0.9923290888121594,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0500_160ms,lvrt_0500_160ms,topology2,LVRT,LVRT,0.5,0.5,0.5,1.0,1.0,a,0.08,0.24,0.16,0.08,0.0,0.0,0.75,0.0799999999999986,0.0,0.0,0.75,0.0682975296422014,-0.0416581850909794,0.812234285733483,0.950000000000024,0.0682975296422014,-0.0416581850909794,0.812234285733483,0.950000000000024,0.9316901486573527,1.0492409197954493,1.0689539484763526,0.8603036633619469,,1.0429336112354302,0.8837962608316238,1.2020709616392362,834.3468889883441,707.037008665299,961.656769311389,nan,0.95,0.75,0.95,125.661643141968,125.661643141968,True,False,reactive_wrong_sign,0.540151853746328,0.779337536540955,0.995293560563503,-0.227544081268594,0.153760501274953,0.503899849720612,0.0,True,1.41448271099667,1.49165402987783,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.360303663361945,True,0.0,0.0,0.0,True,0.8603036633619469,0.9895241023753961,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0500_160ms,lvrt_0500_160ms,topology2,LVRT,LVRT,0.5,0.5,0.5,1.0,1.0,a,0.08,0.24,0.16,0.1,0.0,0.0,0.6,0.0999999999999975,0.0,0.0,0.600000000000014,0.0854385328340561,-0.0519636739205293,0.852690298312088,0.950000000000024,0.0854385328340561,-0.0519636739205293,0.852690298312088,0.950000000000024,0.9359095455945072,1.0456191830094492,1.0615920307014106,0.8622842118345749,,1.0175832882796363,0.839927097552235,1.1952394790070375,814.066630623709,671.941678041788,956.19158320563,nan,0.95,0.6,0.95,123.903139611624,123.903139611624,True,False,reactive_wrong_sign,0.555709738135876,0.779976603636316,0.961217832204423,-0.210798330776809,0.15227727599924,0.471469280980772,0.0,True,1.40485448309109,1.48082368875924,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.362284211834574,True,0.0,0.0,0.0,True,0.8622842118345749,0.9915818201083043,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0500_160ms,lvrt_0500_160ms,topology2,LVRT,LVRT,0.5,0.5,0.5,1.0,1.0,a,0.08,0.24,0.16,0.1,0.0,0.0,0.75,0.0999999999999975,0.0,0.0,0.75,0.085374828651663,-0.0520679760327046,0.835323253635863,0.950000000000024,0.085374828651663,-0.0520679760327046,0.835323253635863,0.950000000000024,0.9343234001668743,1.0521070416483864,1.071653475806546,0.8620391678106183,,1.042419759884032,0.8824727594653138,1.2023667603027501,833.9358079072256,705.978207572251,961.8934082422,nan,0.95,0.75,0.95,123.380628682716,123.380628682716,False,False,gbt_recover;reactive_wrong_sign,0.547407669380103,0.778229183894919,0.998029544428748,-0.226605364360428,0.154284805182782,0.448944010661126,0.0,True,1.40551276144664,1.49087819420143,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.362039167810618,True,0.0,0.0,0.0,True,0.8620391678106183,0.990218787274087,0.00165347580654612,1.5988395460223e-05,0.000899999999999963,False,False
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_240ms,lvrt_0600_240ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.08,0.32,0.24,0.04,0.0,0.0,0.6,0.0399999999999995,0.0,0.0,0.600000000000016,0.0353752963768077,-0.0164345728467147,0.0513149146199712,0.950000000000028,0.0353752963768077,-0.0164345728467147,0.0513149146199712,0.950000000000028,0.9155048783123574,1.0067936429831739,1.0107467887072414,0.8580582286135507,,0.9865679640744901,0.7629469621882937,1.2101889659606864,789.2543712595921,610.357569750635,968.151172768549,nan,0.95,0.6,0.95,123.330505642549,123.330505642549,False,False,reactive_wrong_sign,0.647504383329645,0.824651380087323,0.867479831788457,-0.162095847223762,0.110225046700935,0.36982313836439,0.0,True,1.26700524180877,1.36927332654031,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.25805822861355,True,0.0,0.0,0.0,True,0.8580582286135507,0.9635605555629855,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_240ms,lvrt_0600_240ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.08,0.32,0.24,0.06,0.0,0.0,0.6,0.0600000000000014,0.0,0.0,0.600000000000016,0.0521360763735855,-0.0279364536040418,0.727313131271643,0.950000000000028,0.0521360763735855,-0.0279364536040418,0.727313131271643,0.950000000000028,0.9500588243815025,1.0484861848368068,1.05634137793557,0.8824892992878309,,1.021591139592983,0.8332562944823763,1.20992598470359,817.2729116743865,666.605035585901,967.940787762872,nan,0.95,0.6,0.95,121.461777778311,121.461777778311,True,False,reactive_wrong_sign,0.609821365628932,0.811659296721,0.957565372031929,-0.183948056784724,0.121321123117449,0.434672126386538,0.0,True,1.36828618308462,1.47729805043629,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.282489299287832,True,0.0,0.0,0.0,True,0.8824892992878309,0.994842300507657,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_240ms,lvrt_0600_240ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.08,0.32,0.24,0.08,0.0,0.0,0.6,0.0799999999999991,0.0,0.0,0.600000000000016,0.0694914073771667,-0.0373451534309525,0.780166529810591,0.950000000000028,0.0694914073771667,-0.0373451534309525,0.780166529810591,0.950000000000028,0.9537855627433962,1.0529788955021835,1.0622804896729277,0.8824098081208116,,1.0132521623635788,0.8242922253547438,1.2022120993724137,810.601729890863,659.433780283795,961.769679497931,nan,0.95,0.6,0.95,121.247696601133,121.247696601133,True,False,reactive_wrong_sign,0.580551526277293,0.808058553132069,0.972522006687627,-0.1822700312198,0.124746506000162,0.42852731562297,0.0,True,1.38908760058757,1.49137119621287,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.282409808120812,True,0.0,0.0,0.0,True,0.8824098081208116,1.0003594505862656,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_240ms,lvrt_0600_240ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.08,0.32,0.24,0.08,0.0,0.0,0.75,0.0799999999999991,0.0,0.0,0.75,0.0694989585852949,-0.0373560126731663,0.774325727795029,0.950000000000028,0.0694989585852949,-0.0373560126731663,0.774325727795029,0.950000000000028,0.9539102640719903,1.0520641327790097,1.062439873036227,0.8805248326715749,,1.0154941695223036,0.8289173774053712,1.2020709616392362,812.395335617843,663.133901924297,961.656769311389,nan,0.95,0.75,0.95,121.876375841467,121.876375841467,True,False,reactive_wrong_sign,0.586007677418604,0.807342189448726,0.98912914953671,-0.19055441334762,0.12549351918806,0.445320141924915,0.0,True,1.40062895995915,1.49165402987783,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.280524832671575,True,0.0,0.0,0.0,True,0.8805248326715749,1.0003166296159371,0.0,0.0,0.0,True,True
