scenario_type,mode,source,fault,case_name,topology,category,gbt_category,grid_pu,fault_pu,fault_a_pu,fault_b_pu,fault_c_pu,fault_phase_key,fault_start,fault_clear,fault_duration_s,raw_m_reg_d,raw_m_reg_q,raw_m_energy_d,raw_m_energy_q,cmd_m_reg_d_mean,cmd_m_reg_q_mean,cmd_m_energy_d_mean,cmd_m_energy_q_mean,meas_reg_d_mean,meas_reg_q_mean,meas_energy_d_mean,meas_energy_q_mean,reg_d_mean,reg_q_mean,energy_d_mean,energy_q_mean,lv_pu_mean,lv_recovery_pu_mean,lv_peak_pu,lv_min_pu,lv_unbalance_pu,vdc_pu_mean,vdc_min_pu,vdc_max_pu,vdc_mean,vdc_min,vdc_max,energy_i_rms_mean,action_max_abs,cmd_action_max_abs,bridge_modulation_abs_max,control_score,survival_score,voltage_survival_pass,full_frt_pass,full_frt_reason,grid_vpos_pu_min,grid_vpos_pu_mean,grid_id_mean_pu,grid_iq_mean_pu,grid_iq_ref_mean_pu,grid_iq_shortfall_max_pu,grid_iq_met_fraction,grid_iq_wrong_sign,grid_current_peak_pu,grid_idq_peak_pu,gbt_reactive_status,gbt_reactive_pass,gbt_grid_current_limit_pass,envelope_violation_max_pu,envelope_violation_mean_pu,envelope_violation_duration_s,envelope_margin_min_pu,envelope_pass,fault_lv_band_violation_max_pu,fault_lv_band_violation_mean_pu,fault_lv_band_violation_duration_s,fault_lv_band_pass,fault_lv_min_pu,fault_lv_max_pu,recovery_violation_max_pu,recovery_violation_mean_pu,recovery_violation_duration_s,recovery_envelope_pass,timestep_envelope_pass
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_160ms,lvrt_0600_160ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.08,0.24,0.16,0.06,0.0,0.0,0.6,0.0600000000000012,0.0,0.0,0.600000000000014,0.0512309014605209,-0.031230883221831,0.78194306354665,0.950000000000024,0.0512309014605209,-0.031230883221831,0.78194306354665,0.950000000000024,0.9455259033510338,1.0502889867445846,1.0603250845994252,0.8824892992878309,,1.0716016235183705,0.9332772623331512,1.20992598470359,857.2812988146965,746.621809866521,967.940787762872,nan,0.95,0.6,0.95,121.724076707954,121.724076707954,True,False,reactive_wrong_sign,0.609821365628932,0.804945571545633,1.01103111229539,-0.204765546346866,0.125103103308259,0.434672126386538,0.0,True,1.36828618308462,1.47729805043629,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.282489299287832,True,0.0,0.0,0.0,True,0.8824892992878309,0.994842300507657,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_160ms,lvrt_0600_160ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.08,0.24,0.16,0.06,0.0,0.002,0.6,0.0600000000000012,0.0,0.00199999999999994,0.600000000000014,0.0512329787789852,-0.031227477972872,0.774844554631242,0.950000000000024,0.0512329787789852,-0.031227477972872,0.774844554631242,0.950000000000024,0.9456633858918359,1.0483118706356087,1.0610818429847633,0.8824892992878309,,1.0655547220349895,0.9211834593663888,1.20992598470359,852.4437776279915,736.946767493111,967.940787762872,nan,0.95,0.6,0.95,121.636532323854,121.636532323854,True,False,reactive_wrong_sign,0.609821365628932,0.805039300654548,1.00951330802511,-0.204198449037838,0.124868076073495,0.434672126386538,0.0,True,1.36828618308462,1.47729805043629,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.282489299287832,True,0.0,0.0,0.0,True,0.8824892992878309,0.9949286321668985,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_160ms,lvrt_0600_160ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.08,0.24,0.16,0.06,0.0,0.005,0.6,0.0600000000000012,0.0,0.00499999999999991,0.600000000000014,0.0512336782119977,-0.0312263393887393,0.789480266474166,0.950000000000024,0.0512336782119977,-0.0312263393887393,0.789480266474166,0.950000000000024,0.9455736517930434,1.0532425094222608,1.0604876141348214,0.882711188403599,,1.0722083504461764,0.934383293540025,1.2100334073523276,857.766680356941,747.50663483202,968.026725881862,nan,0.95,0.6,0.95,121.848796175258,121.848796175258,True,False,reactive_wrong_sign,0.609947419908824,0.804993621586599,1.01118178858292,-0.205050543332432,0.125158984944382,0.434782636735213,0.0,True,1.36866754182325,1.47749916378846,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.282711188403598,True,0.0,0.0,0.0,True,0.882711188403599,0.9954003979931932,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_160ms,lvrt_0600_160ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.08,0.24,0.16,0.06,0.0,0.01,0.6,0.0600000000000012,0.0,0.00999999999999982,0.600000000000014,0.0512333752830938,-0.0312268144732023,0.773597660418355,0.950000000000024,0.0512333752830938,-0.0312268144732023,0.773597660418355,0.950000000000024,0.9454887456716136,1.0482331877127005,1.0608810754158406,0.8822932996094252,,1.0647240888683518,0.92248069912077,1.206967478615934,851.7792710946815,737.984559296616,965.573982892747,nan,0.95,0.6,0.95,121.22680539566,121.22680539566,True,False,reactive_wrong_sign,0.609469917277253,0.804856940715765,1.0103773642198,-0.204373882609779,0.125052470141818,0.424329637378984,0.0,True,1.37199498468276,1.47417343318047,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.282293299609426,True,0.0,0.0,0.0,True,0.8822932996094252,0.9957779608708067,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_160ms,lvrt_0600_160ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.08,0.24,0.16,0.06,0.0,-0.002,0.6,0.0600000000000012,0.0,-0.00199999999999994,0.600000000000014,0.0512309783946683,-0.0312307472660557,0.779049846594874,0.950000000000024,0.0512309783946683,-0.0312307472660557,0.779049846594874,0.950000000000024,0.9455104297197778,1.0488230048475844,1.0610813680953188,0.8824892992878309,,1.0668328744215287,0.9237397641394675,1.20992598470359,853.466299537223,738.991811311574,967.940787762872,nan,0.95,0.6,0.95,121.444414611068,121.444414611068,True,False,reactive_wrong_sign,0.609821365628932,0.804933724747553,1.01093400023116,-0.204621879631975,0.125188460631522,0.429181850019431,0.0,True,1.36828618308462,1.47729805043629,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.282489299287832,True,0.0,0.0,0.0,True,0.8824892992878309,0.9958171169102561,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_160ms,lvrt_0600_160ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.08,0.24,0.16,0.06,0.0,-0.005,0.6,0.0600000000000012,0.0,-0.00499999999999991,0.600000000000014,0.0512329922296969,-0.031227450397714,0.778473668393308,0.950000000000024,0.0512329922296969,-0.031227450397714,0.778473668393308,0.950000000000024,0.9456657921331401,1.0486164770986086,1.0609194315566957,0.8831184994585507,,1.0667398334576512,0.9235536822117125,1.20992598470359,853.391866766121,738.84294576937,967.940787762872,nan,0.95,0.6,0.95,121.55097794635,121.55097794635,True,False,reactive_wrong_sign,0.608759254700248,0.805049144913629,1.01018693761663,-0.20466008145467,0.124932356469592,0.432220489719485,0.0,True,1.36925421805443,1.47729805043629,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.283118499458552,True,0.0,0.0,0.0,True,0.8831184994585507,0.995857153497744,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_240ms,lvrt_0600_240ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.08,0.32,0.24,0.06,0.0,0.0,0.6,0.0600000000000014,0.0,0.0,0.600000000000016,0.0521360763735855,-0.0279364536040418,0.727313131271643,0.950000000000028,0.0521360763735855,-0.0279364536040418,0.727313131271643,0.950000000000028,0.9500588243815025,1.0484861848368068,1.05634137793557,0.8824892992878309,,1.021591139592983,0.8332562944823763,1.20992598470359,817.2729116743865,666.605035585901,967.940787762872,nan,0.95,0.6,0.95,121.461777778311,121.461777778311,True,False,reactive_wrong_sign,0.609821365628932,0.811659296721,0.957565372031929,-0.183948056784724,0.121321123117449,0.434672126386538,0.0,True,1.36828618308462,1.47729805043629,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.282489299287832,True,0.0,0.0,0.0,True,0.8824892992878309,0.994842300507657,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_240ms,lvrt_0600_240ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.08,0.32,0.24,0.06,0.0,0.002,0.6,0.0600000000000014,0.0,0.00199999999999991,0.600000000000016,0.0521344934268609,-0.027941023134829,0.735624994734658,0.950000000000028,0.0521344934268609,-0.027941023134829,0.735624994734658,0.950000000000028,0.9500732523789083,1.0506473728959613,1.0569006422037779,0.8824892992878309,,1.0253233695571031,0.8407207544106163,1.20992598470359,820.2586956456826,672.576603528493,967.940787762872,nan,0.95,0.6,0.95,121.550653644868,121.550653644868,True,False,reactive_wrong_sign,0.609821365628932,0.811680472384744,0.956905394026985,-0.183700585242916,0.121241741724661,0.434672126386538,0.0,True,1.36828618308462,1.47729805043629,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.282489299287832,True,0.0,0.0,0.0,True,0.8824892992878309,0.9949286321668985,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_240ms,lvrt_0600_240ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.08,0.32,0.24,0.06,0.0,0.005,0.6,0.0600000000000014,0.0,0.00499999999999994,0.600000000000016,0.0521328025475807,-0.0279499672060521,0.731401691622431,0.950000000000028,0.0521328025475807,-0.0279499672060521,0.731401691622431,0.950000000000028,0.9503565171871353,1.04952544827357,1.0568349092615992,0.882711188403599,,1.0232497186769314,0.8364660300015351,1.2100334073523276,818.5997749415451,669.172824001228,968.026725881862,nan,0.95,0.6,0.95,121.496899216387,121.496899216387,True,False,reactive_wrong_sign,0.609947419908824,0.81183258494147,0.958233020252673,-0.185020332296661,0.121178908628402,0.434782636735213,0.0,True,1.36866754182325,1.47749916378846,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.282711188403598,True,0.0,0.0,0.0,True,0.882711188403599,0.9954003979931932,0.0,0.0,0.0,True,True
fault,joint_sweep,switch_validation_fixed_action,lvrt_0600_240ms,lvrt_0600_240ms,topology2,LVRT,LVRT,0.6,0.6,0.6,1.0,1.0,a,0.08,0.32,0.24,0.06,0.0,0.01,0.6,0.0600000000000014,0.0,0.00999999999999989,0.600000000000016,0.0521379762115682,-0.0279278978970683,0.729603159888867,0.950000000000028,0.0521379762115682,-0.0279278978970683,0.729603159888867,0.950000000000028,0.9497834283487294,1.0482606944774735,1.0566997207211546,0.8822932996094252,,1.0185504172646964,0.8301333559134588,1.206967478615934,814.8403338117571,664.106684730767,965.573982892747,nan,0.95,0.6,0.95,121.050144312889,121.050144312889,True,False,reactive_wrong_sign,0.609469917277253,0.811463792199914,0.956756996264515,-0.183000928237372,0.121478604013663,0.424329637378984,0.0,True,1.37199498468276,1.47417343318047,reactive_wrong_sign,False,True,0.0,0.0,0.0,0.282293299609426,True,0.0,0.0,0.0,True,0.8822932996094252,0.9957779608708067,0.0,0.0,0.0,True,True
