model,topology,grid_V,grid_pu,target_phase_rms,cmd_m_reg_d,cmd_m_reg_q,cmd_m_energy_d,cmd_m_energy_q,action_semantics,action_raw_available,action_projected_available,action_effective_available,action_raw_source,action_projected_source,action_effective_source,raw_m_reg_d,raw_m_reg_q,raw_m_energy_d,raw_m_energy_q,lv_rms_mean,lv_unbalance,lv_pu_mean,vdc_mean,vdc_min,vdc_max,energy_i_rms_mean,energy_i_unbalance,obs_dim,action_dim,action_max_abs,reg_d_mean,reg_q_mean,energy_d_mean,energy_q_mean,projected_m_reg_d_mean,projected_m_reg_q_mean,projected_m_energy_d_mean,projected_m_energy_q_mean,effective_m_reg_d_mean,effective_m_reg_q_mean,effective_m_energy_d_mean,effective_m_energy_q_mean
hpt_v2_1to1_switchlevel,topology1,10000,1,207,0,0,-0.4,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,-0.4,0,179.23766081634,0.200151326784862,0.865882419402608,0.0946380500709061,-0.3554764338122,800.071240707732,182.628682672337,16.6650739651077,24,4,0.95,0,0,0.722779810086432,0,0,0,0.722779810086432,0,0,0,0.722779810086432,0
hpt_v2_1to1_switchlevel,topology1,10000,1,207,0,0,0,0.2,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0.2,179.129537404482,0.181253498700642,0.865360084079626,0.141729559420601,-0.178766928602389,809.913674361768,195.43416045308,24.4839994855233,24,4,0.95,0,0,0.647330873559662,0.199999999999997,0,0,0.647330873559662,0.199999999999997,0,0,0.647330873559662,0.199999999999997
hpt_v2_1to1_switchlevel,topology1,10000,1,207,0,0,0,-0.2,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,-0.2,179.229227526033,0.162718763188622,0.865841678869724,0.0792891680643763,-0.434927813951823,800.071240707732,182.918441478352,14.8199142684118,24,4,0.95,0,0,0.759217123948411,-0.199999999999997,0,0,0.759217123948411,-0.199999999999997,0,0,0.759217123948411,-0.199999999999997
hpt_v2_1to1_switchlevel,topology1,11000,1.1,207,0,0,0,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0,197.026842332312,0.0728563685790391,0.951820494358996,0.0855153684648112,-0.456192846590876,801.770524715518,204.22117480842,10.0666815408936,24,4,0.95,0,0,0.625457711067373,0,0,0,0.625457711067373,0,0,0,0.625457711067373,0
hpt_v2_1to1_switchlevel,topology1,11000,1.1,207,0,0,0.2,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0.2,0,197.132267574206,0.175174978902078,0.952329795044471,0.0952617830224503,-0.565623072317289,816.722129438017,197.448379692736,13.0297274075023,24,4,0.95,0,0,0.581665610434666,0,0,0,0.581665610434666,0,0,0,0.581665610434666,0
hpt_v2_1to1_switchlevel,topology1,11000,1.1,207,0,0,-0.2,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,-0.2,0,197.001478652812,0.103008001303323,0.95169796450634,0.0915853682187052,-0.42056516929247,800.112474486881,204.697809311844,11.2376700075681,24,4,0.95,0,0,0.621284490142027,0,0,0,0.621284490142027,0,0,0,0.621284490142027,0
hpt_v2_1to1_switchlevel,topology1,11000,1.1,207,0,0,0.4,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0.4,0,197.121213089587,0.142579473909649,0.952276391737137,0.0866923211194245,-0.38973355866857,859.941774553934,197.98004213025,10.8702193015475,24,4,0.95,0,0,0.67366670496583,0,0,0,0.67366670496583,0,0,0,0.67366670496583,0
hpt_v2_1to1_switchlevel,topology1,11000,1.1,207,0,0,-0.4,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,-0.4,0,196.99429963353,0.118536007827203,0.951663283253769,0.0848878379039946,-0.422322943148117,800.100121051826,205.668684849779,13.2147668060695,24,4,0.95,0,0,0.623816082345222,0,0,0,0.623816082345222,0,0,0,0.623816082345222,0
hpt_v2_1to1_switchlevel,topology1,11000,1.1,207,0,0,0,0.2,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0.2,205.911760295226,0.772115959541793,0.99474280335858,847.89955252254,732.834490056266,852.246492988989,216.441594942916,8.89246801378124,24,4,0.2,0,0,0.00200798580376436,0.199999999999997,0,0,0.00200798580376436,0.199999999999997,0,0,0.00200798580376436,0.199999999999997
hpt_v2_1to1_switchlevel,topology1,11000,1.1,207,0,0,0,-0.2,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,-0.2,197.188527950937,0.268451466545571,0.952601584304042,0.109711135006435,-0.196894544701159,800.112474486881,210.055660669445,30.6864768068032,24,4,0.95,0,0,0.719677875063967,-0.199999999999997,0,0,0.719677875063967,-0.199999999999997,0,0,0.719677875063967,-0.199999999999997
