controller_label,depth_pu,duration_ms,voltage_survival_pass,voltage_survival_reason,control_score,vdc_min,vdc_max,grid_current_peak_pu,grid_current_peak_global_pu,recovery_violation_max_pu,fault_lv_band_violation_max_pu,source_csv
strong_dq,0.65,300,1,,120.8143332474,733.540116602571,977.392339129142,1.34051814393866,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.7,80,1,,115.681184369039,781.37230071515,977.392339129142,1.36370918276211,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.7,120,1,,115.791458983426,781.37230071515,977.392339129142,1.36370918276211,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.7,160,1,,115.890076930224,777.130039648333,977.392339129142,1.36370918276211,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.7,200,1,,115.77711215681,767.005772140394,977.392339129142,1.36370918276211,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.7,240,1,,115.727385188194,761.174129496767,977.392339129142,1.36370918276211,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.7,300,1,,115.871078411176,761.174129496767,977.392339129142,1.36370918276211,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.75,80,1,,112.507590001258,799.726215904551,977.392339129142,1.28521453438678,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.75,120,1,,112.673903991192,799.726215904551,977.392339129142,1.28521453438678,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.75,160,1,,113.762254716236,799.726215904551,977.392339129142,1.28521453438678,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.75,200,1,,113.623213715343,799.726215904551,977.392339129142,1.28521453438678,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.75,240,1,,113.617945121246,799.726215904551,977.392339129142,1.28521453438678,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.75,300,1,,114.795491633366,797.663966094411,977.392339129142,1.28521453438678,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.8,80,1,,110.467618420215,799.726215904551,977.392339129142,1.29399480574638,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.8,120,1,,110.837778493901,799.726215904551,977.392339129142,1.29399480574638,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.8,160,1,,113.87833736782,799.726215904551,977.392339129142,1.29399480574638,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.8,200,1,,113.752089863028,799.726215904551,977.392339129142,1.29399480574638,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.8,240,1,,113.702361649715,799.726215904551,977.392339129142,1.29399480574638,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.8,300,1,,113.708617358394,799.726215904551,977.392339129142,1.29399480574638,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.825,80,1,,110.336971231139,799.726215904551,977.392339129142,1.26020606221127,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.825,120,1,,110.450584773736,799.726215904551,977.392339129142,1.26020606221127,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.825,160,1,,112.735225010891,799.726215904551,977.392339129142,1.26020606221127,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.825,200,1,,112.593286610722,799.726215904551,977.392339129142,1.26020606221127,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.825,240,1,,112.538558103863,799.726215904551,977.392339129142,1.26020606221127,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.825,300,1,,112.485210605943,799.726215904551,977.392339129142,1.26020606221127,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.85,80,1,,109.232330779425,799.726215904551,977.392339129142,1.28504528473703,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.85,120,1,,110.194409678984,799.726215904551,977.392339129142,1.28504528473703,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.85,160,1,,110.874944132787,799.726215904551,977.392339129142,1.28504528473703,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.85,200,1,,110.91823829227,799.726215904551,977.392339129142,1.28504528473703,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.85,240,1,,110.868867859441,799.726215904551,977.392339129142,1.28504528473703,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.85,300,1,,110.820553545911,799.726215904551,977.392339129142,1.28504528473703,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.875,80,1,,109.817970490735,799.726215904551,977.392339129142,1.25613637674157,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.875,120,1,,110.06436149194,799.726215904551,977.392339129142,1.25613637674157,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.875,160,1,,110.003469885979,799.726215904551,977.392339129142,1.25613637674157,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.875,200,1,,111.106389880722,799.726215904551,977.392339129142,1.25613637674157,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.875,240,1,,111.061259712597,799.726215904551,977.392339129142,1.25613637674157,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
strong_dq,0.875,300,1,,111.013513972662,799.726215904551,977.392339129142,1.25613637674157,1.53996192050702,0.0,0.0,lab\results\hpt_family_specialist_t2_a_lvrt_r6_square60_currentwindow_20260803_r1\family_specialist_comparison_rows.csv
