model,topology,scenario_type,condition_class,case_name,t,window_zone,window_ok,window_reason,grid_V,fault_pu,grid_pu,lv_rms_inst,vdc_inst,obs_01,obs_02,obs_03,obs_04,obs_05,obs_06,obs_07,obs_08,obs_09,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,action_01,actor_action_01,action_02,actor_action_02,action_03,actor_action_03,action_04,actor_action_04
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.058,"fault",1,"",NaN,0.9,0.9,191.327590022312,933.378201205061,0.902533321212085,1.102570462032,0.0249521989182481,1.16672275150633,-0.166722751506326,0.0974666787879153,0.236298814146345,0.636322268941836,0.00315858186247097,8.14949599335505e-05,-4.07852246109373e-05,3.27726526799275e-05,0,1,0,1,1,0,0.0555199999999977,0,1.08149891426076,1.10712438443888,0.828229894716426,0.891051371729734,0,0.00309342612771526,0,7.98722393574981e-05,0,-3.96292307892684e-05,0,3.24197495066334e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.06,"fault",1,"",NaN,0.9,0.9,187.496706818113,946.815999942798,0.903590986580831,1.08723839348041,0.0408025741723726,1.1835199999285,-0.183519999928497,0.0964090134191687,0.249295008168422,0.59606011113299,0.000962802342263993,6.75531787934031e-05,-1.94234226687748e-05,1.72141400117975e-05,0,1,0,1,1,0,0.0595199999999976,0,1.08723839348041,1.14013674089934,-3.49966537665147,-2.68993284137298,0,0.000914211227156187,0,6.61241588235771e-05,0,-1.8593201385179e-05,0,1.74378875654151e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.062,"fault",0,"gbt_lvrt_envelope_inst",NaN,0.9,0.9,184.080285906363,939.748800294449,0.900229013834296,1.10000167224507,0.0688042268445728,1.17468600036806,-0.174686000368061,0.0997709861657038,0.217892994039936,0.588084955543009,0.00115267100856465,4.34436996495482e-05,-1.11407520496002e-05,1.99184450503494e-05,0,1,0,1,1,0,0.0635199999999974,0,1.08062784190116,1.13429610153516,-1.54797307149424,-0.610664805847039,0,0.00111784082953709,0,4.2462171958576e-05,0,-1.04911052982343e-05,0,1.98307854861596e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.064,"fault",1,"",NaN,0.9,0.9,187.47739890155,912.77121076727,0.898097871351775,1.11340070961112,0.0395436817182735,1.14096401345909,-0.140964013459087,0.101902128648225,0.202865348999773,0.621472232922866,0.00410746899158881,7.07382384224251e-05,-3.26049294581925e-05,3.06101456378404e-05,0,1,0,1,1,0,0.0675199999999983,0,1.08017102699715,1.11340070961112,1.85544011556038,1.65880678476449,0,0.00402351571303952,0,6.93102001078655e-05,0,-3.16611257199284e-05,0,3.02884500798712e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.066,"fault",1,"",NaN,0.9,0.9,192.205391781535,914.070292446858,0.902536465125298,1.09480958526603,0.0474586869000364,1.14258786555857,-0.142587865558573,0.0974635348747018,0.24942565774582,0.613086531507419,0.00229860120020474,6.89804976543135e-05,-2.09157848614154e-05,1.68154171214159e-05,0,1,0,1,1,0,0.0715199999999995,0,1.09001479758988,1.12451412652167,4.7947876761576,-1.52573640036313,0,0.00224947643838711,0,6.79508244538111e-05,0,-2.03453570820169e-05,0,1.65688238503839e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.068,"fault",1,"",NaN,0.9,0.9,193.876356092894,928.120528715851,0.912793840561839,1.1026981617451,0.0322004095796584,1.16015066089481,-0.160150660894814,0.0872061594381612,0.252569275824156,0.591116411846731,0.00228653949752479,5.43419331113475e-05,-2.14045575093116e-05,2.6615634590741e-05,0,1,0,1,1,0,0.0755200000000008,0,1.088123033915,1.13588992480335,-1.34076488633328,-2.76252329024063,0,0.00222275587724379,0,5.33179455880161e-05,0,-2.04632684069177e-05,0,2.65072198348168e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.07,"fault",1,"",NaN,0.9,0.9,188.266507479428,931.09646659447,0.913824388185801,1.11506474490055,0.0182682208286764,1.16387058324309,-0.163870583243088,0.0861756118141986,0.234097078188808,0.57086322070167,0.00230962254312999,0.000102539784426131,-4.15340526502174e-05,2.1229218319097e-05,0,1,0,1,1,0,0.079520000000002,0,1.08987888650322,1.11506474490055,2.29530751093154,2.50737475745866,0,0.00226037703544688,0,0.000100438935281692,0,-4.04384453026555e-05,0,2.11125961077146e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.072,"fault",0,"gbt_lvrt_envelope_inst",NaN,0.9,0.9,181.375362723693,917.686185641831,0.904471628062689,1.10096572237154,0.0424282628207516,1.14710773205229,-0.147107732052288,0.0955283719373106,0.237164572259016,0.560330390180523,0.00294448662217368,7.3049702752435e-05,-2.74185401310481e-05,1.50261793026059e-05,0,1,0,1,1,0,0.0835200000000032,0,1.07852955760337,1.1207911824151,-0.232025218038112,-0.418848161747309,0,0.00288195443787592,0,7.15970942919517e-05,0,-2.64531321223919e-05,0,1.49401383771259e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.074,"fault",1,"",NaN,0.9,0.9,188.755890502958,912.796319745432,0.899088017034422,1.06669394565405,0.0421564654872289,1.14099539968179,-0.140995399681791,0.100911982965578,0.21911940062814,0.556416855965993,0.00330030794071899,6.09420688582963e-05,-2.33515641601797e-05,2.46252384462938e-05,0,0,0,1,0,1,0,0,1.08352000605492,1.13237529974563,-5,-2.4758540688079,0.6,0.00327039658924211,0,5.74456586878119e-05,0,-2.34168770767334e-05,0,2.65446361481038e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.076,"fault",1,"",NaN,0.9,0.9,194.84075340029,900.191710423218,0.907369705570898,1.11462146306535,0.0417379970725666,1.12523963802902,-0.125239638029023,0.0926302944291022,0.217974115319882,0.571713395672796,0.00346524497118365,6.68523718986102e-05,-2.53413684835578e-05,8.34431142103399e-06,0,1,0,1,1,0,0.0915200000000057,0,1.09785682372839,1.11462146306535,2.11469001829778,3.02614686167146,0,0.00339615589718648,0,6.53961106011895e-05,0,-2.46001063631701e-05,0,8.45057969078709e-06
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.078,"fault",1,"",NaN,0.9,0.9,190.971850574605,891.704873073265,0.916190030898633,1.10751721836407,0.0200582567450082,1.11463109134158,-0.114631091341582,0.0838099691013673,0.254602305531926,0.567585437002395,0.00786485202265052,9.65927649239192e-05,-4.74502420739194e-05,1.88090838628108e-05,0,1,0,1,1,0,0.0955200000000069,0,1.08522758126728,1.11799435607358,0.237304686311779,0.726611529815457,0,0.00770660135412071,0,9.45835963163616e-05,0,-4.61591989029838e-05,0,1.8706000974933e-05
