model,topology,scenario_type,condition_class,case_name,t,window_zone,window_ok,window_reason,grid_V,fault_pu,grid_pu,lv_rms_inst,vdc_inst,obs_01,obs_02,obs_03,obs_04,obs_05,obs_06,obs_07,obs_08,obs_09,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,action_01,actor_action_01,action_02,actor_action_02,action_03,actor_action_03,action_04,actor_action_04
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.06,"fault",1,"",NaN,1.1,1.1,209.057822061627,997.055413900285,1.00390224776371,1.20972427762441,0.0341760800585876,1.24631926737536,-0.246319267375356,-0.00390224776371251,0.197973739138891,0.570125660630267,-0.00020864167527211,2.54428762270152e-05,5.07134106174538e-06,1.09845266090751e-05,0,1,0,1,1,0,0.0595199999999976,0,1.09466596372755,1.26723063705076,-4.58878653971606,-3.23357875071562,-0.0780449552742501,-0.000240499478025185,0,2.48428937101141e-05,0,5.37635444151669e-06,0,1.13851215455224e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.062,"fault",1,"",NaN,1.1,1.1,206.527215694637,973.290887822108,1.00293762066546,1.21914626599746,0.0560859290706303,1.21661360977763,-0.216613609777635,-0.00293762066545966,0.160950920650782,0.566159928228188,0.000315662313369755,3.53989142412405e-05,-8.43318581734432e-07,1.31864580560692e-05,0,1,0,1,1,0,0.0635199999999974,0,1.09466596372755,1.26723063705076,-5,-0.804002397269743,-0.0587524133091932,0.000281971863100356,0,3.46749264033213e-05,0,-4.2877479228814e-07,0,1.33820248802678e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.064,"fault",1,"",NaN,1.1,1.1,208.304820207201,932.775607958319,1.00124788840071,1.22287435729818,0.0326499700859158,1.1659695099479,-0.165969509947899,-0.00124788840070744,0.164981135468764,0.606734028999279,0.00330063034540869,5.71181775676591e-05,-1.90894781248742e-05,2.76606868150155e-05,0,1,0,1,1,0,0.0675199999999983,0,1.09466596372755,1.26723063705076,1.11584848279245,1.09021744637472,-0.0249577680141488,0.00323343312952826,0,5.60219496644034e-05,0,-1.83466826992335e-05,0,2.73818386081798e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.066,"fault",1,"",NaN,1.1,1.1,212.489139928787,932.363297179438,1.0048025769868,1.20968459491069,0.0383227297750427,1.1654541214743,-0.165454121474297,-0.0048025769867992,0.223500070508192,0.600190771595444,0.00258192278509669,7.5383398356154e-05,-1.50662101814069e-05,1.30420811155428e-05,0,1,0,1,1,0,0.0715199999999995,0,1.09466596372755,1.26723063705076,-3.49695063763433,-1.9473623080617,-0.096051539735984,0.00250284642759044,0,7.37402344658918e-05,0,-1.43269098781045e-05,0,1.32947228923502e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.068,"fault",1,"",NaN,1.1,1.1,214.71376671121,956.015707681203,1.01462405296603,1.21813677955257,0.0225834660477298,1.1950196346015,-0.195019634601504,-0.0146240529660324,0.233778137424871,0.55441784721837,0.000950692555271775,2.73960903080165e-05,3.84852518296941e-06,1.4829826385574e-05,0,1,0,1,1,0,0.0755200000000008,0,1.09466596372755,1.26723063705076,-0.617853762028941,-1.43224183246615,-0.292481059320648,0.000924704666116012,0,2.69124626673988e-05,0,4.20610031482039e-06,0,1.47834027573123e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.07,"fault",1,"",NaN,1.1,1.1,208.185649269244,955.663800338925,1.01650293633229,1.23099377839453,0.0183305142198351,1.19457975042366,-0.194579750423656,-0.0165029363322886,0.209898125440241,0.529017252336026,0.000898047306291519,5.33427784946102e-05,-9.98867848243391e-06,1.51821855720558e-05,0,1,0,1,1,0,0.079520000000002,0,1.09466596372755,1.26723063705076,1.66622107629366,1.9420696394048,-0.330058726645772,0.000875833794342636,0,5.23521360230059e-05,0,-9.43657345407462e-06,0,1.51720731126505e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.072,"fault",1,"",NaN,1.1,1.1,202.422536672008,936.229468575459,1.00612327016023,1.20642331821397,0.0115946842771566,1.17028683571932,-0.170286835719323,-0.00612327016022562,0.206207975420218,0.525187665177984,0.00146782103960386,3.94400893194401e-05,-5.16671825830079e-06,9.92402521593126e-06,0,1,0,1,1,0,0.0835200000000032,0,1.09466596372755,1.26723063705076,-5,-0.899279861708679,-0.122465403204512,0.00140590909600435,0,3.85868084725204e-05,0,-4.66164243432611e-06,0,1.02463063962807e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.074,"fault",1,"",NaN,1.1,1.1,210.332467323258,926.766479253648,1.00195030325033,1.18835179999885,0.0423115823750291,1.15845809906706,-0.158458099067059,-0.00195030325032697,0.179071121741343,0.519727510483633,0.00266602771321817,3.40496357071329e-05,1.41289734530505e-06,2.42597489429498e-05,0,1,0,1,1,0,0.0875200000000044,0,1.09466596372755,1.26723063705076,-5,-1.2982922326823,-0.0390060650065394,0.00257845844994102,0,3.32484902687002e-05,0,1.80526698076156e-06,0,2.43315198051784e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.076,"fault",1,"",NaN,1.1,1.1,215.690043007866,911.025882735015,1.00998185499648,1.24438526495377,0.0452675620421836,1.13878235341877,-0.138782353418769,-0.0099818549964823,0.184988666750371,0.529314332513802,0.00327027819831042,6.44697596876618e-05,-1.39747425880424e-05,2.27771809696575e-06,0,1,0,1,1,0,0.0915200000000057,0,1.09466596372755,1.26723063705076,2.24038155151041,2.39941164098356,-0.199637099929646,0.00320532431536556,0,6.31737367576043e-05,0,-1.34130576195389e-05,0,2.47696514307338e-06
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.078,"fault",1,"",NaN,1.1,1.1,211.847757595713,900.590029641069,1.01716966123362,1.22992581392232,0.0209882456940809,1.12573753705134,-0.125737537051336,-0.0171696612336163,0.222438062594683,0.526822455401313,0.00585110087708731,6.96889098785002e-05,-2.44604296008296e-05,3.67490792227228e-06,0,1,0,1,1,0,0.0955200000000069,0,1.09466596372755,1.26723063705076,0.184198467319208,0.185960962036713,-0.343393224672326,0.00573196114430763,0,6.83048389856414e-05,0,-2.35587624913594e-05,0,3.80913453961606e-06
