model,topology,scenario_type,condition_class,case_name,t,window_zone,window_ok,window_reason,grid_V,fault_pu,grid_pu,lv_rms_inst,vdc_inst,obs_01,obs_02,obs_03,obs_04,obs_05,obs_06,obs_07,obs_08,obs_09,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,action_01,actor_action_01,action_02,actor_action_02,action_03,actor_action_03,action_04,actor_action_04
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.06,"fault",1,"",NaN,0.9,0.9,191.341541936076,948.961348763724,0.932417917724083,1.12725379836657,0.0218189927267824,1.18620168595465,-0.186201685954654,0.0675820822759174,0.188294777478606,0.573956544676927,0.0010807573456508,8.41003887537065e-05,-2.67878947449264e-05,1.62395867166158e-05,0,1,0,1,1,0,0.0595199999999976,0,1.08876641949981,1.1852514688696,-4.84568303343091,-3.14295646032381,0,0.0011140164986991,0,8.05162628216501e-05,0,-2.4363271723643e-05,0,1.7146337119902e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.062,"fault",1,"",NaN,0.9,0.9,195.798357353653,922.721307150017,0.933010713724446,1.1431179609215,0.0499726852190199,1.15340163393752,-0.153401633937522,0.0669892862755538,0.158911454567113,0.59235051578934,0.002365808362139,6.4096112684361e-05,-1.52868168325255e-05,1.46564276957904e-05,0,1,0,1,1,0,0.0635199999999974,0,1.08876641949981,1.1852514688696,-5,-1.75596401575784,0,0.00228486733039698,0,6.26880594034911e-05,0,-1.4554309636845e-05,0,1.49201259198189e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.064,"fault",1,"",NaN,0.9,0.9,200.244583666317,900.508960779772,0.940204451755262,1.14232905419139,0.0485753079252615,1.12563620097471,-0.125636200974715,0.0597955482447375,0.184491098215557,0.614864821360767,0.00463181768313081,7.38664704265434e-05,-2.799304493975e-05,2.53545429251507e-05,0,1,0,1,1,0,0.0675199999999983,0,1.08598918676775,1.1852514688696,0.99106013046657,1.41513770049539,0,0.00453974430860168,0,7.23315125158156e-05,0,-2.71265343150964e-05,0,2.51148694411542e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.066,"fault",1,"",NaN,0.9,0.9,198.285772702767,907.732172113146,0.946373942256371,1.13256570488427,0.0482304983926335,1.13466521514143,-0.134665215141433,0.0536260577436293,0.248661970950523,0.595594365103497,0.00323551892914628,8.27866562768146e-05,-2.4936299570937e-05,3.49878183666465e-06,0,1,0,1,1,0,0.0715199999999995,0,1.08146059668429,1.1852514688696,-5,-1.56750299669017,0,0.00313782300495205,0,8.10127703942045e-05,0,-2.40229860444757e-05,0,3.97038034112207e-06
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.068,"fault",1,"",NaN,0.9,0.9,197.142413087394,938.331320613518,0.94914978772747,1.14976281624112,0.0423691365547168,1.1729141507669,-0.172914150766898,0.0508502122725303,0.231779967678219,0.533245920325334,0.00154372154125153,3.79091844487325e-05,-5.67491428437403e-06,1.71227989693137e-05,0,1,0,1,1,0,0.0755200000000008,0,1.08146059668429,1.1852514688696,-1.07284770053195,-1.37811900990958,0,0.00150103201224241,0,3.71860184270193e-05,0,-5.09530684303862e-06,0,1.70950731357436e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.07,"fault",1,"",NaN,0.9,0.9,193.406756789106,928.282543286583,0.943634413539211,1.15737897189747,0.0184689917829856,1.16035317910823,-0.160353179108229,0.0563655864607888,0.191012044384584,0.523175161600405,0.00171892224215042,7.68566844471393e-05,-2.25885805450485e-05,1.57044156688822e-05,0,1,0,1,1,0,0.079520000000002,0,1.08146059668429,1.1852514688696,2.05346972234999,1.88401097801538,0,0.00168195303594398,0,7.53429211820549e-05,0,-2.1830180562272e-05,0,1.56817334109461e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.072,"fault",1,"",NaN,0.9,0.9,192.622832071541,896.634715893505,0.937307226505708,1.13191494550774,0.0194183180642829,1.12079339486688,-0.120793394866881,0.0626927734942916,0.191621199558726,0.549088739940994,0.00373960545138965,7.7708337183693e-05,-2.5388533951932e-05,8.0968363126939e-06,0,1,0,1,1,0,0.0835200000000032,0,1.08146059668429,1.1852514688696,-5,-0.902719405164953,0,0.00362747500654742,0,7.61941217483629e-05,0,-2.4580832815261e-05,0,8.44148253960809e-06
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.074,"fault",1,"",NaN,0.9,0.9,200.775145344155,889.607827031278,0.942333519021979,1.11584685517914,0.0364103875646928,1.1120097837891,-0.112009783789098,0.057666480978021,0.190454500442292,0.549360723827836,0.00408958717996437,3.93073021302539e-05,-1.70469532559704e-05,1.94861845671167e-05,0,1,0,1,1,0,0.0875200000000044,0,1.08146059668429,1.1852514688696,-5,-2.49252356933649,0,0.00418449664303624,0,3.47976149294795e-05,0,-1.54714778664317e-05,0,2.34252785433547e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.076,"fault",1,"",NaN,0.9,0.9,201.306589433445,887.266258272345,0.951779478736761,1.16406097334333,0.0273900053837488,1.10908282284043,-0.109082822840431,0.0482205212632387,0.21119760076978,0.538142095345775,0.00535149704678283,9.62959039296161e-05,-4.29212974665176e-05,-1.2395970290912e-05,0,1,0,1,1,0,0.0915200000000057,0,1.08146059668429,1.1852514688696,2.34830298630695,2.74648345226902,0,0.00524636668657061,0,9.42754883811769e-05,0,-4.18318219607045e-05,0,-1.18976106334259e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.078,"fault",1,"",NaN,0.9,0.9,193.6304895036,884.745529184219,0.951574100207982,1.14704353836337,0.0228788610695882,1.10593191148027,-0.105931911480273,0.0484258997920176,0.233802561704255,0.516923341879506,0.0054691849168848,6.81898388378381e-05,-2.4543203581254e-05,8.25960329586324e-06,0,1,0,1,1,0,0.0955200000000069,0,1.08146059668429,1.1852514688696,0.437850671517248,0.426339466730097,0,0.00535983698432063,0,6.67940376790257e-05,0,-2.36831342422747e-05,0,8.32605689801552e-06
