model,topology,scenario_type,condition_class,case_name,t,window_zone,window_ok,window_reason,grid_V,fault_pu,grid_pu,lv_rms_inst,vdc_inst,obs_01,obs_02,obs_03,obs_04,obs_05,obs_06,obs_07,obs_08,obs_09,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,action_01,actor_action_01,action_02,actor_action_02,action_03,actor_action_03,action_04,actor_action_04
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.118,"recovery",1,"",NaN,1.1,1.1,210.03345927112,848.134871526494,1.01019706362517,1.21690274538892,0.0278084582685467,1.06016858940812,-0.0601685894081176,-0.0101970636251674,0.0867379347012691,0.374894319076418,0.0329101445311968,4.25050014393677e-05,-0.000118758653424066,-5.65685487627987e-05,0,1,0,1,1,0,0.175520000000031,0,1.09212016863525,1.30757984399103,-5,0.0169035107888682,-0.203941272503347,0.0326004568971382,0,3.80480995947706e-05,0,-0.000116572222874645,0,-5.61085260353321e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.12,"recovery",1,"",NaN,1.1,1.1,211.224831485694,847.889612246747,1.01213464544145,1.22003323416647,0.0238704400141236,1.05986201530843,-0.0598620153084342,-0.0121346454414484,0.0716811167109101,0.369578460699289,0.0337401547271364,4.77886453438958e-05,-0.00010553255467242,-1.67472808630275e-05,0,1,0,1,1,0,0.179520000000033,0,1.09212016863525,1.30757984399103,-1.59321234697685,-1.00314354649944,-0.242692908828968,0.0337127682979396,0,4.60122950674488e-05,0,-0.000105565148951173,0,-1.56203093116004e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.122,"recovery",1,"",NaN,1.1,1.1,212.462471990085,849.533133075221,1.01479865074233,1.23379448560515,0.00164423845991309,1.06191641634403,-0.0619164163440267,-0.0147986507423323,0.0507346035222596,0.376295151458065,0.0406957785652738,1.58149687696413e-05,-9.12459750976753e-05,-6.03620552316695e-05,0,1,0,1,1,0,0.183520000000034,0,1.09212016863525,1.30757984399103,-0.156456559002427,2.35644771623655,-0.295973014846647,0.0401185080343766,0,1.3193896126297e-05,0,-8.56902609872698e-05,0,-5.90221877863796e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.124,"recovery",1,"",NaN,1.1,1.1,214.358064792871,849.126145791258,1.02054284199388,1.22237049830986,0.0206284780633314,1.06140768223907,-0.0614076822390721,-0.0205428419938773,0.0694566558703434,0.376635041101545,0.0480159515550294,8.48801355058979e-05,-0.000129274615332669,-5.98165643985446e-05,0,1,0,1,1,0,0.187520000000035,0,1.09212016863525,1.30757984399103,-1.7397777173187,0.503514952192363,-0.410856839877547,0.0478845135693922,0,7.87642216670667e-05,0,-0.000122077718569788,0,-6.04260852358277e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.126,"recovery",1,"",NaN,1.1,1.1,217.769317920186,846.600989622376,1.02979013550777,1.20195014099052,0.0119799847760213,1.05825123702797,-0.0582512370279706,-0.0297901355077652,0.0547121110249988,0.351999824532729,0.0508886354707739,5.53778777646414e-05,-0.000105302624205841,-5.71969749342433e-05,0,1,0,1,1,0,0.191520000000035,0,1.09212016863525,1.30757984399103,-5,-0.419311649723086,-0.595802710155304,0.0507296171820137,0,4.79602408170887e-05,0,-0.000101585725206008,0,-5.55532065908917e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.128,"recovery",1,"",NaN,1.1,1.1,223.646446032058,847.992283939231,1.04175309097292,1.22511781280489,0.0136251792078454,1.05999035492404,-0.0599903549240388,-0.0417530909729182,0.0293859994119315,0.355500838971002,0.0599309875480767,-6.89193694269737e-06,-6.2847376903858e-05,-9.41770774806865e-05,0,1,0,1,1,0,0.195520000000033,0,1.09212016863525,1.30757984399103,-0.225790303766571,2.52037404480254,-0.6,0.059235213169315,0,-1.24657480335661e-05,0,-5.70769158069127e-05,0,-9.30709428357124e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.13,"recovery",1,"",NaN,1.1,1.1,220.186218731,847.725299319512,1.05171498302286,1.23507999841113,0.0079245833732036,1.05965662414939,-0.0596566241493894,-0.0517149830228614,0.0415270332597207,0.371358746343229,0.0775818938237351,3.1949246839397e-05,-7.18218500827173e-05,-0.000101649096849105,0,1,0,1,1,0,0.199520000000032,0,1.09212016863525,1.30757984399103,-2.06709717368248,0.872384791081204,-0.6,0.077530723787238,0,2.4365802180662e-05,0,-6.33453053219787e-05,0,-0.00010020679095611
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.132,"recovery",1,"",NaN,1.1,1.1,223.859386016091,844.188064108974,1.05692372509566,1.21110169751445,0.0322037924097381,1.05523508013622,-0.055235080136218,-0.05692372509566,0.0468691203253096,0.356816432711603,0.0749244513558239,1.50107348275644e-05,-5.3003998242923e-05,-8.58666749106826e-05,0,1,0,1,1,0,0.20352000000003,0,1.09212016863525,1.30757984399103,-5,-1.18045787751675,-0.6,0.0753625822709349,0,1.07212851542997e-05,0,-4.98546723174609e-05,0,-8.1573404395518e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.134,"recovery",1,"",NaN,1.1,1.1,224.854575208337,849.515947572756,1.06346926664915,1.22603716180751,0.0441106496421011,1.06189493446594,-0.0618949344659447,-0.0634692666491545,0.0291544275546858,0.339875497624424,0.0722802572544267,8.89200676018603e-06,-5.30917273258695e-05,-8.75171175183454e-05,0,1,0,1,1,0,0.207520000000029,0,1.09212016863525,1.30757984399103,-5,-1.36696693639582,-0.6,0.0727206203083566,0,5.2193508832909e-06,0,-5.06628498019007e-05,0,-8.29292643605844e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.136,"recovery",1,"",NaN,1.1,1.1,224.040194250683,846.669283488035,1.07054186672864,1.23939007897742,0.013243342838759,1.05833660436004,-0.0583366043600435,-0.0705418667286368,0.0204406563527224,0.34255419206872,0.0828596634551322,-1.46087665616082e-05,-3.11357359234645e-05,-6.52973268653582e-05,0,1,0,1,1,0,0.211520000000027,0,1.09212016863525,1.30757984399103,1.55450286447523,1.20887348125143,-0.6,0.0822849467519279,0,-1.62976308820511e-05,0,-3.17162214303322e-05,0,-6.45008545785118e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.138,"recovery",1,"",NaN,1.1,1.1,223.14796396355,842.323567557622,1.07092010293362,1.20185038716301,0.0219029663348381,1.05290445944703,-0.052904459447028,-0.0709201029336153,0.0330259624386416,0.348501449048511,0.0812667265602501,-1.60456143297394e-05,-3.82257779887968e-05,-6.83369434416461e-05,0,1,0,1,1,0,0.215520000000026,0,1.09212016863525,1.30757984399103,-3.21376652821037,-0.681012973565265,-0.6,0.0814319228452907,0,-1.60279839837236e-05,0,-3.77313530200711e-05,0,-6.47947029320844e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_hvrt","swell_1p10",0.14,"recovery",1,"",NaN,1.1,1.1,224.306864012741,846.879504691417,1.07488881564325,1.21362709223028,0.0221510981377562,1.05859938086427,-0.0585993808642713,-0.0748888156432508,0.0119255360778717,0.336210687527969,0.0860105833889752,-1.48536405500548e-05,-1.19003746037134e-05,-6.866095139348e-05,0,1,0,1,1,0,0.219520000000024,0,1.09212016863525,1.30757984399103,-5,-0.623216360769785,-0.6,0.0863277118392174,0,-2.04076965211554e-05,0,-7.54171127090329e-06,0,-6.58441084671476e-05
