model,topology,scenario_type,condition_class,case_name,t,window_zone,window_ok,window_reason,grid_V,fault_pu,grid_pu,lv_rms_inst,vdc_inst,obs_01,obs_02,obs_03,obs_04,obs_05,obs_06,obs_07,obs_08,obs_09,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,action_01,actor_action_01,action_02,actor_action_02,action_03,actor_action_03,action_04,actor_action_04
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.04,"fault",0,"gbt_lvrt_envelope_inst;gbt_vdc_survive_inst",NaN,0.9,0.9,166.575940954111,1093.77914167691,0.843591576781409,0.944613352936649,0.0371125129996591,1.36722392709614,-0.367223927096137,0.156408423218591,0.790363860865929,0.435787665494894,-0.000378828618269511,2.74773667651694e-05,1.83774952926595e-05,7.66552821619552e-05,0,0,0,1,0,1,0,0.00127999999999995,1.02149976951542,1.06304837167818,-5,0.801475031408039,0.6,-0.000376653648102037,0,2.69212686938723e-05,0,1.85581749165529e-05,0,7.53093472616074e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.042,"fault",0,"gbt_lvrt_envelope_inst;gbt_vdc_survive_inst",NaN,0.9,0.9,171.72938700444,1145.36516814176,0.835394619409885,0.927702830277376,0.0438852186780542,1.4317064601772,-0.431706460177197,0.164605380590115,0.676969342539404,0.450587545485374,-0.000296459695092819,7.04264419705508e-05,0.00011622194197572,2.76056624270274e-05,0,0,0,1,0,1,0,3.99999999999984e-05,0.974005466880806,0.974005466880806,-5,-2.97202326212909,0.6,-0.00030267323086805,0,6.93001673304417e-05,0,0.00011453791668287,0,2.74717033132827e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.044,"fault",0,"gbt_lvrt_envelope_inst;gbt_vdc_survive_inst",NaN,0.9,0.9,169.693355549476,1147.8196538242,0.830508193606998,0.963159375394212,0.0282819332678622,1.43477456728025,-0.434774567280246,0.169491806393002,0.547571883361128,0.498491132128399,-0.000330167565365483,6.12821958132769e-05,9.38806870754801e-05,3.17366371359886e-05,0,0,0,1,0,1,0,0.00203999999999992,0.949384866308845,0.949384866308845,-5,-0.93729371222695,0.6,-0.000322147706436434,0,6.01965119952912e-05,0,9.26568682536377e-05,0,3.13844536036929e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.046,"fault",0,"gbt_lvrt_envelope_inst;gbt_vdc_survive_inst",NaN,0.9,0.9,172.388493247084,1121.84345083282,0.827647924986533,0.976452502445521,0.0272668152195498,1.40230431354103,-0.402304313541027,0.172352075013467,0.420411429934865,0.549005682416447,-0.000311820118153315,3.6670049855423e-05,5.72615973759431e-05,4.86697307453664e-05,0,0,0,1,0,1,0,0.000319999999999987,0.998209661531427,0.998209661531427,-5,-0.474064102742977,0.6,-0.000305512382019383,0,3.59854394595892e-05,0,5.66544884828231e-05,0,4.79360867379749e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.048,"fault",0,"gbt_lvrt_envelope_inst;gbt_vdc_survive_inst",NaN,0.9,0.9,182.109531968721,1083.32884008729,0.836551034046824,0.995903641129869,0.0780818455376337,1.35416105010911,-0.354161050109107,0.163448965953176,0.3363399547454,0.589534151380896,-0.000574202674440764,7.50646778652062e-05,-5.59694474150158e-05,0.000185636555744037,0,0,0,1,1,0,0.0355199999999986,0,0.995903641129869,0.995903641129869,-5,-2.99022085062983,0.6,-0.000578736792588473,0,7.37210348340734e-05,0,-5.43708770188256e-05,0,0.000182264014047702
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.05,"fault",0,"gbt_vdc_survive_inst",NaN,0.9,0.9,190.723013692919,1051.72334576822,0.859338205881468,1.03547624985141,0.042589349841951,1.31465418221027,-0.314654182210273,0.140661794118532,0.288657963571798,0.601878942021149,-0.000406037618720103,4.59958914018883e-05,-2.7333929066864e-05,9.08958872398254e-05,0,0,0,1,0,1,0,0,1.06423302617129,1.07391574495741,-5,-0.973811694126914,0.6,-0.00040317932676622,0,4.51414615126623e-05,0,-2.63146199511151e-05,0,8.9372274916118e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.052,"fault",0,"gbt_vdc_survive_inst",NaN,0.9,0.9,189.260997474134,1027.47462914948,0.879108677718189,1.05362267217702,0.0684040742613982,1.28434328643685,-0.284343286436848,0.120891322281811,0.264636513023729,0.587924214514096,-0.000540451482204481,1.67076136616025e-05,-3.2316930467083e-06,4.74782685442687e-05,0,0,0,1,1,0,0.0435199999999982,0,1.05362267217702,1.05362267217702,-5,-0.282400687521722,0.6,-0.000535237462145142,0,1.63658872743901e-05,0,-2.56103342560381e-06,0,4.68159535795291e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.054,"fault",0,"gbt_vdc_survive_inst",NaN,0.9,0.9,186.429787618087,1006.52839632546,0.887471877929955,1.06402416294891,0.029171512252388,1.25816049540682,-0.258160495406824,0.112528122070045,0.207642633967343,0.565540856677496,-0.000442383436053076,2.66670927174262e-05,-1.59508169142526e-06,1.79327160674942e-05,0,0,0,1,0,1,0,0,1.09545578626247,1.09545578626247,-5,-4.15554916364425,0.6,-0.00028464964798012,0,2.1351029929546e-05,0,-2.00439629047716e-06,0,1.82243710241962e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.056,"fault",0,"gbt_lvrt_envelope_inst",NaN,0.9,0.9,185.059815397649,958.394918527255,0.890581040403347,1.09401730288798,0.0572248930855102,1.19799364815907,-0.197993648159069,0.109418959596653,0.157868557829476,0.588037580957868,0.000291068935647435,6.19177784499691e-05,-2.03815713767142e-05,1.42644050156692e-05,0,1,0,1,1,0,0.0515199999999979,0,1.08215844060656,1.13277006653812,-5,-0.851648367061308,0,0.000262493167502699,0,6.05978945578061e-05,0,-1.95844695529018e-05,0,1.43657685551502e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.058,"fault",1,"",NaN,0.9,0.9,188.789604811848,911.763397390014,0.895234568227131,1.10152334192617,0.0536145418146025,1.13970424673752,-0.139704246737518,0.104765431772869,0.173039809763838,0.62747708354565,0.00338301261882176,4.58719055937714e-05,-1.78912764873833e-05,3.73213840743608e-05,0,1,0,1,1,0,0.0555199999999977,0,1.08638605597944,1.11715787436186,-0.0568791379014222,0.323066422861729,0,0.0033108648522117,0,4.48996297434236e-05,0,-1.71753199762851e-05,0,3.68735480414334e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.06,"fault",1,"",NaN,0.9,0.9,194.260671314576,914.2360516815,0.904260967468964,1.08844816663373,0.0476709705435238,1.14279506460188,-0.142795064601876,0.0957390325310358,0.219723769643514,0.612658810416193,0.00260792978540869,8.03357473719782e-05,-2.37288030601977e-05,2.05225484229718e-05,0,1,0,1,1,0,0.0595199999999976,0,1.08844816663373,1.15124913478513,-5,-2.99815326369268,0,0.00284191471904075,0,7.38995384487211e-05,0,-1.96707025320436e-05,0,2.41184230466598e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.062,"fault",1,"",NaN,0.9,0.9,193.49995322654,924.504696519041,0.915499590386493,1.14404619236538,0.00413565830649478,1.1556308706488,-0.155630870648801,0.084500409613507,0.220100349914132,0.584201123406421,0.00256291038401681,7.53443725361473e-05,-2.69960584052742e-05,1.08583021542213e-05,0,1,0,1,1,0,0.0635199999999974,0,1.08281823296523,1.14416396019001,5,3.62053728564993,0,0.002688353229983,0,8.44768342165096e-05,0,-3.01252977396173e-05,0,1.0795880848865e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.064,"fault",1,"",NaN,0.9,0.9,186.55513989801,917.717117992585,0.914225600700728,1.112912370462,0.010812434525703,1.14714639749073,-0.147146397490731,0.0857743992992721,0.206669041397869,0.568823663362232,0.00363555437905718,6.88276325357726e-05,-2.41697098938769e-05,2.53058126594219e-05,0,1,0,1,1,0,0.0675199999999983,0,1.08153779072409,1.112912370462,1.68801770632387,1.49924309006133,0,0.00356058454880502,0,6.74615348128539e-05,0,-2.33733741259906e-05,0,2.50922827842303e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.066,"fault",0,"gbt_lvrt_envelope_inst",NaN,0.9,0.9,184.223413857954,907.682722697289,0.903873755959872,1.0951707934563,0.00775970477652405,1.13460340337161,-0.134603403371611,0.0961262440401285,0.208580765303497,0.558930442851345,0.0024258912023697,7.16909128188104e-05,-2.11963722281316e-05,1.20225156949551e-05,0,1,0,1,1,0,0.0715199999999995,0,1.08392678248511,1.13288909405392,-5,-1.7370511899526,0,0.00234379049061762,0,7.01440246805657e-05,0,-2.0356155595781e-05,0,1.23335679996492e-05
