model,topology,scenario_type,condition_class,case_name,t,window_zone,window_ok,window_reason,grid_V,fault_pu,grid_pu,lv_rms_inst,vdc_inst,obs_01,obs_02,obs_03,obs_04,obs_05,obs_06,obs_07,obs_08,obs_09,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,action_01,actor_action_01,action_02,actor_action_02,action_03,actor_action_03,action_04,actor_action_04
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.108,"recovery",1,"",NaN,0.9,0.9,203.062053337651,880.249647061064,0.960343973260349,1.14722309239322,0.0303784812318345,1.10031205882633,-0.10031205882633,0.0396560267396505,0.245878027996316,0.420186979721522,0.00563400949993592,7.64750939978834e-05,-2.81203796027028e-05,-1.75911504092551e-06,0,1,0,1,1,0,0.155440000000025,0,1.08444504673264,1.18510912099071,-0.276434441823792,-0.765336410475381,0,0.00559304447344134,0,7.50876611917421e-05,0,-2.78875071347105e-05,0,-2.6470915836491e-06
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.11,"recovery",1,"",NaN,0.9,0.9,202.139947312857,860.289010911621,0.965495011845924,1.15927675454062,0.0131607651286631,1.07536126363953,-0.0753612636395258,0.0345049881540755,0.229336271442653,0.431603528532107,0.0101177007735175,9.55044602984003e-05,-6.21609685801815e-05,-2.54938954590415e-05,0,1,0,1,1,0,0.159440000000026,0,1.08444504673264,1.18510912099071,1.34132331761827,1.36825452719647,0,0.00991261068692253,0,9.35498751780859e-05,0,-6.0637402789281e-05,0,-2.47278339510926e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.112,"recovery",1,"",NaN,0.9,0.9,199.108299861789,852.231065145425,0.965146287980028,1.13877306862549,0.0195018044785667,1.06528883143178,-0.0652888314317812,0.0348537120199721,0.26024699598322,0.416593738238693,0.0153091867859639,0.000127324520259054,-9.33487955115074e-05,-8.59561166853207e-05,0,1,0,1,1,0,0.163440000000028,0,1.08444504673264,1.18510912099071,-5,-0.853492144472279,0,0.0150445431843406,0,0.000125610061983404,0,-9.25583065623952e-05,0,-8.3090930918033e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.114,"recovery",1,"",NaN,0.9,0.9,202.601740681731,857.2408589044,0.967262256300606,1.11719891237098,0.0165488849954753,1.0715510736305,-0.0715510736304998,0.0327377436993942,0.237662081741725,0.403053368350521,0.0105981774956255,8.24603209510425e-05,-6.02140939563067e-05,-3.35204938683245e-05,0,1,0,1,1,0,0.167440000000029,0,1.08444504673264,1.18510912099071,-5,-2.30893025209133,0,0.0107823053763475,0,7.9125225861189e-05,0,-6.08061582657878e-05,0,-3.0246208198685e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.116,"recovery",1,"",NaN,0.9,0.9,203.781882840236,857.766974135375,0.97062138303841,1.16663166630265,0.00925433574587237,1.07220871766922,-0.072208717669219,0.0293786169615903,0.218883103020299,0.407004139342743,0.0143445755527151,9.77175445680718e-05,-8.56869051860027e-05,-5.76058591886737e-05,0,1,0,1,1,0,0.17144000000003,0,1.08444504673264,1.18510912099071,2.18405277982558,1.70529720564772,0,0.0140840482319245,0,9.70333163826223e-05,0,-8.6057452101573e-05,0,-5.67933159919251e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.118,"recovery",1,"",NaN,0.9,0.9,199.761930444702,851.177046347707,0.970604145945291,1.14945416542734,0.0186981387247875,1.06397130793463,-0.0639713079346338,0.0293958540547093,0.244912742208408,0.403643984256411,0.0181845448672526,0.000131003154393675,-0.00011289596091217,-6.45152619015982e-05,0,1,0,1,1,0,0.175440000000031,0,1.08444504673264,1.18510912099071,-0.102687479150987,-0.195409276258607,0,0.0179108343623692,0,0.000128719674973174,0,-0.000112403731436503,0,-6.59821120451382e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.12,"recovery",1,"",NaN,0.9,0.9,203.039923621924,855.990422387193,0.970819689287067,1.15272459962798,0.0253185167859727,1.06998802798399,-0.0699880279839906,0.0291803107129327,0.229456684846716,0.389147705987558,0.0146298938476466,0.00010766028130494,-0.000108834192226401,-5.3580658820853e-05,0,1,0,1,1,0,0.179440000000033,0,1.08444504673264,1.18510912099071,5,-2.11023408967903,0,0.014862706648293,0,0.000107341634147715,0,-0.000107875873249467,0,-5.36663006249732e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.122,"recovery",1,"",NaN,0.9,0.9,202.640670340889,856.720155412804,0.974116818639754,1.13825796388342,0.0188374439395979,1.07090019426601,-0.0709001942660052,0.0258831813602458,0.220269459595601,0.396165457372906,0.0209292784023662,0.000128259579065802,-0.000128718985027042,-8.72166079823729e-05,0,1,0,1,1,0,0.183440000000034,0,1.08444504673264,1.19233806663631,-5,-0.866894940959817,0,0.0206116249779435,0,0.000126523911714834,0,-0.000127512978389594,0,-8.29262349469816e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.124,"recovery",1,"",NaN,0.9,0.9,201.315363936916,853.244302371878,0.974759705912408,1.15774223699458,0.00409687682947464,1.06655537796485,-0.0665553779648473,0.0252402940875922,0.228099090056613,0.404446549219374,0.0239625452803946,0.000158840349929211,-0.00014673316048633,-5.37383973892549e-05,0,1,0,1,1,0,0.187440000000035,0,1.08444504673264,1.19233806663631,0.698267948702203,0.356224013165818,0,0.0235400374299845,0,0.000155865168226,0,-0.000143713721559912,0,-5.3265576639481e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.126,"recovery",1,"",NaN,0.9,0.9,202.558398679318,855.3492922108,0.973664461993692,1.14335214934144,0.0194389955817739,1.0691866152635,-0.0691866152635001,0.0263355380063078,0.234330076828734,0.389865233230763,0.0175226355315708,0.000110546532688504,-0.000120801230372111,-5.90057503786123e-05,0,1,0,1,1,0,0.191440000000035,0,1.08444504673264,1.19233806663631,-5,-2.1605513693963,0,0.0175576796630631,0,0.000107267415072111,0,-0.000121044800675879,0,-5.54588993240431e-05
