"topology","case_name","fault_pu","fault_duration_s","phase_mode","fault_family","conventional_voltage_survival_pass","conventional_score","conventional_reason","sac_voltage_survival_pass","sac_score","sac_reason","sac_beats_conventional","sac_minus_conventional_score","conventional_vdc_min","conventional_vdc_max","sac_vdc_min","sac_vdc_max","conventional_envelope_violation_max_pu","sac_envelope_violation_max_pu","conventional_recovery_violation_max_pu","sac_recovery_violation_max_pu"
"topology2","a_lvrt_080ms_0p850pu","0.85","0.08","a","LVRT","False","236.08402011571","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","155.473648488731","","True","-80.610371626979","730.839483474259","834.600710073987","710.151171807399","850.880587606367","0.0677120677702465","0.0","0.0794132156107295","0.0"
"topology2","a_lvrt_080ms_0p900pu","0.9","0.08","a","LVRT","False","243.497658493074","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","139.626342789144","","True","-103.87131570393001","734.504543740616","834.600710073987","730.199352549984","850.880587606367","0.10727929433338","0.0","0.0819526096070046","0.0"
"topology2","a_lvrt_120ms_0p850pu","0.85","0.12","a","LVRT","False","238.429786776735","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","152.993086712869","","True","-85.436700063866","730.839483474259","834.600710073987","710.151171807399","850.880587606367","0.0677120677702465","0.0","0.073719439929473","0.0"
"topology2","a_lvrt_120ms_0p900pu","0.9","0.12","a","LVRT","False","246.819238861851","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","137.212219370218","","True","-109.607019491633","734.504543740616","834.600710073987","730.199352549984","850.880587606367","0.10727929433338","0.0","0.076331510734726","0.0"
"topology2","ab_hvrt_060ms_1p050pu","1.05","0.06","ab","HVRT","False","144.792524517307","timestep_fault_lv_band;timestep_recovery_envelope","True","125.283136901034","","True","-19.50938761627299","734.930539758582","834.600710073987","761.799113380299","831.022872839394","0.0","0.0","0.0948000478180624","0.0"
"topology2","ab_hvrt_060ms_1p100pu","1.1","0.06","ab","HVRT","False","145.970008470231","timestep_recovery_envelope","True","128.060512246615","","True","-17.909496223616003","744.730005073961","840.184285236833","762.521345935865","827.935171470461","0.0","0.0","0.0955211164343007","0.0"
"topology2","ab_lvrt_040ms_0p850pu","0.85","0.04","ab","LVRT","False","155.432174680707","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","130.979080601441","","True","-24.45309407926598","726.630463107477","834.600710073987","674.15252015779","900.278690253127","0.0862990657417795","0.0","0.0983150716026576","0.0"
"topology2","ab_lvrt_040ms_0p900pu","0.9","0.04","ab","LVRT","False","160.285642653519","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","132.71874275149","","True","-27.566899902029007","732.008937203134","834.600710073987","705.40733290833","900.278690253127","0.124507564421138","0.0","0.0952178151148972","0.0"
"topology2","ab_lvrt_060ms_0p850pu","0.85","0.06","ab","LVRT","False","156.904540473121","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","130.212692308638","","True","-26.69184816448299","726.630463107477","834.600710073987","670.167677920061","900.278690253127","0.0880640546962022","0.0","0.0884171893481291","0.0"
"topology2","ab_lvrt_060ms_0p900pu","0.9","0.06","ab","LVRT","False","163.332057856424","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","132.148198218001","","True","-31.183859638423","732.008937203134","834.600710073987","694.940374539387","900.278690253127","0.128279537986246","0.0","0.089452689905083","0.0"
"topology2","ab_lvrt_060ms_0p950pu","0.95","0.06","ab","LVRT","False","162.95672331172","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","134.643593728566","","True","-28.313129583153994","734.67574687395","834.600710073987","727.007423812709","900.278690253127","0.153955196687992","0.0","0.0885906837536793","0.0"
