dataset,case_id,current_weight,recovery_weight,fail_penalty,conventional_sensitivity_score,specialist_sensitivity_score,specialist_beats_under_weights,comparison_type
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,25.0,60.0,200.0,216.26469861314962,3.7341891097990043,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,25.0,120.0,0.0,16.83442794867921,3.7341891097990043,True,no_fail_penalty_continuous
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,25.0,120.0,50.0,66.8344279486792,3.7341891097990043,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,25.0,120.0,100.0,116.8344279486792,3.7341891097990043,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,25.0,120.0,200.0,216.8344279486792,3.7341891097990043,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,25.0,240.0,0.0,17.973886619738416,3.7341891097990043,True,no_fail_penalty_continuous
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,25.0,240.0,50.0,67.97388661973841,3.7341891097990043,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,25.0,240.0,100.0,117.97388661973841,3.7341891097990043,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,25.0,240.0,200.0,217.9738866197384,3.7341891097990043,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,50.0,60.0,0.0,16.264698613149605,5.383177829792004,True,no_fail_penalty_continuous
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,50.0,60.0,50.0,66.2646986131496,5.383177829792004,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,50.0,60.0,100.0,116.2646986131496,5.383177829792004,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,50.0,60.0,200.0,216.26469861314962,5.383177829792004,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,50.0,120.0,0.0,16.83442794867921,5.383177829792004,True,no_fail_penalty_continuous
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,50.0,120.0,50.0,66.8344279486792,5.383177829792004,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,50.0,120.0,100.0,116.8344279486792,5.383177829792004,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,50.0,120.0,200.0,216.8344279486792,5.383177829792004,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,50.0,240.0,0.0,17.973886619738416,5.383177829792004,True,no_fail_penalty_continuous
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,50.0,240.0,50.0,67.97388661973841,5.383177829792004,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,50.0,240.0,100.0,117.97388661973841,5.383177829792004,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,50.0,240.0,200.0,217.9738866197384,5.383177829792004,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,100.0,60.0,0.0,16.264698613149605,8.681155269778003,True,no_fail_penalty_continuous
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,100.0,60.0,50.0,66.2646986131496,8.681155269778003,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,100.0,60.0,100.0,116.2646986131496,8.681155269778003,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,100.0,60.0,200.0,216.26469861314962,8.681155269778003,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,100.0,120.0,0.0,16.83442794867921,8.681155269778003,True,no_fail_penalty_continuous
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,100.0,120.0,50.0,66.8344279486792,8.681155269778003,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,100.0,120.0,100.0,116.8344279486792,8.681155269778003,True,with_fail_penalty
