dataset,case_id,controller_role,topology,fault_family,phase_mode,fault_pu,duration_s,fault_start_s,chopper_threshold,rchop_scale,actor_filter_tau,model_path,model_sha256,control_csv,control_csv_sha256,voltage_survival_pass,full_frt_pass,control_score,lv_mean,lv_recovery_mean,lv_peak,lv_min,fault_lv_min,fault_lv_max,fault_lv_band_violation_max_pu,fault_lv_band_violation_duration_s,envelope_violation_max_pu,envelope_violation_duration_s,recovery_violation_max_pu,recovery_violation_duration_s,vdc_min,vdc_max,vdc_lower_margin_v,vdc_upper_margin_v,grid_current_peak_pu,grid_current_margin_pu,grid_iq_shortfall_max_pu,gbt_reactive_status,action_max_abs,cmd_action_max_abs,bridge_modulation_abs_max,voltage_reason,full_frt_reason
stage2_8row,topology1_ab_lvrt090_60ms_unbalanced,conventional,topology1,LVRT,ab,0.9,0.06,0.035,850.0,1.0,0.0,,,E:\research_space\Hybrid-power-transformer\lab\results\hpt_v2_control_comparison\control_comparison_topology1_fault_all_accepted_topology1_ab_lvrt090_60ms_unbalanced_20260722_040752.csv,2e95fe02e561c2a927a822fb03568aa91b4c9d99153798203824070103a2f699,True,False,102.888321369442,199.010151219753,204.048636727647,204.998387235569,196.996045689667,196.996045689667,200.794427843123,0.0,0.0,0.0,0.0,0.0,0.0,757.821321639085,869.947299476418,107.821321639085,130.05270052358196,1.51400157917843,-0.014001579178430035,0.0,not_evaluated_no_sustained_reactive_demand_after_delay,0.95,0.65,0.95,,grid_current_limit;not_evaluated_no_sustained_reactive_demand_after_delay
stage2_8row,topology1_ab_lvrt090_60ms_unbalanced,specialist,topology1,LVRT,ab,0.9,0.06,0.035,850.0,1.0,0.0,data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip,f3a2bb25648a0666f602a2037f10288945cf5ece5e994334fff1ee0caf832bf7,E:\research_space\Hybrid-power-transformer\lab\results\hpt_v2_control_comparison\control_comparison_topology1_fault_all_accepted_topology1_ab_lvrt090_60ms_unbalanced_20260722_040752.csv,2e95fe02e561c2a927a822fb03568aa91b4c9d99153798203824070103a2f699,True,False,106.015360281519,203.719878000193,215.971022456079,222.24282004571,198.713467642925,198.713467642925,206.160294842987,0.0,0.0,0.0,0.0,0.0,0.0,772.591536647866,880.494694562187,122.59153664786595,119.50530543781304,1.57130262780684,-0.07130262780684005,0.0,pass,0.95,0.564872627401608,0.95,,grid_current_limit
stage2_8row,topology2_a_lvrt090_60ms_unbalanced,conventional,topology2,LVRT,a,0.9,0.06,0.035,780.0,0.65,0.0,,,E:\research_space\Hybrid-power-transformer\lab\results\hpt_v2_control_comparison\control_comparison_topology2_fault_all_accepted_topology2_a_lvrt090_60ms_unbalanced_20260722_040931.csv,abfb04c0f333f3044bedcebea80bad8de041d1d6d7e340938e56a46646b55d96,False,False,159.385394077737,170.41801208877,179.72547132028,194.878209098263,164.09318607299,164.09318607299,174.325020013696,0.0575208402271002,0.0400199999999984,0.10727929433338,0.164999999999993,0.0934302653431134,0.0899999999999963,734.504543740616,834.600710073987,84.50454374061599,165.399289926013,1.94430806288033,-0.44430806288033,0.0,not_evaluated_no_sustained_reactive_demand_after_delay,0.95,0.8,0.95,timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope,gbt_voltage_envelope;gbt_recover;grid_current_limit;not_evaluated_no_sustained_reactive_demand_after_delay
stage2_8row,topology2_a_lvrt090_60ms_unbalanced,specialist,topology2,LVRT,a,0.9,0.06,0.035,780.0,0.65,0.0,data/models/hpt_t2_a_lvrt090_warm_sac_reganchor_20260722.zip,90288620cdb7573e685a5e2802e1a50655e9653406cb1dcf08abd0f1203df00b,E:\research_space\Hybrid-power-transformer\lab\results\hpt_v2_control_comparison\control_comparison_topology2_fault_all_accepted_topology2_a_lvrt090_60ms_unbalanced_20260722_040931.csv,abfb04c0f333f3044bedcebea80bad8de041d1d6d7e340938e56a46646b55d96,True,False,126.577723426817,225.718328024405,199.332861568525,233.473738624612,186.196141919875,223.82127946382,228.972813649862,0.0,0.0,0.0,0.0,0.0,0.0,727.961897308608,850.880587606367,77.96189730860794,149.11941239363296,1.92601260271281,-0.42601260271280994,0.0,pass,0.95,0.8,0.95,,gbt_recover;grid_current_limit
stage2_8row,topology2_ab_lvrt090_60ms_unbalanced,conventional,topology2,LVRT,ab,0.9,0.06,0.035,780.0,0.65,0.0,,,E:\research_space\Hybrid-power-transformer\lab\results\hpt_v2_control_comparison\control_comparison_topology2_fault_all_accepted_topology2_ab_lvrt090_60ms_unbalanced_20260722_041058.csv,6c4bb03b3bed2b81b78425550ee48e747f13bcc7399f0fa7e102cc33cd0f03f0,False,False,163.332057856424,166.685294148401,180.660050538136,194.385733976214,159.746135636847,159.746135636847,170.719726006492,0.0785210838799659,0.0400199999999984,0.128279537986246,0.163899999999993,0.089452689905083,0.0899999999999963,732.008937203134,834.600710073987,82.008937203134,165.399289926013,1.94616863509356,-0.4461686350935601,0.0,not_evaluated_no_sustained_reactive_demand_after_delay,0.95,0.8,0.95,timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope,gbt_voltage_envelope;gbt_recover;grid_current_limit;not_evaluated_no_sustained_reactive_demand_after_delay
stage2_8row,topology2_ab_lvrt090_60ms_unbalanced,specialist,topology2,LVRT,ab,0.9,0.06,0.035,780.0,0.65,0.0,data/models/hpt_t2_ab_lvrt090_warm_sac_reganchor_20260722.zip,f50166c8a100f2ef6b1ca40cc9ce0a207736e286ced310c234eb251fad015537,E:\research_space\Hybrid-power-transformer\lab\results\hpt_v2_control_comparison\control_comparison_topology2_fault_all_accepted_topology2_ab_lvrt090_60ms_unbalanced_20260722_041058.csv,6c4bb03b3bed2b81b78425550ee48e747f13bcc7399f0fa7e102cc33cd0f03f0,True,False,132.148198218001,222.417425848246,203.406739379669,227.33801052903,162.36744034896,219.827205950374,224.92036223853,0.0,0.0,0.0,0.0,0.0,0.0,694.940374539387,900.278690253127,44.940374539386994,99.72130974687298,1.94937082081212,-0.4493708208121201,0.0,pass,0.95,0.8,0.95,,gbt_recover;grid_current_limit
reduced_boundary_6row,balanced_lvrt_080ms_0p850pu,conventional,topology1,LVRT,balanced,0.85,0.080,0.080,850,1,0.001,,,E:\research_space\Hybrid-power-transformer\lab\results\hpt_reduced_boundary_exact_push_20260725\boundary_raw_rows.csv,9b3a700f1bd856b57aa414147a5eeeaa86911b68c7c76f351844e67133350164,False,False,167.579478385122,191.143719223074,184.97810944593,210.666020904633,150.088745676704,182.290847389858,199.973906769346,0.0,0.0,0.0162133758656946,0.00281999999999989,0.0868540836902844,0.0791399999999968,757.768656158744,892.146032087084,107.76865615874397,107.853967912916,1.47028827901906,0.029711720980940104,1.16264820304068,reactive_wrong_sign,0.95,0.65,0.95,timestep_voltage_envelope;timestep_recovery_envelope,gbt_voltage_envelope;gbt_recover;reactive_wrong_sign
reduced_boundary_6row,balanced_lvrt_080ms_0p850pu,specialist,topology1,LVRT,balanced,0.85,0.080,0.080,850,1,0.001,data/models/hpt_exact_t1_lvrt090_80ms_fault_recovery_mid_actor_daggertraj_20260725_dagger1.zip,8e2eedb9cc58a2eafef05f6b5f55a854b58ca26f49dc15a8b4431d213de70e66,E:\research_space\Hybrid-power-transformer\lab\results\hpt_reduced_boundary_exact_push_20260725\boundary_raw_rows.csv,9b3a700f1bd856b57aa414147a5eeeaa86911b68c7c76f351844e67133350164,True,False,160.747033854882,206.749793975633,206.842472002252,242.457818115754,145.730694935391,196.5287715354,219.23980308909,0.0,0.0,0.0,0.0,0.0,0.0,762.983504473927,901.531356923481,112.98350447392704,98.46864307651902,1.55985328642796,-0.05985328642795995,1.09409454172351,reactive_wrong_sign,0.95,0.563312505697775,0.95,,gbt_recover;grid_current_limit;reactive_wrong_sign
reduced_boundary_6row,balanced_lvrt_080ms_0p900pu,conventional,topology1,LVRT,balanced,0.9,0.080,0.080,850,1,0.001,,,E:\research_space\Hybrid-power-transformer\lab\results\hpt_reduced_boundary_exact_push_20260725\boundary_raw_rows.csv,9b3a700f1bd856b57aa414147a5eeeaa86911b68c7c76f351844e67133350164,False,False,169.172709887737,187.723612977997,184.861443127751,207.746960917144,166.770680193482,174.448008983877,202.288129698516,0.00749754114069223,0.000119999999999995,0.0648472260106662,0.0944599999999962,0.0948472260106661,0.0798999999999968,757.768656158744,880.067048316975,107.76865615874397,119.93295168302495,1.47028827901906,0.029711720980940104,1.15149902769164,reactive_wrong_sign,0.95,0.65,0.95,timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope,gbt_voltage_envelope;gbt_recover;reactive_wrong_sign
reduced_boundary_6row,balanced_lvrt_080ms_0p900pu,specialist,topology1,LVRT,balanced,0.9,0.080,0.080,850,1,0.001,data/models/hpt_exact_t1_lvrt090_80ms_fault_recovery_mid_actor_daggertraj_20260725_dagger1.zip,8e2eedb9cc58a2eafef05f6b5f55a854b58ca26f49dc15a8b4431d213de70e66,E:\research_space\Hybrid-power-transformer\lab\results\hpt_reduced_boundary_exact_push_20260725\boundary_raw_rows.csv,9b3a700f1bd856b57aa414147a5eeeaa86911b68c7c76f351844e67133350164,True,False,158.749627537243,214.311878022849,206.281724029564,241.778383977572,147.925095447321,204.626855997605,226.988813706496,0.0,0.0,0.0,0.0,0.0,0.0,762.983504473927,901.531356923481,112.98350447392704,98.46864307651902,1.53747539405485,-0.03747539405485001,1.05796827147733,reactive_wrong_sign,0.95,0.559230273199537,0.95,,gbt_recover;grid_current_limit;reactive_wrong_sign
reduced_boundary_6row,balanced_lvrt_120ms_0p850pu,conventional,topology1,LVRT,balanced,0.85,0.120,0.080,850,1,0.001,,,E:\research_space\Hybrid-power-transformer\lab\results\hpt_reduced_boundary_exact_push_20260725\boundary_raw_rows.csv,9b3a700f1bd856b57aa414147a5eeeaa86911b68c7c76f351844e67133350164,False,False,168.743716596406,190.211145308142,184.557046339041,209.15400712509,150.088745676704,174.726523356278,201.364334615062,0.00615206108078259,3.99999999999984e-05,0.00819796172875287,0.00169999999999993,0.0872699008792794,0.0795399999999968,757.768656158744,877.721994470196,107.76865615874397,122.27800552980398,1.47028827901906,0.029711720980940104,1.18741094897978,reactive_wrong_sign,0.95,0.65,0.95,timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope,gbt_voltage_envelope;gbt_recover;reactive_wrong_sign
reduced_boundary_6row,balanced_lvrt_120ms_0p850pu,specialist,topology1,LVRT,balanced,0.85,0.120,0.080,850,1,0.001,data/models/hpt_exact_t1_lvrt090_80ms_fault_recovery_mid_actor_daggertraj_20260725_dagger1.zip,8e2eedb9cc58a2eafef05f6b5f55a854b58ca26f49dc15a8b4431d213de70e66,E:\research_space\Hybrid-power-transformer\lab\results\hpt_reduced_boundary_exact_push_20260725\boundary_raw_rows.csv,9b3a700f1bd856b57aa414147a5eeeaa86911b68c7c76f351844e67133350164,True,False,156.814438127164,209.756132204327,208.753875762162,233.872827115368,145.730694935391,196.5287715354,221.298864030283,0.0,0.0,0.0,0.0,0.0,0.0,762.983504473927,901.531356923481,112.98350447392704,98.46864307651902,1.49107946120135,0.008920538798649957,1.11223337114159,reactive_wrong_sign,0.95,0.563312505697775,0.95,,gbt_recover;reactive_wrong_sign
reduced_boundary_6row,balanced_lvrt_120ms_0p900pu,conventional,topology1,LVRT,balanced,0.9,0.120,0.080,850,1,0.001,,,E:\research_space\Hybrid-power-transformer\lab\results\hpt_reduced_boundary_exact_push_20260725\boundary_raw_rows.csv,9b3a700f1bd856b57aa414147a5eeeaa86911b68c7c76f351844e67133350164,False,False,169.927386535521,187.383751514758,185.108583222675,203.415959467992,166.770680193482,173.664430257649,202.288129698516,0.0112829456152223,0.000259999999999989,0.0610413997215025,0.108759999999996,0.087753544308775,0.0788399999999968,757.768656158744,878.991246617198,107.76865615874397,121.00875338280196,1.47028827901906,0.029711720980940104,1.15628418626036,reactive_wrong_sign,0.95,0.65,0.95,timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope,gbt_voltage_envelope;gbt_recover;reactive_wrong_sign
reduced_boundary_6row,balanced_lvrt_120ms_0p900pu,specialist,topology1,LVRT,balanced,0.9,0.120,0.080,850,1,0.001,data/models/hpt_exact_t1_lvrt090_120ms_fault_recovery_018_actor_bcstrong_20260725_bc0.zip,feca864a1422af6bb3cdef800ac48bdab937f7350999acb1789ac14554b3e252,E:\research_space\Hybrid-power-transformer\lab\results\hpt_reduced_boundary_exact_push_20260725\boundary_raw_rows.csv,9b3a700f1bd856b57aa414147a5eeeaa86911b68c7c76f351844e67133350164,True,False,156.722719557682,206.095625391083,210.501782873047,233.086995251415,146.185339994673,191.658595255956,219.044273054695,0.0,0.0,0.0,0.0,0.0,0.0,762.983504473927,901.531356923481,112.98350447392704,98.46864307651902,1.49203543065849,0.00796456934151002,1.11424836815452,reactive_wrong_sign,0.95,0.458326422230055,0.95,,gbt_recover;reactive_wrong_sign
reduced_boundary_6row,a_hvrt_060ms_1p050pu,conventional,topology2,HVRT,a,1.05,0.060,0.035,780,0.65,0.001,,,E:\research_space\Hybrid-power-transformer\lab\results\hpt_reduced_boundary_exact_push_20260725\boundary_raw_rows.csv,9b3a700f1bd856b57aa414147a5eeeaa86911b68c7c76f351844e67133350164,False,False,145.477757133109,176.461794059305,180.033966495099,196.124636857458,170.347321712033,170.347321712033,181.636897924891,0.0273076245795516,0.0260799999999989,0.0,0.0,0.0898245370577449,0.0899999999999963,735.226478219565,834.600710073987,85.22647821956502,165.399289926013,2.02088217949839,-0.5208821794983902,0.0,not_evaluated_no_sustained_reactive_demand_after_delay,0.95,0.8,0.95,timestep_fault_lv_band;timestep_recovery_envelope,gbt_recover;grid_current_limit;not_evaluated_no_sustained_reactive_demand_after_delay
reduced_boundary_6row,a_hvrt_060ms_1p050pu,specialist,topology2,HVRT,a,1.05,0.060,0.035,780,0.65,0.001,data/models/hpt_exact_t2_a_hvrt105_60ms_strongpos_actor_daggertraj_20260725_dagger1.zip,5659b67e4b8509934ccb27946b6330bbf1914bc02437d91ccdf8845acb1ce25a,E:\research_space\Hybrid-power-transformer\lab\results\hpt_reduced_boundary_exact_push_20260725\boundary_raw_rows.csv,9b3a700f1bd856b57aa414147a5eeeaa86911b68c7c76f351844e67133350164,True,False,125.626423218636,192.962763629493,198.722105911212,211.264899354062,188.785868270582,188.785868270582,196.235733698802,0.0,0.0,0.0,0.0,0.0,0.0,761.164316581809,831.022872839394,111.16431658180898,168.97712716060596,1.92326794253554,-0.4232679425355399,0.0,pass,0.95,0.526551514239038,0.95,,gbt_recover;grid_current_limit
reduced_boundary_6row,a_hvrt_060ms_1p100pu,conventional,topology2,HVRT,a,1.1,0.060,0.035,780,0.65,0.001,,,E:\research_space\Hybrid-power-transformer\lab\results\hpt_reduced_boundary_exact_push_20260725\boundary_raw_rows.csv,9b3a700f1bd856b57aa414147a5eeeaa86911b68c7c76f351844e67133350164,False,False,146.036952661117,178.763217302978,180.054923338743,197.323570846981,172.150334746022,172.150334746022,183.583123019108,0.0185974166858864,0.0113599999999995,0.0,0.0,0.091294761847283,0.0899999999999963,732.665449861311,834.600710073987,82.665449861311,165.399289926013,2.06448004353164,-0.5644800435316402,0.0,not_evaluated_no_sustained_reactive_demand_after_delay,0.95,0.8,0.95,timestep_fault_lv_band;timestep_recovery_envelope,gbt_recover;grid_current_limit;not_evaluated_no_sustained_reactive_demand_after_delay
reduced_boundary_6row,a_hvrt_060ms_1p100pu,specialist,topology2,HVRT,a,1.1,0.060,0.035,780,0.65,0.001,data/models/hpt_exact_t2_a_hvrt105_60ms_strongpos_actor_daggertraj_20260725_dagger1.zip,5659b67e4b8509934ccb27946b6330bbf1914bc02437d91ccdf8845acb1ce25a,E:\research_space\Hybrid-power-transformer\lab\results\hpt_reduced_boundary_exact_push_20260725\boundary_raw_rows.csv,9b3a700f1bd856b57aa414147a5eeeaa86911b68c7c76f351844e67133350164,True,False,127.411843522884,195.688064653641,198.730153002715,211.74823674142,190.648614633311,190.648614633311,199.377192799026,0.0,0.0,0.0,0.0,0.0,0.0,761.138543032332,831.022872839394,111.138543032332,168.97712716060596,1.96990974108311,-0.4699097410831099,0.0,pass,0.95,0.526551514239038,0.95,,gbt_recover;grid_current_limit
