"topology","case_name","fault_pu","fault_duration_s","phase_mode","fault_family","conventional_voltage_survival_pass","conventional_score","conventional_reason","sac_voltage_survival_pass","sac_score","sac_reason","sac_beats_conventional","sac_minus_conventional_score","conventional_vdc_min","conventional_vdc_max","sac_vdc_min","sac_vdc_max","conventional_envelope_violation_max_pu","sac_envelope_violation_max_pu","conventional_recovery_violation_max_pu","sac_recovery_violation_max_pu"
"topology2","a_hvrt_080ms_1p150pu","1.15","0.08","a","HVRT","False","232.107631405675","timestep_fault_lv_band;timestep_recovery_envelope","False","137.697885578784","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-94.409745826891","740.718379062264","837.165986285288","765.470921271856","1023.70950988681","0.0","0.0","0.082367993928342","0.0266743913323034"
"topology2","a_hvrt_120ms_1p050pu","1.05","0.12","a","HVRT","False","228.726455144629","timestep_fault_lv_band;timestep_recovery_envelope","False","134.615432446773","timestep_fault_lv_band;timestep_recovery_envelope","False","-94.11102269785599","735.226478219565","834.600710073987","765.470921271856","987.333942251436","0.0","0.0","0.0770709743615226","0.0266474858171957"
"topology2","a_hvrt_120ms_1p100pu","1.1","0.12","a","HVRT","False","229.289148924826","timestep_fault_lv_band;timestep_recovery_envelope","False","135.202598641085","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-94.08655028374102","732.665449861311","834.600710073987","765.470921271856","1004.8200090247","0.0","0.0","0.0800360818528209","0.0319321494191298"
"topology2","a_hvrt_120ms_1p150pu","1.15","0.12","a","HVRT","False","231.675283586319","timestep_fault_lv_band;timestep_recovery_envelope","False","134.565484927586","timestep_fault_lv_band;dc_link_bounds","False","-97.10979865873301","740.718379062264","837.165986285288","765.470921271856","1023.70950988681","0.0","0.0","0.0753068580342094","0.0"
"topology2","a_lvrt_040ms_0p950pu","0.95","0.04","a","LVRT","False","156.724421846433","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","126.776420748462","timestep_voltage_envelope","False","-29.948001097970987","742.50132319974","834.600710073987","741.275455583461","850.880587606367","0.135085780736275","0.00561619545173542","0.103272626782949","0.0"
"topology2","a_lvrt_060ms_0p950pu","0.95","0.06","a","LVRT","False","159.983887059612","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","128.276688336494","timestep_voltage_envelope","False","-31.707198723117983","742.50132319974","834.600710073987","741.275455583461","850.880587606367","0.141842784929299","0.00740127900985688","0.0876660266182387","0.0"
"topology2","a_lvrt_080ms_0p950pu","0.95","0.08","a","LVRT","False","243.837379663967","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","140.652759087355","timestep_voltage_envelope","False","-103.18462057661199","742.50132319974","834.600710073987","741.275455583461","850.880587606367","0.141842784929299","0.00816410076717033","0.0831588727367821","0.0"
"topology2","a_lvrt_120ms_0p950pu","0.95","0.12","a","LVRT","False","246.869779833524","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","138.973890348698","timestep_voltage_envelope","False","-107.895889484826","742.50132319974","834.600710073987","741.275455583461","850.880587606367","0.141842784929299","0.0221521690994954","0.080772244992962","0.0"
"topology2","ab_hvrt_040ms_1p050pu","1.05","0.04","ab","HVRT","False","144.759005005793","timestep_fault_lv_band;timestep_recovery_envelope","False","136.261511941965","timestep_fault_lv_band;timestep_recovery_envelope","False","-8.497493063827989","734.930539758582","834.600710073987","765.470921271856","999.366538709531","0.0","0.0","0.0992372187549589","0.0570230727601844"
"topology2","ab_hvrt_040ms_1p100pu","1.1","0.04","ab","HVRT","False","146.040244621783","timestep_recovery_envelope","False","138.907366590479","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-7.132878031303989","744.730005073961","840.184285236833","765.470921271856","1034.47055696584","0.0","0.0","0.097498605361747","0.051646434977468"
"topology2","ab_hvrt_040ms_1p150pu","1.15","0.04","ab","HVRT","False","148.130026769304","timestep_recovery_envelope","False","143.238569582729","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-4.891457186574996","745.864343460162","847.262272269968","765.470921271856","1072.80716540503","0.0","0.0","0.102780925185692","0.0483249835938599"
"topology2","ab_hvrt_060ms_1p150pu","1.15","0.06","ab","HVRT","False","147.320213016366","timestep_recovery_envelope","False","138.871260221876","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-8.448952794489998","745.864343460162","847.262272269968","765.470921271856","1072.80716540503","0.0","0.0","0.0941271343757751","0.0335530483661194"
"topology2","ab_hvrt_080ms_1p050pu","1.05","0.08","ab","HVRT","False","226.982074673591","timestep_fault_lv_band;timestep_recovery_envelope","False","132.314881192478","timestep_fault_lv_band;timestep_recovery_envelope","False","-94.667193481113","734.930539758582","834.600710073987","765.470921271856","999.366538709531","0.0","0.0","0.0805968764426796","0.0320754061193884"
"topology2","ab_hvrt_080ms_1p100pu","1.1","0.08","ab","HVRT","False","228.986969335496","timestep_recovery_envelope","False","133.820730906877","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-95.16623842861901","744.730005073961","840.184285236833","765.470921271856","1034.47055696584","0.0","0.0","0.0809274343236158","0.0254113444080007"
"topology2","ab_hvrt_080ms_1p150pu","1.15","0.08","ab","HVRT","False","232.839727008522","timestep_recovery_envelope","False","136.754186987655","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","False","-96.085540020867","745.864343460162","847.262272269968","765.470921271856","1072.80716540503","0.0","0.0","0.0814883928631143","0.0216950322663202"
"topology2","ab_hvrt_120ms_1p050pu","1.05","0.12","ab","HVRT","False","227.242655725425","timestep_fault_lv_band;timestep_recovery_envelope","False","129.061975133679","timestep_fault_lv_band","False","-98.18068059174601","734.930539758582","836.759525247355","765.470921271856","999.366538709531","0.0","0.0","0.0777344963993713","0.0"
"topology2","ab_hvrt_120ms_1p100pu","1.1","0.12","ab","HVRT","False","229.115878078832","timestep_recovery_envelope","False","130.812898808024","timestep_fault_lv_band;dc_link_bounds","False","-98.30297927080801","744.730005073961","846.049670671884","765.470921271856","1034.47055696584","0.0","0.0","0.0753764802683829","0.0"
"topology2","ab_hvrt_120ms_1p150pu","1.15","0.12","ab","HVRT","False","232.143381051973","timestep_recovery_envelope","False","134.162813040954","timestep_fault_lv_band;dc_link_bounds","False","-97.98056801101899","745.864343460162","847.262272269968","765.470921271856","1072.80716540503","0.0","0.0","0.0774298314629122","0.0"
"topology2","ab_lvrt_040ms_0p950pu","0.95","0.04","ab","LVRT","False","160.509683985637","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","136.093633158738","timestep_voltage_envelope","False","-24.41605082689901","734.67574687395","834.600710073987","727.614146556568","900.278690253127","0.153111802593427","0.00890108560263347","0.0997040413489956","0.0"
"topology2","ab_lvrt_120ms_0p950pu","0.95","0.12","ab","LVRT","False","249.579298418428","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","153.25688928128","timestep_fault_lv_band","False","-96.32240913714801","734.67574687395","834.600710073987","727.007423812709","900.278690253127","0.153955196687992","0.0","0.0752192515241971","0.0"
"topology2","balanced_hvrt_040ms_1p050pu","1.05","0.04","balanced","HVRT","False","189.396998014065","timestep_fault_lv_band;timestep_recovery_envelope","False","121.315182248086","timestep_recovery_envelope","False","-68.08181576597899","751.334951242972","849.932486052289","762.393402180383","978.341788542831","0.0","0.0","0.355678937997932","0.0463996323087457"
"topology2","balanced_hvrt_040ms_1p100pu","1.1","0.04","balanced","HVRT","False","187.784313658588","timestep_fault_lv_band;timestep_recovery_envelope","False","115.789881167983","timestep_recovery_envelope","False","-71.99443249060499","750.127825810064","849.932486052289","762.393402180383","999.984542947764","0.0","0.0","0.35913444246875","0.0249157882066491"
"topology2","balanced_hvrt_040ms_1p150pu","1.15","0.04","balanced","HVRT","False","187.380491997183","timestep_fault_lv_band;timestep_recovery_envelope","False","120.244561037867","dc_link_bounds;timestep_recovery_envelope","False","-67.13593095931598","751.334951242972","862.697831059137","762.393402180383","1037.94919693546","0.0","0.0","0.353229630630878","0.00714303571559199"
"topology2","balanced_hvrt_060ms_1p050pu","1.05","0.06","balanced","HVRT","False","189.323026930427","timestep_fault_lv_band;timestep_recovery_envelope","False","119.693325551348","timestep_recovery_envelope","False","-69.62970137907901","751.334951242972","849.932486052289","762.393402180383","978.341788542831","0.0","0.0","0.355911619233903","0.0422875771473787"
"topology2","balanced_hvrt_060ms_1p150pu","1.15","0.06","balanced","HVRT","False","187.802262884573","timestep_fault_lv_band;timestep_recovery_envelope","False","120.606866274078","dc_link_bounds","False","-67.195396610495","751.334951242972","862.697831059137","762.393402180383","1037.94919693546","0.0","0.0","0.360322215332011","0.0"
"topology2","balanced_hvrt_080ms_1p050pu","1.05","0.08","balanced","HVRT","False","272.816362595227","timestep_fault_lv_band;timestep_recovery_envelope","False","118.049120358105","timestep_recovery_envelope","False","-154.76724223712202","751.334951242972","849.932486052289","762.393402180383","978.341788542831","0.0","0.0","0.355738542141241","0.0388979705880738"
"topology2","balanced_hvrt_080ms_1p150pu","1.15","0.08","balanced","HVRT","False","275.259068872148","timestep_fault_lv_band;timestep_recovery_envelope","False","121.051222744946","dc_link_bounds","False","-154.207846127202","751.334951242972","862.697831059137","762.393402180383","1037.94919693546","0.0","0.0","0.358875585206577","0.0"
"topology2","balanced_hvrt_120ms_1p150pu","1.15","0.12","balanced","HVRT","False","275.445087295167","timestep_fault_lv_band;timestep_recovery_envelope","False","122.353393185706","dc_link_bounds","False","-153.091694109461","751.334951242972","883.110080458207","762.393402180383","1037.94919693546","0.0","0.0","0.361119492307053","0.0"
"topology2","balanced_lvrt_040ms_0p950pu","0.95","0.04","balanced","LVRT","False","259.076382522675","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","115.438739852759","timestep_voltage_envelope","False","-143.63764266991598","745.062571494646","849.932486052289","761.399544354245","978.447797160931","0.428698297527578","0.0318343957518603","0.359931059422627","0.0"
"topology2","balanced_lvrt_060ms_0p950pu","0.95","0.06","balanced","LVRT","False","282.902741720108","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","120.249892678807","timestep_voltage_envelope","False","-162.652849041301","745.062571494646","849.932486052289","761.399544354245","978.447797160931","0.428698297527578","0.0324640739368245","0.370983007160593","0.0"
"topology2","balanced_lvrt_080ms_0p900pu","0.9","0.08","balanced","LVRT","False","342.378434708281","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","147.771423474206","dc_link_bounds;timestep_recovery_envelope","False","-194.60701123407503","742.442255494825","849.932486052289","539.318364399974","978.447797160931","0.414622837317037","0.0","0.359307696150929","0.0384925499508516"
"topology2","balanced_lvrt_080ms_0p950pu","0.95","0.08","balanced","LVRT","False","339.854259321823","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","133.580903739703","timestep_voltage_envelope","False","-206.27335558212002","745.062571494646","849.932486052289","761.399544354245","978.447797160931","0.428698297527578","0.018510489714133","0.356538734944005","0.0"
"topology2","balanced_lvrt_120ms_0p850pu","0.85","0.12","balanced","LVRT","False","339.046423643597","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","153.998111889612","dc_link_bounds","False","-185.048311753985","736.083036537887","849.932486052289","475.889072333736","978.447797160931","0.390232884935844","0.0","0.330918438629005","0.0"
"topology2","balanced_lvrt_120ms_0p900pu","0.9","0.12","balanced","LVRT","False","343.548959471242","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","149.283788949035","dc_link_bounds","False","-194.26517052220697","742.442255494825","849.932486052289","513.278250204935","978.447797160931","0.414622837317037","0.0","0.351238212240949","0.0"
"topology2","balanced_lvrt_120ms_0p950pu","0.95","0.12","balanced","LVRT","False","342.778220809448","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","False","141.019597954146","dc_link_bounds;timestep_voltage_envelope;timestep_recovery_envelope","False","-201.75862285530198","745.062571494646","849.932486052289","621.483967320134","978.447797160931","0.428698297527578","0.018510489714133","0.354319055511656","0.0394771894972148"
