"topology","case_name","fault_pu","fault_duration_s","phase_mode","fault_family","sac_reason","sac_score","conventional_voltage_survival_pass","conventional_score","sac_vdc_min","sac_vdc_max","sac_envelope_violation_max_pu","sac_recovery_violation_max_pu"
"topology2","ab_hvrt_080ms_1p100pu","1.1","0.08","ab","HVRT","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","133.820730906877","False","228.986969335496","765.470921271856","1034.47055696584","0.0","0.0254113444080007"
"topology2","ab_hvrt_080ms_1p150pu","1.15","0.08","ab","HVRT","timestep_fault_lv_band;dc_link_bounds;timestep_recovery_envelope","136.754186987655","False","232.839727008522","765.470921271856","1072.80716540503","0.0","0.0216950322663202"
"topology2","ab_hvrt_120ms_1p050pu","1.05","0.12","ab","HVRT","timestep_fault_lv_band","129.061975133679","False","227.242655725425","765.470921271856","999.366538709531","0.0","0.0"
"topology2","ab_hvrt_120ms_1p100pu","1.1","0.12","ab","HVRT","timestep_fault_lv_band;dc_link_bounds","130.812898808024","False","229.115878078832","765.470921271856","1034.47055696584","0.0","0.0"
"topology2","ab_hvrt_120ms_1p150pu","1.15","0.12","ab","HVRT","timestep_fault_lv_band;dc_link_bounds","134.162813040954","False","232.143381051973","765.470921271856","1072.80716540503","0.0","0.0"
"topology2","balanced_hvrt_040ms_1p050pu","1.05","0.04","balanced","HVRT","timestep_recovery_envelope","121.315182248086","False","189.396998014065","762.393402180383","978.341788542831","0.0","0.0463996323087457"
"topology2","balanced_hvrt_040ms_1p100pu","1.1","0.04","balanced","HVRT","timestep_recovery_envelope","115.789881167983","False","187.784313658588","762.393402180383","999.984542947764","0.0","0.0249157882066491"
"topology2","balanced_hvrt_040ms_1p150pu","1.15","0.04","balanced","HVRT","dc_link_bounds;timestep_recovery_envelope","120.244561037867","False","187.380491997183","762.393402180383","1037.94919693546","0.0","0.00714303571559199"
"topology2","balanced_hvrt_060ms_1p050pu","1.05","0.06","balanced","HVRT","timestep_recovery_envelope","119.693325551348","False","189.323026930427","762.393402180383","978.341788542831","0.0","0.0422875771473787"
"topology2","balanced_hvrt_060ms_1p150pu","1.15","0.06","balanced","HVRT","dc_link_bounds","120.606866274078","False","187.802262884573","762.393402180383","1037.94919693546","0.0","0.0"
"topology2","balanced_hvrt_080ms_1p050pu","1.05","0.08","balanced","HVRT","timestep_recovery_envelope","118.049120358105","False","272.816362595227","762.393402180383","978.341788542831","0.0","0.0388979705880738"
"topology2","balanced_hvrt_080ms_1p150pu","1.15","0.08","balanced","HVRT","dc_link_bounds","121.051222744946","False","275.259068872148","762.393402180383","1037.94919693546","0.0","0.0"
"topology2","balanced_hvrt_120ms_1p150pu","1.15","0.12","balanced","HVRT","dc_link_bounds","122.353393185706","False","275.445087295167","762.393402180383","1037.94919693546","0.0","0.0"
"topology2","a_lvrt_040ms_0p950pu","0.95","0.04","a","LVRT","timestep_voltage_envelope","126.776420748462","False","156.724421846433","741.275455583461","850.880587606367","0.00561619545173542","0.0"
"topology2","a_lvrt_060ms_0p950pu","0.95","0.06","a","LVRT","timestep_voltage_envelope","128.276688336494","False","159.983887059612","741.275455583461","850.880587606367","0.00740127900985688","0.0"
"topology2","a_lvrt_080ms_0p950pu","0.95","0.08","a","LVRT","timestep_voltage_envelope","140.652759087355","False","243.837379663967","741.275455583461","850.880587606367","0.00816410076717033","0.0"
"topology2","a_lvrt_120ms_0p950pu","0.95","0.12","a","LVRT","timestep_voltage_envelope","138.973890348698","False","246.869779833524","741.275455583461","850.880587606367","0.0221521690994954","0.0"
"topology2","ab_lvrt_040ms_0p950pu","0.95","0.04","ab","LVRT","timestep_voltage_envelope","136.093633158738","False","160.509683985637","727.614146556568","900.278690253127","0.00890108560263347","0.0"
"topology2","ab_lvrt_120ms_0p950pu","0.95","0.12","ab","LVRT","timestep_fault_lv_band","153.25688928128","False","249.579298418428","727.007423812709","900.278690253127","0.0","0.0"
"topology2","balanced_lvrt_040ms_0p950pu","0.95","0.04","balanced","LVRT","timestep_voltage_envelope","115.438739852759","False","259.076382522675","761.399544354245","978.447797160931","0.0318343957518603","0.0"
"topology2","balanced_lvrt_060ms_0p950pu","0.95","0.06","balanced","LVRT","timestep_voltage_envelope","120.249892678807","False","282.902741720108","761.399544354245","978.447797160931","0.0324640739368245","0.0"
"topology2","balanced_lvrt_080ms_0p900pu","0.9","0.08","balanced","LVRT","dc_link_bounds;timestep_recovery_envelope","147.771423474206","False","342.378434708281","539.318364399974","978.447797160931","0.0","0.0384925499508516"
"topology2","balanced_lvrt_080ms_0p950pu","0.95","0.08","balanced","LVRT","timestep_voltage_envelope","133.580903739703","False","339.854259321823","761.399544354245","978.447797160931","0.018510489714133","0.0"
"topology2","balanced_lvrt_120ms_0p850pu","0.85","0.12","balanced","LVRT","dc_link_bounds","153.998111889612","False","339.046423643597","475.889072333736","978.447797160931","0.0","0.0"
"topology2","balanced_lvrt_120ms_0p900pu","0.9","0.12","balanced","LVRT","dc_link_bounds","149.283788949035","False","343.548959471242","513.278250204935","978.447797160931","0.0","0.0"
"topology2","balanced_lvrt_120ms_0p950pu","0.95","0.12","balanced","LVRT","dc_link_bounds;timestep_voltage_envelope;timestep_recovery_envelope","141.019597954146","False","342.778220809448","621.483967320134","978.447797160931","0.018510489714133","0.0394771894972148"
