scenario_idx,sc_id,m_sh,m_se_d,m_se_q,vdc_min,vdc_max,i2_max,lvrt_pass
87,3,0.8430,0.0586,-0.0104,0.7857,1.1360,1.5497,1
88,3,0.8551,0.0739,-0.0041,0.8081,1.1535,1.3505,1
89,3,0.8405,0.0545,-0.0117,0.7020,1.1420,1.4715,0
90,3,0.8483,0.0663,-0.0077,0.7989,1.1537,1.4765,1
91,3,0.8470,0.0643,-0.0084,0.7965,1.1540,1.4567,1
92,3,0.8434,0.0592,-0.0102,0.7919,1.0502,1.5170,1
93,3,0.8472,0.0646,-0.0082,0.7924,1.1261,1.4110,1
94,3,0.8476,0.0652,-0.0080,0.7790,1.1019,1.2194,1
95,3,0.8580,0.0783,-0.0019,0.8106,1.0492,1.1423,1
96,3,0.8425,0.0579,-0.0106,0.8005,1.1542,1.5671,1
97,3,0.8454,0.0621,-0.0091,0.7009,1.1388,1.3791,0
98,3,0.8428,0.0584,-0.0104,0.8270,1.0750,1.4105,1
99,3,0.8393,0.0528,-0.0123,0.8313,1.1505,1.4964,1
100,3,0.8421,0.0574,-0.0108,0.8071,1.1137,1.4642,1
101,4,0.8964,-0.0926,0.0074,0.7396,1.0459,1.4093,0
102,4,0.8965,-0.0953,0.0078,0.7272,1.0143,1.5279,0
103,4,0.8965,-0.0939,0.0073,0.7315,1.0180,1.4036,0
104,4,0.8965,-0.0937,0.0073,0.7248,0.9882,1.6547,0
105,4,0.8962,-0.0876,0.0080,0.7558,1.0283,1.3065,1
106,4,0.8959,-0.0766,0.0095,0.7466,1.0226,1.4001,0
107,4,0.8961,-0.0827,0.0085,0.7377,1.0161,1.5090,0
108,4,0.8964,-0.0912,0.0076,0.7049,1.0305,1.6959,0
109,4,0.8961,-0.0846,0.0083,0.7529,1.0358,1.2872,1
110,4,0.8960,-0.0807,0.0087,0.7695,1.0144,1.3961,1
111,4,0.8963,-0.0881,0.0080,0.7400,1.0397,1.3154,0
112,4,0.8965,-0.0938,0.0073,0.7295,1.0144,1.4930,0
113,4,0.8961,-0.0833,0.0084,0.7832,1.0110,1.4442,1
114,4,0.8965,-0.0937,0.0073,0.7252,0.9872,1.6582,0
115,4,0.8961,-0.0837,0.0084,0.7243,1.0321,1.5283,0
116,4,0.8962,-0.0857,0.0082,0.7510,1.0234,1.3951,1
117,4,0.8966,-0.0968,0.0086,0.7689,1.0387,1.4891,1
118,4,0.8961,-0.0842,0.0083,0.7888,1.0355,1.2300,1
119,4,0.8960,-0.0806,0.0087,0.7524,1.0145,1.4072,1
120,4,0.8962,-0.0856,0.0082,0.7521,1.0015,1.5147,1
121,4,0.8961,-0.0846,0.0083,0.7428,1.0581,1.3211,0
122,4,0.8965,-0.0960,0.0081,0.7373,1.0553,1.5282,0
123,4,0.8963,-0.0887,0.0080,0.7536,1.0461,1.3750,1
124,4,0.8962,-0.0854,0.0082,0.7576,1.0397,1.3041,1
125,4,0.8961,-0.0844,0.0083,0.7872,1.0304,1.2272,1
126,4,0.8965,-0.0948,0.0076,0.7023,1.0206,1.8348,0
127,4,0.8961,-0.0836,0.0084,0.7609,1.0406,1.2765,1
128,4,0.8965,-0.0945,0.0075,0.7690,1.0221,1.3890,1
129,4,0.8965,-0.0934,0.0074,0.7323,0.9806,1.7216,0
130,4,0.8964,-0.0910,0.0076,0.7615,1.0122,1.4318,1
131,4,0.8964,-0.0912,0.0076,0.7303,0.9942,1.6019,0
132,4,0.8962,-0.0878,0.0080,0.7571,1.0193,1.4080,1
133,4,0.8959,-0.0761,0.0096,0.7523,1.0208,1.3561,1
134,4,0.8962,-0.0865,0.0081,0.7649,1.0269,1.4306,1
135,4,0.8962,-0.0873,0.0081,0.7406,0.9979,1.5404,0
136,4,0.8964,-0.0930,0.0074,0.7513,1.0146,1.4757,1
137,4,0.8960,-0.0791,0.0090,0.7149,1.0575,1.5187,0
138,4,0.8962,-0.0875,0.0080,0.7265,1.0353,1.7010,0
139,4,0.8963,-0.0899,0.0078,0.7691,1.0185,1.3177,1
140,4,0.8961,-0.0833,0.0084,0.8429,0.9988,1.1818,1
141,4,0.8965,-0.0938,0.0073,0.7196,1.0013,1.6982,0
142,4,0.8965,-0.0958,0.0080,0.7307,0.9726,1.7956,0
143,4,0.8963,-0.0892,0.0079,0.7758,1.0326,1.3409,1
144,4,0.8964,-0.0911,0.0076,0.7395,1.0117,1.3995,0
145,4,0.8962,-0.0855,0.0082,0.7072,1.0407,1.6691,0
146,4,0.8965,-0.0946,0.0075,0.7038,1.0127,1.8450,0
147,4,0.8965,-0.0953,0.0078,0.7064,1.0097,1.8158,0
148,4,0.8962,-0.0870,0.0081,0.7749,1.0241,1.2561,1
149,4,0.8962,-0.0860,0.0081,0.7090,1.0470,1.6177,0
150,4,0.8963,-0.0902,0.0078,0.7746,1.0211,1.3078,1
151,5,0.7942,-0.0960,0.0215,0.7785,0.8828,1.4928,1
152,5,0.8037,-0.0725,0.0197,0.6287,0.9166,1.3326,0
