scenario_idx,sc_id,m_sh,m_se_d,m_se_q
189,5,0.7963,0.0,0.0
190,5,0.7936,0.0,0.0
191,5,0.8,0.0,0.0
192,5,0.7996,0.0,0.0
193,5,0.7994,0.0,0.0
194,5,0.7889,0.0,0.0
195,5,0.8,0.0,0.0
196,5,0.7944,0.0,0.0
197,5,0.7802,0.0,0.0
198,5,0.7897,0.0,0.0
199,5,0.8,0.0,0.0
200,5,0.8,0.0,0.0
201,6,0.8752,-0.0816,-0.0962
202,6,0.875,-0.0834,-0.1035
203,6,0.8751,-0.0812,-0.0946
204,6,0.8751,-0.0812,-0.0938
205,6,0.875,-0.0833,-0.1047
206,6,0.875,-0.0834,-0.1044
207,6,0.875,-0.0834,-0.1033
208,6,0.8751,-0.0812,-0.0926
209,6,0.8751,-0.0828,-0.101
210,6,0.875,-0.0832,-0.1022
211,6,0.8752,-0.0815,-0.0957
212,6,0.8751,-0.0822,-0.0986
213,6,0.8751,-0.0812,-0.0933
214,6,0.8751,-0.0812,-0.0927
215,6,0.8751,-0.083,-0.1055
216,6,0.8752,-0.082,-0.0977
217,6,0.8752,-0.0816,-0.0962
218,6,0.8751,-0.0828,-0.1007
219,6,0.8751,-0.0812,-0.0935
220,6,0.875,-0.0831,-0.1019
221,6,0.875,-0.0834,-0.104
222,6,0.8752,-0.0816,-0.0962
223,6,0.875,-0.0832,-0.1026
224,6,0.8752,-0.0825,-0.1066
225,6,0.875,-0.0831,-0.1017
226,6,0.8751,-0.0832,-0.105
227,6,0.875,-0.0831,-0.1021
228,6,0.875,-0.0833,-0.103
229,6,0.8751,-0.0823,-0.0987
230,6,0.8751,-0.0823,-0.0991
231,6,0.8751,-0.0812,-0.0945
232,6,0.8751,-0.0829,-0.1011
233,6,0.875,-0.0834,-0.1043
234,6,0.8751,-0.0827,-0.1005
235,6,0.8751,-0.0825,-0.0997
236,6,0.8751,-0.0812,-0.0933
237,6,0.8753,-0.0823,-0.1072
238,6,0.8752,-0.0826,-0.1064
239,6,0.8751,-0.0824,-0.0992
240,6,0.8751,-0.0812,-0.0934
241,6,0.875,-0.0832,-0.1026
242,6,0.8751,-0.0828,-0.1007
243,6,0.8751,-0.0812,-0.0942
244,6,0.8752,-0.0817,-0.0966
245,6,0.875,-0.0834,-0.1036
246,6,0.8751,-0.0826,-0.1002
247,6,0.875,-0.0834,-0.1044
248,6,0.875,-0.0834,-0.104
249,6,0.8751,-0.0827,-0.1003
250,6,0.8752,-0.0813,-0.0951
251,7,0.9,0.0,0.0
252,7,0.9,0.0,0.0
253,7,0.9,0.0,0.0
254,7,0.9,0.0,0.0
255,7,0.9,0.0,0.0
256,7,0.9,0.0,0.0
257,7,0.9,0.0,0.0
258,7,0.9,0.0,0.0
259,7,0.9,0.0,0.0
260,7,0.9,0.0,0.0
261,7,0.9,0.0,0.0
262,7,0.9,0.0,0.0
263,7,0.9,0.0,0.0
264,7,0.9,0.0,0.0
265,7,0.9,0.0,0.0
266,7,0.9,0.0,0.0
267,7,0.9,0.0,0.0
268,7,0.9,0.0,0.0
269,7,0.9,0.0,0.0
270,7,0.9,0.0,0.0
271,7,0.9,0.0,0.0
272,7,0.9,0.0,0.0
273,7,0.9,0.0,0.0
274,7,0.9,0.0,0.0
275,7,0.9,0.0,0.0
276,7,0.9,0.0,0.0
277,7,0.9,0.0,0.0
278,7,0.9,0.0,0.0
279,7,0.9,0.0,0.0
280,7,0.9,0.0,0.0
281,7,0.9,0.0,0.0
282,7,0.9,0.0,0.0
283,7,0.9,0.0,0.0
284,7,0.9,0.0,0.0
285,7,0.9,0.0,0.0
286,7,0.9,0.0,0.0
287,7,0.9,0.0,0.0
288,7,0.9,0.0,0.0
289,7,0.9,0.0,0.0
290,7,0.9,0.0,0.0
291,7,0.9,0.0,0.0
292,7,0.9,0.0,0.0
293,7,0.9,0.0,0.0
294,7,0.9,0.0,0.0
295,7,0.9,0.0,0.0
296,7,0.9,0.0,0.0
297,7,0.9,0.0,0.0
298,7,0.9,0.0,0.0
299,7,0.9,0.0,0.0
300,7,0.9,0.0,0.0
301,8,0.85,0.1,0.0512
302,8,0.85,0.1,0.0442
303,8,0.85,0.1,0.0468
304,8,0.85,0.1,0.0504
305,8,0.85,0.1,0.0454
306,8,0.85,0.1,0.0489
307,8,0.85,0.1,0.0511
308,8,0.85,0.1,0.048
309,8,0.85,0.1,0.0484
310,8,0.85,0.1,0.0443
311,8,0.85,0.1,0.0478
312,8,0.85,0.1,0.049
313,8,0.85,0.1,0.0428
314,8,0.85,0.1,0.0508
315,8,0.85,0.1,0.048
316,8,0.85,0.1,0.0488
317,8,0.85,0.1,0.044
318,8,0.85,0.1,0.0502
319,8,0.85,0.1,0.0504
320,8,0.85,0.1,0.0475
321,8,0.85,0.1,0.0473
322,8,0.85,0.1,0.0524
323,8,0.85,0.1,0.0462
324,8,0.85,0.1,0.0487
325,8,0.85,0.1,0.0497
326,8,0.85,0.1,0.049
327,8,0.85,0.1,0.051
328,8,0.85,0.1,0.0483
329,8,0.85,0.1,0.0467
330,8,0.85,0.1,0.0454
331,8,0.85,0.1,0.0471
332,8,0.85,0.1,0.047
333,8,0.85,0.1,0.0412
334,8,0.85,0.1,0.0484
335,8,0.85,0.1,0.0469
336,8,0.85,0.1,0.0503
337,8,0.85,0.1,0.0473
338,8,0.85,0.1,0.0522
339,8,0.85,0.1,0.046
340,8,0.85,0.1,0.0435
341,8,0.85,0.1,0.0485
342,8,0.85,0.1,0.0425
343,8,0.85,0.1,0.0463
344,8,0.85,0.1,0.0494
345,8,0.85,0.1,0.0484
346,8,0.85,0.1,0.0471
347,8,0.85,0.1,0.0498
348,8,0.85,0.1,0.0455
349,8,0.85,0.1,0.047
350,8,0.85,0.1,0.0469
