scenario_idx,sc_id,m_sh,m_se_d,m_se_q,vdc_min,vdc_max,i2_max,lvrt_pass
77,3,0.9000,0.0000,0.0000,0.6939,1.1327,1.4769,0
78,3,0.9000,0.0000,0.0000,0.8095,1.0768,1.6255,1
79,3,0.9000,0.0000,0.0000,0.7558,1.1407,1.4888,1
80,3,0.9000,0.0000,0.0000,0.8226,1.1314,1.5527,1
81,3,0.9000,0.0000,0.0000,0.7644,1.1162,1.5002,1
82,3,0.9000,0.0000,0.0000,0.8110,1.0897,1.6155,1
83,3,0.9000,0.0000,0.0000,0.7895,1.0655,1.3050,1
84,3,0.9000,0.0000,0.0000,0.8015,1.0755,1.4530,1
85,3,0.9000,0.0000,0.0000,0.7588,1.0916,1.5634,1
86,3,0.9000,0.0000,0.0000,0.8075,1.0750,1.6652,1
87,3,0.9000,0.0000,0.0000,0.7745,1.1301,1.5362,1
88,3,0.9000,0.0000,0.0000,0.8293,1.1537,1.3239,1
89,3,0.9000,0.0000,0.0000,0.6720,1.1324,1.4901,0
90,3,0.9000,0.0000,0.0000,0.7983,1.1542,1.4519,1
91,3,0.9000,0.0000,0.0000,0.7915,1.1544,1.4411,1
92,3,0.9000,0.0000,0.0000,0.7895,1.0530,1.5063,1
93,3,0.9000,0.0000,0.0000,0.7725,1.1222,1.3773,1
94,3,0.9000,0.0000,0.0000,0.7638,1.1016,1.2020,1
95,3,0.9000,0.0000,0.0000,0.8093,1.0543,1.1391,1
96,3,0.9000,0.0000,0.0000,0.7915,1.1542,1.5447,1
97,3,0.9000,0.0000,0.0000,0.6777,1.1380,1.3981,0
98,3,0.9000,0.0000,0.0000,0.8158,1.0627,1.4070,1
99,3,0.9000,0.0000,0.0000,0.8100,1.1505,1.5042,1
100,3,0.9000,0.0000,0.0000,0.8046,1.1156,1.4562,1
101,4,0.9000,0.0000,0.0000,0.5580,1.1601,1.3820,0
102,4,0.9000,0.0000,0.0000,0.9173,1.2101,1.4859,1
103,4,0.9000,0.0000,0.0000,0.5783,1.1586,1.3614,0
104,4,0.9000,0.0000,0.0000,0.9165,1.1519,1.5235,1
105,4,0.9000,0.0000,0.0000,0.5811,1.1566,1.2596,0
106,4,0.9000,0.0000,0.0000,0.8628,1.1549,1.3316,1
107,4,0.9000,0.0000,0.0000,0.8588,1.1551,1.4431,1
108,4,0.9000,0.0000,0.0000,0.7965,1.1542,1.6313,1
109,4,0.9000,0.0000,0.0000,0.6017,1.1562,1.2400,0
110,4,0.9000,0.0000,0.0000,0.9418,1.1529,1.3036,1
111,4,0.9000,0.0000,0.0000,0.5904,1.1571,1.2786,0
112,4,0.9000,0.0000,0.0000,0.9183,1.2177,1.4671,1
113,4,0.9000,0.0000,0.0000,0.8859,1.1544,1.3854,1
114,4,0.9000,0.0000,0.0000,0.9165,1.1526,1.5271,1
115,4,0.9000,0.0000,0.0000,0.8396,1.1573,1.5052,1
116,4,0.9000,0.0000,0.0000,0.9139,1.2075,1.3712,1
117,4,0.9000,0.0000,0.0000,0.5519,1.1595,1.4014,0
118,4,0.9000,0.0000,0.0000,0.7029,1.1563,1.1647,0
119,4,0.9000,0.0000,0.0000,0.9095,1.1521,1.3029,1
120,4,0.9000,0.0000,0.0000,0.9327,1.1510,1.4011,1
121,4,0.9000,0.0000,0.0000,0.5858,1.1571,1.2674,0
122,4,0.9000,0.0000,0.0000,0.5271,1.1646,1.4922,0
123,4,0.9000,0.0000,0.0000,0.5754,1.1567,1.3119,0
124,4,0.9000,0.0000,0.0000,0.5829,1.1564,1.2532,0
125,4,0.9000,0.0000,0.0000,0.7590,1.1559,1.1657,1
126,4,0.9000,0.0000,0.0000,0.7163,1.1550,1.7830,0
127,4,0.9000,0.0000,0.0000,0.5856,1.1569,1.2252,0
128,4,0.9000,0.0000,0.0000,0.6200,1.1589,1.3073,0
129,4,0.9000,0.0000,0.0000,0.8971,1.1527,1.5978,1
130,4,0.9000,0.0000,0.0000,0.9642,1.2134,1.3696,1
131,4,0.9000,0.0000,0.0000,0.9186,1.1517,1.4739,1
132,4,0.9000,0.0000,0.0000,0.9397,1.2141,1.3343,1
133,4,0.9000,0.0000,0.0000,0.8900,1.1539,1.2777,1
134,4,0.9000,0.0000,0.0000,0.9490,1.2151,1.3516,1
135,4,0.9000,0.0000,0.0000,0.9159,1.1509,1.4188,1
136,4,0.9000,0.0000,0.0000,0.9549,1.2238,1.3862,1
137,4,0.9000,0.0000,0.0000,0.6779,1.1556,1.5091,0
138,4,0.9000,0.0000,0.0000,0.6980,1.1551,1.6788,0
139,4,0.9000,0.0000,0.0000,0.8376,1.1598,1.2658,1
140,4,0.9000,0.0000,0.0000,0.9425,1.1569,1.1539,1
141,4,0.9000,0.0000,0.0000,0.8513,1.1565,1.6737,1
142,4,0.9000,0.0000,0.0000,0.9046,1.1517,1.6576,1
143,4,0.9000,0.0000,0.0000,0.8374,1.1589,1.2689,1
144,4,0.9000,0.0000,0.0000,0.9292,1.2130,1.3675,1
145,4,0.9000,0.0000,0.0000,0.7205,1.1554,1.6241,0
146,4,0.9000,0.0000,0.0000,0.8175,1.1544,1.7357,1
147,4,0.9000,0.0000,0.0000,0.8266,1.1537,1.7169,1
148,4,0.9000,0.0000,0.0000,0.6395,1.1561,1.2015,0
149,4,0.9000,0.0000,0.0000,0.6539,1.1557,1.5955,0
150,4,0.9000,0.0000,0.0000,0.7260,1.1565,1.2415,0
151,5,0.9000,0.0000,0.0000,0.8938,1.1528,1.4339,1
152,5,0.9000,0.0000,0.0000,0.6139,1.1462,1.2518,0
153,5,0.9000,0.0000,0.0000,0.6146,1.1457,1.2499,0
154,5,0.9000,0.0000,0.0000,0.7341,1.1486,1.5387,0
155,5,0.9000,0.0000,0.0000,0.9053,1.1508,1.2997,1
156,5,0.9000,0.0000,0.0000,0.5121,1.1567,1.4281,0
157,5,0.9000,0.0000,0.0000,0.5348,1.1565,1.5849,0
158,5,0.9000,0.0000,0.0000,0.9133,1.1548,1.3450,1
159,5,0.9000,0.0000,0.0000,0.5271,1.1549,1.3484,0
160,5,0.9000,0.0000,0.0000,0.5951,1.1495,1.1548,0
161,5,0.9000,0.0000,0.0000,0.6110,1.1480,1.4102,0
162,5,0.9000,0.0000,0.0000,0.4977,1.1548,1.4004,0
