train/ent_coef,train/learning_rate,time/episodes,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,time/fps,train/n_updates,rollout/ep_rew_mean,train/actor_loss,eval/n_fail,eval/reactive_violation,eval/connect_violation,eval/recover_violation,eval/success_proxy
0.9006081819534302,0.000277536,4,836,-0.5258108079433441,12,209.0,0.14966651052236557,68,366,-102.79537200927734,-4.701465129852295,,,,,
0.8164434731006622,0.00025766399999999995,8,1572,-1.0103530287742615,22,196.5,0.3395918309688568,68,734,-56.52632141113281,-7.129071474075317,,,,,
0.7459970116615295,0.00023789999999999996,12,2304,-1.4531418085098267,35,192.0,0.6023940443992615,65,1100,-40.38978576660156,-8.819477558135986,,,,,
0.6912536919116974,0.00021975599999999996,16,2976,-1.8201104402542114,46,186.0,1.2982691526412964,64,1436,-17.976255416870117,-10.891019821166992,,,,,
0.6425175070762634,0.000200748,20,3680,-2.151305317878723,56,184.0,2.546230912208557,64,1788,-10.173105239868164,-12.415452003479004,,,,,
0.593850314617157,0.00017795999999999998,24,4524,-2.5418516397476196,70,188.5,6.016111850738525,64,2210,-23.348304748535156,-13.177165031433105,,,,,
0.5607882440090179,0.00015927599999999997,28,5216,-2.8009355068206787,81,186.28571428571428,6.260415315628052,64,2556,-14.943000793457031,-15.443065643310547,,,,,
0.526967465877533,0.00013605599999999999,32,6076,-2.9696213006973267,94,189.875,12.306351661682129,64,2986,-25.321704864501953,-16.296804428100586,,,,,
0.5040043592453003,0.00011661599999999997,36,6796,-3.259021282196045,105,188.77777777777777,14.340196132659912,64,3346,-20.85231590270996,-16.36859941482544,,,,,
0.48457086086273193,9.620399999999998e-05,40,7552,-3.3515416383743286,117,188.8,16.12454128265381,64,3724,-19.558082580566406,-17.085482597351074,,,,,
0.4694921523332596,7.546799999999999e-05,44,8320,-3.421848773956299,130,189.0909090909091,18.818158626556396,63,4108,-19.664960861206055,-17.23956871032715,,,,,
0.4584871083498001,5.516399999999998e-05,48,9072,-3.4477263689041138,143,189.0,28.892871856689453,63,4484,-19.087867736816406,-17.347483158111572,,,,,
0.450784832239151,3.4104e-05,52,9852,-3.557983160018921,156,189.46153846153845,34.32254886627197,62,4874,-19.734758377075195,-19.515483856201172,,,,,
0.44970670342445374,3e-05,,,-3.560133695602417,,,26.77991533279419,,4950,,-18.131237030029297,0,0.0,0.0,0.0,100.0
0.4298597723245621,0.00015722399999999997,56,10580,-3.64814293384552,9,188.92857142857142,23.483450889587402,58,5238,-17.50168800354004,-18.231085777282715,,,,,
0.4043961316347122,0.00014599199999999998,60,11412,-3.8233540058135986,23,190.2,19.117247581481934,59,5654,-20.924715042114258,-18.657666206359863,,,,,
0.3825325518846512,0.00013470599999999998,64,12248,-4.161239147186279,37,191.375,42.44712448120117,60,6072,-24.072071075439453,-19.206043243408203,,,,,
0.3668106198310852,0.00012563399999999998,68,12920,-3.9939379692077637,48,190.0,35.21492671966553,59,6408,-19.686628341674805,-18.779664993286133,,,,,
0.3531615287065506,0.00011639999999999997,72,13604,-3.961008310317993,60,188.94444444444446,42.593994140625,59,6750,-15.70803451538086,-20.37933349609375,,,,,
0.3385690748691559,0.000105276,76,14428,-4.2448508739471436,73,189.8421052631579,35.5747013092041,59,7162,-17.789464950561523,-19.638761520385742,,,,,
0.325609028339386,9.420599999999999e-05,80,15248,-4.16926908493042,87,190.6,40.987083435058594,60,7572,-19.46470069885254,-19.96964931488037,,,,,
0.31495411694049835,8.3514e-05,84,16040,-4.321400165557861,100,190.95238095238096,48.786075592041016,60,7968,-16.64065933227539,-21.178839683532715,,,,,
0.307131826877594,7.449599999999997e-05,88,16708,-4.353001594543457,110,189.86363636363637,111.71237182617188,60,8302,-12.010686874389648,-20.836934089660645,,,,,
0.29972170293331146,6.434399999999999e-05,92,17460,-4.318461656570435,123,189.7826086956522,52.24320602416992,60,8678,-8.994560241699219,-20.912212371826172,,,,,
0.2936345040798187,5.4462e-05,96,18192,-4.388506174087524,135,189.5,40.13970184326172,60,9044,-5.941366672515869,-22.74454402923584,,,,,
0.2884473204612732,4.404000000000001e-05,100,18964,-4.163907527923584,150,189.64,27.91804814338684,59,9430,-3.6761057376861572,-22.300357818603516,,,,,
0.2839871793985367,3.253799999999999e-05,104,19816,-4.412970066070557,170,189.8,58.62331485748291,57,9856,1.1625868082046509,-22.60026454925537,,,,,
0.28317975997924805,3e-05,,,-4.363287448883057,,,37.08420753479004,,9950,,-22.798782348632812,10,41.7,0.0,0.0,83.3
0.27312512695789337,0.00011434799999999998,108,20632,-4.449930667877197,12,190.6,20.342193603515625,52,10264,2.8440651893615723,-23.04416275024414,,,,,
0.26280577480793,0.00010804799999999999,112,21332,-4.743098497390747,23,190.28,26.532674312591553,55,10614,6.383758544921875,-23.81767749786377,,,,,
0.25157783925533295,0.00010034399999999997,116,22188,-4.617092609405518,38,192.12,38.32265663146973,56,11042,4.906830787658691,-23.89795970916748,,,,,
0.2431352511048317,9.3648e-05,120,22932,-4.831852436065674,51,192.52,30.84490966796875,56,11414,6.684810161590576,-24.045048713684082,,,,,
0.23571088165044785,8.723999999999998e-05,124,23644,-4.753803730010986,65,191.2,32.034101486206055,55,11770,14.490904808044434,-24.772062301635742,,,,,
0.2285839393734932,8.036399999999999e-05,128,24408,-4.804636001586914,79,191.92,12.887922286987305,55,12152,17.064878463745117,-26.01044464111328,,,,,
0.22167881578207016,7.2948e-05,132,25232,-4.720384836196899,94,191.56,13.344176292419434,55,12564,24.636343002319336,-25.453622817993164,,,,,
0.21624330431222916,6.636000000000001e-05,136,25964,-4.773935556411743,114,191.68,20.054773330688477,52,12930,28.246784210205078,-25.210457801818848,,,,,
0.21129978448152542,5.959200000000001e-05,140,26716,-4.861851692199707,131,191.64,15.065627098083496,51,13306,32.60543441772461,-26.84351634979248,,,,,
0.20659954100847244,5.217599999999998e-05,144,27540,-4.989558696746826,149,192.2,24.663151741027832,50,13718,37.1138801574707,-26.608878135681152,,,,,
0.2023942843079567,4.450799999999999e-05,148,28392,-5.130170583724976,168,193.2,18.792521476745605,49,14144,41.07147979736328,-26.9388484954834,,,,,
0.1994892731308937,3.8208e-05,152,29092,-5.3051979541778564,184,192.4,20.66131019592285,49,14494,46.520633697509766,-26.982120513916016,,,,,
0.19661566615104675,3.064799999999999e-05,156,29932,-5.127022743225098,203,193.52,16.568992614746094,48,14914,49.5672721862793,-26.74166965484619,,,,,
0.19640037417411804,3e-05,,,-5.203016042709351,,,15.623372077941895,,14950,,-27.04782485961914,17,54.8,0.0,0.0,71.7
0.1894206926226616,9.231599999999999e-05,160,30772,-5.2433202266693115,17,193.6,27.579768180847168,43,15334,55.798316955566406,-28.117826461791992,,,,,
0.18261095136404037,8.688899999999999e-05,164,31576,-5.755964517593384,36,193.28,17.886637687683105,43,15736,62.468772888183594,-27.913100242614746,,,,,
0.17729659378528595,8.2245e-05,168,32264,-5.80009651184082,52,193.44,15.31035566329956,42,16080,64.81578826904297,-28.732818603515625,,,,,
0.17183838784694672,7.687199999999999e-05,172,33060,-5.961273431777954,73,194.56,9.007522583007812,41,16478,66.6850814819336,-29.638388633728027,,,,,
0.16698423773050308,7.158e-05,176,33844,-5.5442795753479,93,194.16,12.60539197921753,41,16870,72.97856140136719,-28.931721687316895,,,,,
